update_seq,update_kind,instance,digest,coverage_after,pre_delivery_visible_cov,delivered_at_unix,signaling_delay_s,writer_seq,future_use_count,seq,t_send_unix,point_id,cell_id,rep,zipf_alpha,overlap,concurrency,rho,policy,send_ts_unix,coverage_before_source,source_coverage_delta,update_age_s,advertised_before,dispatcher_visible_before,best_visible_cov,second_visible_cov,visible_cov_gap,replica_visible_count,source_best_cov,digest_req_count_recent,in_flight_frames,ewma_delivery_delay_s,dispatcher_loads,dispatcher_rr,supersedes_in_flight,evaluated,superseded_before_use,decision_flip,decision_irrelevant,is_tombstone,dispatcher_load_sum,next_use_request_id,next_use_distance_requests,next_use_time_distance_s,next_use_discard,decision_without_update,decision_with_update,selected_instance_without,selected_instance_with,selected_load_without,selected_load_with,reusable_coverage_without,reusable_coverage_with,reusable_coverage_gain,estimated_prefill_gain_ms,estimated_queue_delta_ms,estimated_net_gain_ms,signaling_cost_ms,oracle_value_ms,realized_ttft_ms,realized_cached_tokens,impact_count_h1,impact_count_h4,impact_count_h8,cumulative_value_h1,cumulative_value_h4,cumulative_value_h8
0,upsert,0,L0048,2048,0,1787900171.7881882,0.0018329620361328125,1,0,0,1787900171.7863553,conc2,agg_full@rho0.8,0,0.55,0.0,2,0.8,agg_full,1787900171.7863255,0,2048,,0,0,0,0,0,0,0,1,1,,0;0;1;0,2,0,0,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1,upsert,2,L0006,2048,0,1787900171.7883239,0.001798868179321289,2,0,1,1787900171.786525,conc2,agg_full@rho0.8,0,0.55,0.0,2,0.8,agg_full,1787900171.7865083,0,2048,,0,0,0,0,0,0,0,1,2,,0;0;0;0,2,0,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,upsert,2,L0014,2048,0,1787900174.3312082,0.0022258758544921875,3,1,2,1787900174.3289824,conc2,agg_full@rho0.8,0,0.55,0.0,2,0.8,agg_full,1787900174.32896,0,2048,,0,0,0,0,0,0,0,1,1,0.0018159151077270508,1;0;0;0,4,0,1,1,0,1,0,1,57,57,78.86081004142761,,2,2,2,2,0,0,0,0,0,0.0,0.0,0.0,2.2258758544921875,0.0,1505.952629,2608.0,0,0,0,0,0,0
3,upsert,0,L0023,2048,0,1787900174.3313177,0.002074003219604492,4,3,3,1787900174.3292437,conc2,agg_full@rho0.8,0,0.55,0.0,2,0.8,agg_full,1787900174.329228,0,2048,,0,0,0,0,0,0,0,1,2,0.0018159151077270508,0;0;0;0,4,0,1,1,0,1,0,0,35,35,45.14358139038086,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.074003219604492,0.0,1356.443615,2608.0,0,0,0,0,0,0
4,upsert,0,L0000,2048,0,1787900178.534955,0.002173185348510742,5,2,4,1787900178.5327818,conc2,agg_full@rho0.8,0,0.55,0.0,2,0.8,agg_full,1787900178.532758,0,2048,,0,0,0,0,0,0,0,2,1,0.0019829273223876953,0;0;0;1,6,0,1,0,0,1,0,1,42,42,53.24015951156616,,3,3,3,3,0,0,1024,1024,0,0.0,0.0,0.0,2.173185348510742,0.0,285.243322,2080.0,0,0,0,0,0,0
5,upsert,3,L0000,2560,0,1787900178.5350645,0.002029895782470703,6,2,5,1787900178.5330346,conc2,agg_full@rho0.8,0,0.55,0.0,2,0.8,agg_full,1787900178.5330193,0,2560,,0,0,0,0,0,0,0,2,2,0.0019829273223876953,0;0;0;0,6,0,1,1,0,1,0,0,42,42,53.240050077438354,,3,3,3,3,0,0,0,0,0,0.0,0.0,0.0,2.029895782470703,0.0,285.243322,2080.0,0,0,0,0,0,0
6,upsert,2,L0002,2048,0,1787900181.468753,0.001983642578125,7,0,6,1787900181.4667695,conc2,agg_full@rho0.8,0,0.55,0.0,2,0.8,agg_full,1787900181.4667454,0,2048,,0,0,0,0,0,0,0,1,1,0.0020224650700887046,0;1;0;0,8,0,0,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
7,upsert,1,L0028,2048,0,1787900181.468858,0.0018320083618164062,8,1,7,1787900181.467026,conc2,agg_full@rho0.8,0,0.55,0.0,2,0.8,agg_full,1787900181.4670107,0,2048,,0,0,0,0,0,0,0,1,2,0.0020224650700887046,0;0;0;0,8,0,1,0,0,1,0,0,55,55,69.23181366920471,,1,1,1,1,0,0,0,0,0,0.0,0.0,0.0,1.8320083618164062,0.0,1237.846022,2080.0,0,0,0,0,0,0
8,upsert,0,L0040,2048,0,1787900184.0211215,0.002357006072998047,9,0,8,1787900184.0187645,conc2,agg_full@rho0.8,0,0.55,0.0,2,0.8,agg_full,1787900184.0187407,0,2048,,0,0,0,0,0,0,0,1,1,0.001993805170059204,0;1;0;0,10,0,0,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
9,upsert,1,L0017,2048,0,1787900184.021252,0.0022127628326416016,10,0,9,1787900184.0190392,conc2,agg_full@rho0.8,0,0.55,0.0,2,0.8,agg_full,1787900184.019024,0,2048,,0,0,0,0,0,0,0,1,2,0.001993805170059204,0;0;0;0,10,0,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
10,upsert,2,L0055,2048,0,1787900186.9581084,0.0018210411071777344,11,0,10,1787900186.9562874,conc2,agg_full@rho0.8,0,0.55,0.0,2,0.8,agg_full,1787900186.9562743,0,2048,,0,0,0,0,0,0,0,1,1,0.002052021026611328,0;0;0;1,13,0,0,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
11,upsert,3,L0000,3072,2560,1787900186.9582176,0.001795053482055664,12,2,11,1787900186.9564226,conc2,agg_full@rho0.8,0,0.55,0.0,2,0.8,agg_full,1787900186.956414,2560,512,8.423394680023193,0,2560,2560,2048,512,2,0,3,2,0.002052021026611328,0;0;0;0,13,0,1,1,0,1,0,0,42,42,44.81689691543579,,3,3,3,3,0,0,0,0,0,0.0,0.0,0.0,1.795053482055664,0.0,285.243322,2080.0,0,0,0,0,0,0
12,upsert,1,L0001,2048,0,1787900196.950575,6.825841665267944,13,0,12,1787900190.1247334,conc2,agg_full@rho0.8,0,0.55,0.0,2,0.8,agg_full,1787900190.12471,0,2048,,0,0,0,0,0,0,0,1,1,0.0020113587379455566,0;0;0;1,15,0,0,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
13,upsert,3,L0047,2048,0,1787900199.7165778,9.59156584739685,14,0,13,1787900190.125012,conc2,agg_full@rho0.8,0,0.55,0.0,2,0.8,agg_full,1787900190.1249967,0,2048,,0,0,0,0,0,0,0,1,2,0.0020113587379455566,0;0;0;0,15,0,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
14,upsert,3,L0058,2048,0,1787900205.2485151,12.206974744796753,15,1,14,1787900193.0415404,conc2,agg_full@rho0.8,0,0.55,0.0,2,0.8,agg_full,1787900193.041527,0,2048,,0,0,0,0,0,0,0,1,3,0.0020113587379455566,0;1;0;0,17,0,1,0,0,1,0,1,38,38,20.247141122817993,,3,3,3,3,0,0,0,0,0,0.0,0.0,0.0,12206.974744796753,0.0,1336.634637,2080.0,0,0,0,0,0,0
15,upsert,1,L0034,2048,0,1787900205.2485876,12.206908464431763,16,1,15,1787900193.0416791,conc2,agg_full@rho0.8,0,0.55,0.0,2,0.8,agg_full,1787900193.0416725,0,2048,,0,0,0,0,0,0,0,1,4,0.0020113587379455566,0;0;0;0,17,0,1,0,1,0,0,0,50,50,38.120986461639404,,3,1,3,1,0,0,0,2048,2048,40.96,0.0,40.96,12206.908464431763,40.96,1358.174123,2080.0,1,1,1,40.96,40.96,40.96
16,upsert,0,L0023,2560,2048,1787900205.2486274,10.462673425674438,17,3,16,1787900194.785954,conc2,agg_full@rho0.8,0,0.55,0.0,2,0.8,agg_full,1787900194.7859278,2048,512,20.45669984817505,0,2048,2048,0,2048,1,0,2,5,0.0020113587379455566,0;0;0;1,21,0,1,0,0,1,0,1,35,35,14.226271629333496,,0,0,0,0,0,0,2048,2560,512,10.24,0.0,10.24,10462.673425674438,10.24,1356.443615,2608.0,0,0,0,0,0,0
17,upsert,3,L0000,2048,3072,1787900217.674088,22.887824773788452,18,2,17,1787900194.7862632,conc2,agg_full@rho0.8,0,0.55,0.0,2,0.8,agg_full,1787900194.7862456,3072,-1024,7.829831600189209,0,3072,3072,2048,1024,2,0,4,6,0.0020113587379455566,0;0;0;0,21,0,1,1,0,1,0,0,42,42,14.10102653503418,,3,3,3,3,0,0,0,0,0,0.0,0.0,0.0,22887.824773788452,0.0,285.243322,2080.0,0,0,0,0,0,0
