update_seq,update_kind,instance,digest,coverage_after,pre_delivery_visible_cov,delivered_at_unix,signaling_delay_s,writer_seq,future_use_count,seq,t_send_unix,point_id,cell_id,rep,zipf_alpha,overlap,concurrency,rho,policy,send_ts_unix,coverage_before_source,source_coverage_delta,update_age_s,advertised_before,dispatcher_visible_before,best_visible_cov,second_visible_cov,visible_cov_gap,replica_visible_count,source_best_cov,digest_req_count_recent,in_flight_frames,ewma_delivery_delay_s,dispatcher_loads,dispatcher_rr,supersedes_in_flight,evaluated,superseded_before_use,decision_flip,decision_irrelevant,is_tombstone,dispatcher_load_sum,next_use_request_id,next_use_distance_requests,next_use_time_distance_s,next_use_discard,decision_without_update,decision_with_update,selected_instance_without,selected_instance_with,selected_load_without,selected_load_with,reusable_coverage_without,reusable_coverage_with,reusable_coverage_gain,estimated_prefill_gain_ms,estimated_queue_delta_ms,estimated_net_gain_ms,signaling_cost_ms,oracle_value_ms,realized_ttft_ms,realized_cached_tokens,impact_count_h1,impact_count_h4,impact_count_h8,cumulative_value_h1,cumulative_value_h4,cumulative_value_h8
0,upsert,0,L0048,2048,0,1787890262.2481248,0.003883838653564453,1,0,0,1787890262.244241,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1787890262.244205,0,2048,,0,0,0,0,0,0,0,1,1,,0;1;1;1,4,0,0,,,,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,
1,upsert,2,L0006,2048,0,1787890262.24831,0.0038683414459228516,2,0,1,1787890262.2444417,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1787890262.2444186,0,2048,,0,0,0,0,0,0,0,1,2,,0;1;0;1,4,0,0,,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,
2,upsert,1,L0014,2048,0,1787890262.2484467,0.003833770751953125,3,1,2,1787890262.244613,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1787890262.244595,0,2048,,0,0,0,0,0,0,0,1,3,,0;0;0;1,4,0,1,1,0,1,0,1,57,57,19.241767644882202,,1,1,1,1,0,0,0,0,0,0.0,0.0,0.0,3.833770751953125,0.0,593.215562,2608.0,0,0,0,0,0,0
3,upsert,3,L0023,2048,0,1787890262.2485561,0.003805875778198242,4,3,3,1787890262.2447503,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1787890262.2447348,0,2048,,0,0,0,0,0,0,0,1,4,,0;0;0;0,4,0,1,0,0,1,0,0,35,35,8.924924612045288,,3,3,3,3,0,0,0,0,0,0.0,0.0,0.0,3.805875778198242,0.0,491.453393,2608.0,0,0,0,0,0,0
4,upsert,0,L0000,2048,0,1787890263.79864,0.0042150020599365234,5,2,4,1787890263.794425,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1787890263.7943964,0,2048,,0,0,0,0,0,0,0,2,1,0.003847956657409668,0;1;1;1,8,0,1,0,0,1,0,3,42,42,10.599717855453491,,3,3,3,3,0,0,2560,2560,0,0.0,0.0,0.0,4.215002059936523,0.0,93.850454,2080.0,0,0,0,0,0,0
5,upsert,3,L0000,2560,0,1787890263.798761,0.0040130615234375,6,2,5,1787890263.7947478,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1787890263.794725,0,2560,,0,0,0,0,0,0,0,2,2,0.003847956657409668,0;1;1;0,8,0,1,1,0,1,0,2,42,42,10.599596977233887,,3,3,3,3,0,0,0,0,0,0.0,0.0,0.0,4.0130615234375,0.0,93.850454,2080.0,0,0,0,0,0,0
6,upsert,1,L0002,2048,0,1787890263.7988489,0.0038285255432128906,7,0,6,1787890263.7950203,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1787890263.7950008,0,2048,,0,0,0,0,0,0,0,1,3,0.003847956657409668,0;0;1;0,8,0,0,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
7,upsert,2,L0028,2048,0,1787890263.798948,0.003662109375,8,1,7,1787890263.795286,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1787890263.7952657,0,2048,,0,0,0,0,0,0,0,1,4,0.003847956657409668,0;0;0;0,8,0,1,0,1,0,0,0,55,55,15.66767954826355,,0,2,0,2,0,1,0,2048,2048,40.96,2.0,38.96,3.662109375,38.96,1722.086877,2080.0,1,1,1,38.96,38.96,38.96
8,upsert,0,L0040,2048,0,1787890264.862001,0.004199981689453125,9,0,8,1787890264.857801,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1787890264.8577743,0,2048,,0,0,0,0,0,0,0,1,1,0.0038888156414031982,0;1;1;1,12,0,0,,,,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,
9,upsert,1,L0017,2048,0,1787890264.8620987,0.003950357437133789,10,0,9,1787890264.8581483,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1787890264.8581266,0,2048,,0,0,0,0,0,0,0,1,2,0.0038888156414031982,0;0;1;1,12,0,0,,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,
10,upsert,2,L0055,2048,0,1787890264.862202,0.0037298202514648438,11,0,10,1787890264.858472,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1787890264.8584526,0,2048,,0,0,0,0,0,0,0,1,3,0.0038888156414031982,0;0;0;1,12,0,0,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
11,upsert,3,L0000,3072,2560,1787890265.4217188,0.5629632472991943,12,2,11,1787890264.8587556,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1787890264.8587294,2560,512,1.0640044212341309,0,2560,2560,2048,512,2,0,3,4,0.0038888156414031982,0;0;0;0,12,0,1,1,0,1,0,0,42,42,8.976639032363892,,3,3,3,3,0,0,0,0,0,0.0,0.0,0.0,562.9632472991943,0.0,93.850454,2080.0,0,0,0,0,0,0
12,upsert,0,L0001,2048,0,1787890270.1292367,4.172399282455444,13,0,12,1787890265.9568374,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1787890265.9568107,0,2048,,0,0,0,0,0,0,0,1,1,0.05049616098403931,0;1;1;1,16,0,0,,,,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,
13,upsert,2,L0047,2048,0,1787890271.0135493,5.056330919265747,14,0,13,1787890265.9572184,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1787890265.9571955,0,2048,,0,0,0,0,0,0,0,1,2,0.05049616098403931,0;1;0;1,16,0,0,,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,
14,upsert,1,L0058,2048,0,1787890271.0136259,5.056092977523804,15,1,14,1787890265.957533,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1787890265.9575121,0,2048,,0,0,0,0,0,0,0,1,3,0.05049616098403931,0;0;0;1,16,0,1,0,0,1,0,1,38,38,1.2638623714447021,,1,1,1,1,0,0,0,0,0,0.0,0.0,0.0,5056.092977523804,0.0,411.703452,2080.0,0,0,0,0,0,0
15,upsert,3,L0034,2048,0,1787890271.0136678,5.055832386016846,16,1,15,1787890265.9578354,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1787890265.9578154,0,2048,,0,0,0,0,0,0,0,1,4,0.05049616098403931,0;0;0;0,16,0,1,0,1,0,0,0,50,50,5.909432411193848,,0,3,0,3,0,1,0,2048,2048,40.96,2.0,38.96,5055.832386016846,38.96,2230.319667,2080.0,1,1,1,38.96,38.96,38.96
16,upsert,3,L0023,2560,2048,1787890273.8298852,6.809077024459839,17,2,16,1787890267.0208082,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1787890267.0207784,2048,512,4.776043653488159,0,2048,2048,0,2048,1,0,2,5,0.05049616098403931,0;1;0;2,23,0,1,0,0,1,0,3,46,46,2.0473666191101074,,3,3,3,3,0,0,0,0,0,0.0,0.0,0.0,6809.077024459839,0.0,90.876192,2080.0,0,0,0,0,0,0
17,upsert,3,L0000,2048,3072,1787890273.8300126,6.808790683746338,18,2,17,1787890267.0212219,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1787890267.0211916,3072,-1024,2.1624622344970703,0,3072,3072,2048,1024,2,0,5,6,0.05049616098403931,0;1;0;1,23,0,1,1,0,1,0,2,42,42,0.568345308303833,,3,3,3,3,0,0,0,0,0,0.0,0.0,0.0,6808.790683746338,0.0,93.850454,2080.0,0,0,0,0,0,0
18,upsert,3,L0000,2560,2048,1787890273.8301015,6.808536767959595,19,2,18,1787890267.0215647,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1787890267.0215404,2048,512,0.00034880638122558594,0,3072,3072,2048,1024,2,0,5,7,0.05049616098403931,0;1;0;0,23,1,1,0,0,1,0,1,42,42,0.5682563781738281,,3,3,3,3,0,0,2048,2560,512,10.24,0.0,10.24,6808.536767959595,10.24,93.850454,2080.0,0,0,0,0,0,0
19,upsert,1,L0046,2048,0,1787890275.8570921,8.835220575332642,20,1,19,1787890267.0218716,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1787890267.0218496,0,2048,,0,0,0,0,0,0,0,1,8,0.05049616098403931,0;0;0;0,23,0,1,0,1,0,0,0,58,58,5.633175849914551,,3,1,3,1,0,1,0,2048,2048,40.96,2.0,38.96,8835.220575332642,38.96,1291.915463,2080.0,1,1,1,38.96,38.96,38.96
20,upsert,2,L0006,2560,2048,1787890275.8572416,7.814941644668579,21,0,20,1787890268.0423,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1787890268.0422678,2048,512,5.797849178314209,0,2048,2048,0,2048,1,0,2,9,0.05049616098403931,1;1;0;1,29,0,0,,,,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,
