update_seq,update_kind,instance,digest,coverage_after,pre_delivery_visible_cov,delivered_at_unix,signaling_delay_s,writer_seq,future_use_count,seq,t_send_unix,point_id,cell_id,rep,zipf_alpha,overlap,concurrency,rho,policy,send_ts_unix,coverage_before_source,source_coverage_delta,update_age_s,advertised_before,dispatcher_visible_before,best_visible_cov,second_visible_cov,visible_cov_gap,replica_visible_count,source_best_cov,digest_req_count_recent,in_flight_frames,ewma_delivery_delay_s,dispatcher_loads,dispatcher_rr,supersedes_in_flight,evaluated,superseded_before_use,decision_flip,decision_irrelevant,is_tombstone,dispatcher_load_sum,next_use_request_id,next_use_distance_requests,next_use_time_distance_s,next_use_discard,decision_without_update,decision_with_update,selected_instance_without,selected_instance_with,selected_load_without,selected_load_with,reusable_coverage_without,reusable_coverage_with,reusable_coverage_gain,estimated_prefill_gain_ms,estimated_queue_delta_ms,estimated_net_gain_ms,signaling_cost_ms,oracle_value_ms,realized_ttft_ms,realized_cached_tokens,impact_count_h1,impact_count_h4,impact_count_h8,cumulative_value_h1,cumulative_value_h4,cumulative_value_h8
0,upsert,0,L0007,2048,0,1787889805.4240158,0.001298666000366211,1,0,0,1787889805.422717,base,agg_full@rho1.3,0,0.55,0.0,4,1.3,agg_full,1787889805.4227014,0,2048,,0,0,0,0,0,0,0,1,1,,0;1;1;1,4,0,0,,,,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,
1,upsert,2,L0051,2048,0,1787889805.4240737,0.0012736320495605469,2,0,1,1787889805.4228,base,agg_full@rho1.3,0,0.55,0.0,4,1.3,agg_full,1787889805.4227931,0,2048,,0,0,0,0,0,0,0,1,2,,0;1;0;1,4,0,0,,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,
3,upsert,3,L0010,2048,0,1787889805.4241047,0.0012195110321044922,3,0,3,1787889805.4228852,base,agg_full@rho1.3,0,0.55,0.0,4,1.3,agg_full,1787889805.4228816,0,2048,,0,0,0,0,0,0,0,1,4,,0;0;0;0,4,0,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,upsert,1,L0053,2048,0,1787889805.424129,0.001280069351196289,4,0,2,1787889805.422849,base,agg_full@rho1.3,0,0.55,0.0,4,1.3,agg_full,1787889805.4228446,0,2048,,0,0,0,0,0,0,0,1,3,,0;0;0;1,4,0,0,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
4,upsert,0,L0018,2048,0,1787889806.8229349,0.0015196800231933594,5,0,4,1787889806.8214152,base,agg_full@rho1.3,0,0.55,0.0,4,1.3,agg_full,1787889806.8214018,0,2048,,0,0,0,0,0,0,0,1,1,0.0012679696083068848,0;1;1;1,8,0,0,,,,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,
5,upsert,3,L0017,2048,0,1787889806.8229778,0.0014407634735107422,6,0,5,1787889806.821537,base,agg_full@rho1.3,0,0.55,0.0,4,1.3,agg_full,1787889806.821529,0,2048,,0,0,0,0,0,0,0,1,2,0.0012679696083068848,0;1;1;0,8,0,0,,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,
6,upsert,1,L0035,2048,0,1787889806.8230033,0.0014033317565917969,7,0,6,1787889806.8216,base,agg_full@rho1.3,0,0.55,0.0,4,1.3,agg_full,1787889806.8215952,0,2048,,0,0,0,0,0,0,0,1,3,0.0012679696083068848,0;0;1;0,8,0,0,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
7,upsert,2,L0010,2560,0,1787889806.8230247,0.001373291015625,8,0,7,1787889806.8216515,base,agg_full@rho1.3,0,0.55,0.0,4,1.3,agg_full,1787889806.8216472,0,2560,,0,0,2048,0,2048,1,0,2,4,0.0012679696083068848,0;0;0;0,8,0,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
8,upsert,0,L0021,2048,0,1787889808.6387012,0.0013959407806396484,9,0,8,1787889808.6373053,base,agg_full@rho1.3,0,0.55,0.0,4,1.3,agg_full,1787889808.6372933,0,2048,,0,0,0,0,0,0,0,1,1,0.0013511180877685547,0;2;1;0,13,0,0,,,,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,
9,upsert,1,L0012,2048,0,1787889808.6387417,0.0013093948364257812,10,0,9,1787889808.6374323,base,agg_full@rho1.3,0,0.55,0.0,4,1.3,agg_full,1787889808.6374264,0,2048,,0,0,0,0,0,0,0,1,2,0.0013511180877685547,0;1;1;0,13,0,0,,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,
