update_seq,update_kind,instance,digest,coverage_after,pre_delivery_visible_cov,delivered_at_unix,signaling_delay_s,writer_seq,future_use_count,seq,t_send_unix,point_id,cell_id,rep,zipf_alpha,overlap,concurrency,rho,policy,send_ts_unix,coverage_before_source,source_coverage_delta,update_age_s,advertised_before,dispatcher_visible_before,best_visible_cov,second_visible_cov,visible_cov_gap,replica_visible_count,source_best_cov,digest_req_count_recent,in_flight_frames,ewma_delivery_delay_s,dispatcher_loads,dispatcher_rr,supersedes_in_flight,evaluated,superseded_before_use,decision_flip,decision_irrelevant,is_tombstone,dispatcher_load_sum,next_use_request_id,next_use_distance_requests,next_use_time_distance_s,next_use_discard,decision_without_update,decision_with_update,selected_instance_without,selected_instance_with,selected_load_without,selected_load_with,reusable_coverage_without,reusable_coverage_with,reusable_coverage_gain,estimated_prefill_gain_ms,estimated_queue_delta_ms,estimated_net_gain_ms,signaling_cost_ms,oracle_value_ms,realized_ttft_ms,realized_cached_tokens,impact_count_h1,impact_count_h4,impact_count_h8,cumulative_value_h1,cumulative_value_h4,cumulative_value_h8
0,upsert,0,L0040,2048,0,1788144174.9957259,0.0032439231872558594,1,0,0,1788144174.992482,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1788144174.9924471,0,2048,,0,0,0,0,0,0,0,2,1,,0;1;1;1,4,0,0,,,,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,
1,upsert,2,L0004,2048,0,1788144174.9958744,0.003213644027709961,2,3,1,1788144174.9926608,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1788144174.9926434,0,2048,,0,0,0,0,0,0,0,1,2,,0;1;0;1,4,0,1,0,1,0,0,2,53,53,15.948797702789307,,1,2,1,2,0,1,0,2048,2048,40.96,2.0,38.96,3.213644027709961,38.96,1414.966333,2080.0,1,2,2,38.96,79.92,79.92
2,upsert,1,L0002,2048,0,1788144174.9959676,0.0031821727752685547,3,3,2,1788144174.9927855,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1788144174.9927738,0,2048,,0,0,0,0,0,0,0,1,3,,0;0;0;1,4,0,1,1,0,1,0,1,32,32,8.222138166427612,,1,1,1,1,0,0,0,0,0,0.0,0.0,0.0,3.1821727752685547,0.0,416.809396,2608.0,0,0,0,0,0,0
3,upsert,3,L0040,2560,0,1788144174.9960368,0.0031576156616210938,4,0,3,1788144174.9928792,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1788144174.9928694,0,2560,,0,0,0,0,0,0,0,2,4,,0;0;0;0,4,0,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,upsert,0,L0003,2048,0,1788144175.9271386,0.0036575794219970703,5,3,4,1788144175.923481,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1788144175.923457,0,2048,,0,0,0,0,0,0,0,1,1,0.003199338912963867,0;1;1;1,8,0,1,0,1,0,0,3,45,45,10.665154457092285,,2,0,2,0,0,0,0,2048,2048,40.96,0.0,40.96,3.6575794219970703,40.96,411.590272,2608.0,1,1,1,40.96,40.96,40.96
5,upsert,3,L0000,2048,0,1788144175.92727,0.003515005111694336,6,7,5,1788144175.923755,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1788144175.9237394,0,2048,,0,0,0,0,0,0,0,1,2,0.003199338912963867,0;1;1;0,8,0,1,0,1,0,0,2,38,38,8.204479932785034,,2,3,2,3,0,0,0,2048,2048,40.96,0.0,40.96,3.515005111694336,40.96,96.551991,3136.0,1,1,1,40.96,40.96,40.96
6,upsert,1,L0046,2048,0,1788144175.9273438,0.0034101009368896484,7,2,6,1788144175.9239337,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1788144175.9239209,0,2048,,0,0,0,0,0,0,0,1,3,0.003199338912963867,0;0;1;0,8,0,1,0,0,1,0,1,44,44,10.66488528251648,,1,1,1,1,0,0,0,0,0,0.0,0.0,0.0,3.4101009368896484,0.0,368.116478,2080.0,0,1,1,0,38.96,38.96
7,upsert,2,L0025,2048,0,1788144175.9274054,0.003304719924926758,8,1,7,1788144175.9241006,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1788144175.9240887,0,2048,,0,0,0,0,0,0,0,1,4,0.003199338912963867,0;0;0;0,8,0,1,0,0,1,0,0,57,57,16.677613735198975,,0,0,0,0,0,0,2560,2560,0,0.0,0.0,0.0,3.304719924926758,0.0,537.411518,2608.0,0,0,0,0,0,0
8,upsert,1,L0002,2560,2048,1788144177.1241071,0.0036187171936035156,9,3,8,1788144177.1204884,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1788144177.1204607,2048,512,2.1276869773864746,0,2048,2048,0,2048,1,0,2,1,0.00333559513092041,1;0;1;1,13,0,1,0,0,1,0,3,32,32,6.093998670578003,,1,1,1,1,0,0,2048,2560,512,10.24,0.0,10.24,3.6187171936035156,10.24,416.809396,2608.0,0,0,0,0,0,0
9,upsert,2,L0033,2048,0,1788144177.1242127,0.003455638885498047,10,1,9,1788144177.120757,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1788144177.1207411,0,2048,,0,0,0,0,0,0,0,1,2,0.00333559513092041,1;0;0;1,13,0,1,0,0,1,0,2,62,62,16.466748237609863,,0,0,0,0,0,0,2560,2560,0,0.0,0.0,0.0,3.455638885498047,0.0,410.016227,2608.0,0,0,0,0,0,0
10,upsert,3,L0007,2048,0,1788144177.628059,0.5071268081665039,11,3,10,1788144177.120932,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1788144177.1209192,0,2048,,0,0,0,0,0,0,0,1,3,0.00333559513092041,1;0;0;0,13,0,1,0,1,0,0,1,47,47,8.964325428009033,,2,3,2,3,0,1,0,2048,2048,40.96,2.0,38.96,507.1268081665039,38.96,2947.485056,2608.0,1,3,3,38.96,118.88,118.88
11,upsert,0,L0025,2560,0,1788144178.6358285,1.5147390365600586,12,1,11,1788144177.1210895,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1788144177.1210775,0,2560,,0,0,2048,0,2048,1,0,2,4,0.00333559513092041,0;0;0;0,13,0,1,0,1,0,0,0,57,57,13.96919059753418,,2,0,2,0,0,0,2048,2560,512,10.24,0.0,10.24,1514.7390365600586,10.24,537.411518,2608.0,1,1,1,10.24,10.24,10.24
12,upsert,1,L0029,2048,0,1788144183.488521,5.136277675628662,13,2,12,1788144178.3522434,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1788144178.3522184,0,2048,,0,0,0,0,0,0,0,1,2,0.04917144775390625,1;0;1;1,17,0,1,0,0,1,0,3,55,55,7.456249952316284,,1,1,1,1,0,0,0,0,0,0.0,0.0,0.0,5136.277675628662,0.0,371.832963,2080.0,0,1,1,0,40.96,40.96
13,upsert,3,L0028,2048,0,1788144183.488655,5.136131048202515,14,0,13,1788144178.352524,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1788144178.3525074,0,2048,,0,0,0,0,0,0,0,1,3,0.04917144775390625,1;0;1;0,17,0,0,,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,
14,upsert,2,L0044,2048,0,1788144183.488721,5.136015176773071,15,0,14,1788144178.3527057,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1788144178.3526928,0,2048,,0,0,0,0,0,0,0,1,4,0.04917144775390625,1;0;0;0,17,0,0,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
15,upsert,0,L0033,2560,0,1788144185.891627,7.538762092590332,16,1,15,1788144178.352865,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1788144178.3528538,0,2560,,0,0,2048,0,2048,1,0,2,5,0.04917144775390625,0;0;0;0,17,0,1,0,1,0,0,0,62,62,7.699333906173706,,2,0,2,0,1,0,2048,2560,512,10.24,-2.0,12.24,7538.762092590332,12.24,410.016227,2608.0,1,1,1,12.24,12.24,12.24
16,upsert,1,L0019,2048,0,1788144187.705577,8.423328161239624,17,1,16,1788144179.2822487,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1788144179.2822237,0,2048,,0,0,0,0,0,0,0,1,5,0.17130208015441895,1;0;1;1,22,0,1,0,1,0,0,3,50,50,2.144814968109131,,2,1,2,1,0,0,0,2048,2048,40.96,0.0,40.96,8423.328161239624,40.96,500.895701,2080.0,1,1,1,40.96,40.96,40.96
17,upsert,3,L0000,2560,2048,1788144187.7057173,8.423171520233154,18,6,17,1788144179.2825458,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1788144179.282524,2048,512,3.3587846755981445,0,2048,2048,0,2048,1,0,2,6,0.17130208015441895,1;0;1;0,22,0,1,0,0,1,0,2,54,54,3.2390058040618896,,3,3,3,3,0,0,2048,2560,512,10.24,0.0,10.24,8423.171520233154,10.24,80.614729,2080.0,0,0,0,0,0,0
18,upsert,0,L0012,2048,0,1788144187.7057836,8.423043012619019,19,0,18,1788144179.2827406,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1788144179.2827268,0,2048,,0,0,0,0,0,0,0,1,7,0.17130208015441895,0;0;1;0,22,0,0,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
