update_seq,update_kind,instance,digest,coverage_after,pre_delivery_visible_cov,delivered_at_unix,signaling_delay_s,writer_seq,future_use_count,seq,t_send_unix,point_id,cell_id,rep,zipf_alpha,overlap,concurrency,rho,policy,send_ts_unix,coverage_before_source,source_coverage_delta,update_age_s,advertised_before,dispatcher_visible_before,best_visible_cov,second_visible_cov,visible_cov_gap,replica_visible_count,source_best_cov,digest_req_count_recent,in_flight_frames,ewma_delivery_delay_s,dispatcher_loads,dispatcher_rr,supersedes_in_flight,use_index,use_request_id,use_dispatch_time_unix,use_discard,superseded_before_use,decision_without_update,decision_with_update,decision_flip,native_instance_without,selected_instance_without,selected_instance_with,selected_load_without,selected_load_with,reusable_coverage_without,reusable_coverage_with,reusable_coverage_gain,estimated_prefill_gain_ms,estimated_queue_delta_ms,estimated_net_gain_ms,signaling_cost_ms,oracle_value_ms,oracle_value_net_of_cost_ms,realized_ttft_ms,realized_cached_tokens,world1_expected_net_ms
6,upsert,1,L0041,2048,0,1787894253.435418,0.0033729076385498047,7,2,6,1787894253.432045,alphalow,agg_full@rho0.8,0,0.2,0.0,4,0.8,agg_full,1787894253.4320326,0,2048,,0,0,0,0,0,0,0,1,3,0.0033492445945739746,0;0;1;0,8,0,1,33,1787894269.9717798,,0,0,1,1,0,0,1,0,0,0,2048,2048,40.96,0.0,40.96,3.3729076385498047,40.96,37.587092361450196,748.406806,2080.0,40.96
6,upsert,1,L0041,2048,0,1787894253.435418,0.0033729076385498047,7,2,6,1787894253.432045,alphalow,agg_full@rho0.8,0,0.2,0.0,4,0.8,agg_full,1787894253.4320326,0,2048,,0,0,0,0,0,0,0,1,3,0.0033492445945739746,0;0;1;0,8,0,2,50,1787894281.424788,,0,2,1,1,2,2,1,0,1,0,2048,2048,40.96,2.0,38.96,3.3729076385498047,38.96,35.587092361450196,4062.1512,2608.0,38.96
9,upsert,1,L0031,2048,0,1787894255.5578835,0.0014233589172363281,10,1,9,1787894255.5564601,alphalow,agg_full@rho0.8,0,0.2,0.0,4,0.8,agg_full,1787894255.5564535,0,2048,,0,0,0,0,0,0,0,1,2,0.003390073776245117,0;0;1;1,12,0,1,51,1787894281.4248037,,0,2,1,1,2,2,1,0,2,0,2048,2048,40.96,4.0,36.96,1.4233589172363281,36.96,35.53664108276367,4061.864564,2608.0,36.96
13,upsert,2,L0023,2048,0,1787894263.6768105,5.788668394088745,14,2,13,1787894257.888142,alphalow,agg_full@rho0.8,0,0.2,0.0,4,0.8,agg_full,1787894257.888136,0,2048,,0,0,0,0,0,0,0,1,2,0.0027331908543904624,0;1;0;1,16,0,1,34,1787894269.9717984,,0,3,2,1,3,3,2,0,1,0,2048,2048,40.96,2.0,38.96,5788.668394088745,38.96,-5749.708394088745,3229.170735,2080.0,38.96
13,upsert,2,L0023,2048,0,1787894263.6768105,5.788668394088745,14,2,13,1787894257.888142,alphalow,agg_full@rho0.8,0,0.2,0.0,4,0.8,agg_full,1787894257.888136,0,2048,,0,0,0,0,0,0,0,1,2,0.0027331908543904624,0;1;0;1,16,0,2,63,1787894291.6195858,,1,2,2,0,,2,2,0,0,0,0,0,0.0,0.0,0.0,5788.668394088745,0.0,-5788.668394088745,110.893998,2080.0,0.0
14,upsert,1,L0022,2048,0,1787894263.6769066,5.788689136505127,15,1,14,1787894257.8882174,alphalow,agg_full@rho0.8,0,0.2,0.0,4,0.8,agg_full,1787894257.8882124,0,2048,,0,0,0,0,0,0,0,2,3,0.0027331908543904624,0;0;0;1,16,0,1,45,1787894279.4359539,,0,3,3,0,3,3,3,0,0,0,0,0,0.0,0.0,0.0,5788.689136505127,0.0,-5788.689136505127,839.021389,2608.0,0.0
15,upsert,3,L0022,2560,0,1787894265.6168077,7.728533029556274,16,1,15,1787894257.8882747,alphalow,agg_full@rho0.8,0,0.2,0.0,4,0.8,agg_full,1787894257.8882706,0,2560,,0,0,0,0,0,0,0,2,4,0.0027331908543904624,0;0;0;0,16,0,1,45,1787894279.4359539,,0,1,3,1,3,1,3,0,0,0,0,0,0.0,0.0,0.0,7728.533029556274,0.0,-7728.533029556274,839.021389,2608.0,0.0
22,upsert,3,L0023,2560,0,1787894276.7770765,11.932491064071655,23,1,22,1787894264.8445854,alphalow,agg_full@rho0.8,0,0.2,0.0,4,0.8,agg_full,1787894264.8445716,0,2560,,0,0,2048,0,2048,1,0,2,8,1.0732651551564534,0;0;1;0,28,0,1,63,1787894291.6195858,,0,2,2,0,2,2,2,0,0,0,0,0,0.0,0.0,0.0,11932.491064071655,0.0,-11932.491064071655,110.893998,2080.0,0.0
24,upsert,0,L0038,2048,0,1787894276.7771976,8.657759428024292,25,1,24,1787894268.1194382,alphalow,agg_full@rho0.8,0,0.2,0.0,4,0.8,agg_full,1787894268.1194136,0,2048,,0,0,0,0,0,0,0,1,9,1.4892193973064423,0;1;0;2,33,0,1,49,1787894281.4247699,,0,2,0,1,2,2,0,0,0,0,2048,2048,40.96,0.0,40.96,8657.759428024292,40.96,-8616.799428024293,843.037707,2080.0,40.96
25,upsert,3,L0005,2048,0,1787894276.7772548,8.65753960609436,26,2,25,1787894268.1197152,alphalow,agg_full@rho0.8,0,0.2,0.0,4,0.8,agg_full,1787894268.1196995,0,2048,,0,0,0,0,0,0,0,1,10,1.4892193973064423,0;1;0;1,33,0,1,61,1787894291.6194892,,0,1,3,1,1,1,3,0,1,0,2048,2048,40.96,2.0,38.96,8657.53960609436,38.96,-8618.579606094361,3769.411694,2080.0,38.96
25,upsert,3,L0005,2048,0,1787894276.7772548,8.65753960609436,26,2,25,1787894268.1197152,alphalow,agg_full@rho0.8,0,0.2,0.0,4,0.8,agg_full,1787894268.1196995,0,2048,,0,0,0,0,0,0,0,1,10,1.4892193973064423,0;1;0;1,33,0,2,62,1787894291.6195388,,0,0,3,1,0,0,3,0,2,0,2048,2048,40.96,4.0,36.96,8657.53960609436,36.96,-8620.579606094361,3768.893001,2608.0,36.96
32,upsert,2,L0014,2048,0,1787894284.9567966,11.199151754379272,33,1,32,1787894273.757645,alphalow,agg_full@rho0.8,0,0.2,0.0,4,0.8,agg_full,1787894273.7576187,0,2048,,0,0,0,0,0,0,0,1,14,2.727147416064614,0;1;1;1,44,0,1,54,1787894286.336361,,0,2,2,0,2,2,2,0,0,0,0,0,0.0,0.0,0.0,11199.151754379272,0.0,-11199.151754379272,852.762932,2080.0,0.0
34,upsert,2,L0023,3072,2048,1787894284.9568357,11.198239803314209,35,1,34,1787894273.758596,alphalow,agg_full@rho0.8,0,0.2,0.0,4,0.8,agg_full,1787894273.7585793,2048,1024,15.870443344116211,0,2048,2048,0,2048,1,0,3,16,2.727147416064614,0;0;0;1,44,0,1,63,1787894291.6195858,,0,3,2,1,2,3,2,3,0,0,0,0,0.0,-6.0,6.0,11198.239803314209,6.0,-11192.239803314209,110.893998,2080.0,0.0
35,upsert,3,L0011,2048,0,1787894284.956853,11.197848558425903,36,2,35,1787894273.7590044,alphalow,agg_full@rho0.8,0,0.2,0.0,4,0.8,agg_full,1787894273.7589908,0,2048,,0,0,0,0,0,0,0,1,17,2.727147416064614,0;0;0;0,44,0,1,53,1787894286.336343,,0,3,3,0,3,3,3,0,0,0,0,0,0.0,0.0,0.0,11197.848558425903,0.0,-11197.848558425903,1010.106051,2080.0,0.0
35,upsert,3,L0011,2048,0,1787894284.956853,11.197848558425903,36,2,35,1787894273.7590044,alphalow,agg_full@rho0.8,0,0.2,0.0,4,0.8,agg_full,1787894273.7589908,0,2048,,0,0,0,0,0,0,0,1,17,2.727147416064614,0;0;0;0,44,0,2,59,1787894288.249765,,0,1,3,1,1,1,3,0,1,0,2048,2048,40.96,2.0,38.96,11197.848558425903,38.96,-11158.888558425904,2787.422737,2608.0,38.96
65,upsert,3,L0068,2048,0,1787894323.7369215,25.32154679298401,66,2,65,1787894298.4153748,alphalow,agg_full@rho0.8,0,0.2,0.0,4,0.8,agg_full,1787894298.415367,0,2048,,0,0,0,0,0,0,0,1,18,12.647068776190281,1;1;0;0,86,0,1,112,1787894327.2301307,,0,0,3,1,0,0,3,0,0,0,2048,2048,40.96,0.0,40.96,25321.54679298401,40.96,-25280.58679298401,967.926904,2080.0,40.96
65,upsert,3,L0068,2048,0,1787894323.7369215,25.32154679298401,66,2,65,1787894298.4153748,alphalow,agg_full@rho0.8,0,0.2,0.0,4,0.8,agg_full,1787894298.415367,0,2048,,0,0,0,0,0,0,0,1,18,12.647068776190281,1;1;0;0,86,0,2,113,1787894327.2302063,,0,2,3,1,2,2,3,0,1,0,2048,2048,40.96,2.0,38.96,25321.54679298401,38.96,-25282.58679298401,2087.704136,2608.0,38.96
67,upsert,1,L0073,2048,0,1787894323.737038,25.32139229774475,68,1,67,1787894298.4156456,alphalow,agg_full@rho0.8,0,0.2,0.0,4,0.8,agg_full,1787894298.4156408,0,2048,,0,0,0,0,0,0,0,1,20,12.647068776190281,0;0;0;0,86,0,1,117,1787894330.1535115,,0,1,1,0,1,1,1,0,0,0,0,0,0.0,0.0,0.0,25321.39229774475,0.0,-25321.39229774475,754.311661,2080.0,0.0
68,upsert,2,L0079,2048,0,1787894323.737083,23.226823568344116,69,1,68,1787894300.5102594,alphalow,agg_full@rho0.8,0,0.2,0.0,4,0.8,agg_full,1787894300.5102456,0,2048,,0,0,0,0,0,0,0,1,21,12.647068776190281,1;1;0;1,90,0,1,119,1787894330.1536047,,0,0,2,1,0,0,2,0,1,0,2048,2048,40.96,2.0,38.96,23226.823568344116,38.96,-23187.863568344117,2581.045078,2080.0,38.96
70,upsert,1,L0110,2048,0,1787894323.7372165,23.2265784740448,71,1,70,1787894300.510638,alphalow,agg_full@rho0.8,0,0.2,0.0,4,0.8,agg_full,1787894300.5106332,0,2048,,0,0,0,0,0,0,0,1,23,12.647068776190281,0;0;0;1,90,0,1,120,1787894333.288006,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,23226.5784740448,0.0,-23226.5784740448,853.915351,2608.0,0.0
71,upsert,3,L0069,2048,0,1787894323.7372613,23.226492881774902,72,2,71,1787894300.5107684,alphalow,agg_full@rho0.8,0,0.2,0.0,4,0.8,agg_full,1787894300.5107632,0,2048,,0,0,0,0,0,0,0,1,24,12.647068776190281,0;0;0;0,90,0,1,108,1787894324.913646,,0,2,3,1,2,2,3,0,0,0,2048,2048,40.96,0.0,40.96,23226.492881774902,40.96,-23185.532881774903,860.169429,2080.0,40.96
71,upsert,3,L0069,2048,0,1787894323.7372613,23.226492881774902,72,2,71,1787894300.5107684,alphalow,agg_full@rho0.8,0,0.2,0.0,4,0.8,agg_full,1787894300.5107632,0,2048,,0,0,0,0,0,0,0,1,24,12.647068776190281,0;0;0;0,90,0,2,111,1787894324.9137893,,0,0,3,1,0,0,3,0,1,0,2048,2048,40.96,2.0,38.96,23226.492881774902,38.96,-23187.532881774903,1896.098909,2608.0,38.96
74,upsert,0,L0110,2560,0,1787894323.7373772,20.925771951675415,75,1,74,1787894302.8116052,alphalow,agg_full@rho0.8,0,0.2,0.0,4,0.8,agg_full,1787894302.8116004,0,2560,,0,0,0,0,0,0,0,2,27,12.647068776190281,0;0;0;1,94,0,1,120,1787894333.288006,,0,1,0,1,0,1,0,0,0,0,0,0,0.0,0.0,0.0,20925.771951675415,0.0,-20925.771951675415,853.915351,2608.0,0.0
75,upsert,3,L0071,2048,0,1787894323.7374125,20.92566752433777,76,2,75,1787894302.811745,alphalow,agg_full@rho0.8,0,0.2,0.0,4,0.8,agg_full,1787894302.8117404,0,2048,,0,0,0,0,0,0,0,1,28,12.647068776190281,0;0;0;0,94,0,1,122,1787894333.2881184,,0,2,3,1,2,2,3,0,1,0,2048,2048,40.96,2.0,38.96,20925.66752433777,38.96,-20886.70752433777,3673.831511,2080.0,38.96
