update_seq,update_kind,instance,digest,coverage_after,pre_delivery_visible_cov,delivered_at_unix,signaling_delay_s,writer_seq,future_use_count,seq,t_send_unix,point_id,cell_id,rep,zipf_alpha,overlap,concurrency,rho,policy,send_ts_unix,coverage_before_source,source_coverage_delta,update_age_s,advertised_before,dispatcher_visible_before,best_visible_cov,second_visible_cov,visible_cov_gap,replica_visible_count,source_best_cov,digest_req_count_recent,in_flight_frames,ewma_delivery_delay_s,dispatcher_loads,dispatcher_rr,supersedes_in_flight,use_index,use_request_id,use_dispatch_time_unix,use_discard,superseded_before_use,decision_without_update,decision_with_update,decision_flip,native_instance_without,selected_instance_without,selected_instance_with,selected_load_without,selected_load_with,reusable_coverage_without,reusable_coverage_with,reusable_coverage_gain,estimated_prefill_gain_ms,estimated_queue_delta_ms,estimated_net_gain_ms,signaling_cost_ms,oracle_value_ms,oracle_value_net_of_cost_ms,realized_ttft_ms,realized_cached_tokens,world1_expected_net_ms
2,upsert,2,L0014,2048,0,1787900174.3312082,0.0022258758544921875,3,1,2,1787900174.3289824,conc2,agg_full@rho0.8,0,0.55,0.0,2,0.8,agg_full,1787900174.32896,0,2048,,0,0,0,0,0,0,0,1,1,0.0018159151077270508,1;0;0;0,4,0,1,57,1787900253.1920183,,1,2,2,0,,2,2,0,0,0,0,0,0.0,0.0,0.0,2.2258758544921875,0.0,-2.2258758544921875,1505.952629,2608.0,51.2
3,upsert,0,L0023,2048,0,1787900174.3313177,0.002074003219604492,4,3,3,1787900174.3292437,conc2,agg_full@rho0.8,0,0.55,0.0,2,0.8,agg_full,1787900174.329228,0,2048,,0,0,0,0,0,0,0,1,2,0.0018159151077270508,0;0;0;0,4,0,1,35,1787900219.474899,,1,0,0,0,,0,0,0,0,0,0,0,0.0,0.0,0.0,2.074003219604492,0.0,-2.074003219604492,1356.443615,2608.0,51.2
3,upsert,0,L0023,2048,0,1787900174.3313177,0.002074003219604492,4,3,3,1787900174.3292437,conc2,agg_full@rho0.8,0,0.55,0.0,2,0.8,agg_full,1787900174.329228,0,2048,,0,0,0,0,0,0,0,1,2,0.0018159151077270508,0;0;0;0,4,0,2,46,1787900238.532496,,1,0,0,0,,0,0,0,0,0,0,0,0.0,0.0,0.0,2.074003219604492,0.0,-2.074003219604492,306.908837,2080.0,51.2
3,upsert,0,L0023,2048,0,1787900174.3313177,0.002074003219604492,4,3,3,1787900174.3292437,conc2,agg_full@rho0.8,0,0.55,0.0,2,0.8,agg_full,1787900174.329228,0,2048,,0,0,0,0,0,0,0,1,2,0.0018159151077270508,0;0;0;0,4,0,3,63,1787900262.7246475,,1,0,0,0,,0,0,1,1,0,0,0,0.0,0.0,0.0,2.074003219604492,0.0,-2.074003219604492,2498.305176,2608.0,59.44
4,upsert,0,L0000,2048,0,1787900178.534955,0.002173185348510742,5,2,4,1787900178.5327818,conc2,agg_full@rho0.8,0,0.55,0.0,2,0.8,agg_full,1787900178.532758,0,2048,,0,0,0,0,0,0,0,2,1,0.0019829273223876953,0;0;0;1,6,0,1,42,1787900231.7751145,,0,3,3,0,0,3,3,0,0,1024,1024,0,0.0,0.0,0.0,2.173185348510742,0.0,-2.173185348510742,285.243322,2080.0,20.48
4,upsert,0,L0000,2048,0,1787900178.534955,0.002173185348510742,5,2,4,1787900178.5327818,conc2,agg_full@rho0.8,0,0.55,0.0,2,0.8,agg_full,1787900178.532758,0,2048,,0,0,0,0,0,0,0,2,1,0.0019829273223876953,0;0;0;1,6,0,2,60,1787900258.97251,,0,3,3,0,1,3,3,0,0,3072,3072,0,0.0,0.0,0.0,2.173185348510742,0.0,-2.173185348510742,301.751779,2608.0,61.44
5,upsert,3,L0000,2560,0,1787900178.5350645,0.002029895782470703,6,2,5,1787900178.5330346,conc2,agg_full@rho0.8,0,0.55,0.0,2,0.8,agg_full,1787900178.5330193,0,2560,,0,0,0,0,0,0,0,2,2,0.0019829273223876953,0;0;0;0,6,0,1,42,1787900231.7751145,,1,3,3,0,,3,3,0,0,0,0,0,0.0,0.0,0.0,2.029895782470703,0.0,-2.029895782470703,285.243322,2080.0,20.48
5,upsert,3,L0000,2560,0,1787900178.5350645,0.002029895782470703,6,2,5,1787900178.5330346,conc2,agg_full@rho0.8,0,0.55,0.0,2,0.8,agg_full,1787900178.5330193,0,2560,,0,0,0,0,0,0,0,2,2,0.0019829273223876953,0;0;0;0,6,0,2,60,1787900258.97251,,1,3,3,0,,3,3,0,0,0,0,0,0.0,0.0,0.0,2.029895782470703,0.0,-2.029895782470703,301.751779,2608.0,61.44
7,upsert,1,L0028,2048,0,1787900181.468858,0.0018320083618164062,8,1,7,1787900181.467026,conc2,agg_full@rho0.8,0,0.55,0.0,2,0.8,agg_full,1787900181.4670107,0,2048,,0,0,0,0,0,0,0,1,2,0.0020224650700887046,0;0;0;0,8,0,1,55,1787900250.7006717,,0,1,1,0,1,1,1,0,0,0,0,0,0.0,0.0,0.0,1.8320083618164062,0.0,-1.8320083618164062,1237.846022,2080.0,0.0
11,upsert,3,L0000,3072,2560,1787900186.9582176,0.001795053482055664,12,2,11,1787900186.9564226,conc2,agg_full@rho0.8,0,0.55,0.0,2,0.8,agg_full,1787900186.956414,2560,512,8.423394680023193,0,2560,2560,2048,512,2,0,3,2,0.002052021026611328,0;0;0;0,13,0,1,42,1787900231.7751145,,1,3,3,0,,3,3,0,0,0,0,0,0.0,0.0,0.0,1.795053482055664,0.0,-1.795053482055664,285.243322,2080.0,20.48
11,upsert,3,L0000,3072,2560,1787900186.9582176,0.001795053482055664,12,2,11,1787900186.9564226,conc2,agg_full@rho0.8,0,0.55,0.0,2,0.8,agg_full,1787900186.956414,2560,512,8.423394680023193,0,2560,2560,2048,512,2,0,3,2,0.002052021026611328,0;0;0;0,13,0,2,60,1787900258.97251,,1,3,3,0,,3,3,0,0,0,0,0,0.0,0.0,0.0,1.795053482055664,0.0,-1.795053482055664,301.751779,2608.0,61.44
14,upsert,3,L0058,2048,0,1787900205.2485151,12.206974744796753,15,1,14,1787900193.0415404,conc2,agg_full@rho0.8,0,0.55,0.0,2,0.8,agg_full,1787900193.041527,0,2048,,0,0,0,0,0,0,0,1,3,0.0020113587379455566,0;1;0;0,17,0,1,38,1787900225.4956563,,0,3,3,0,3,3,3,0,0,0,0,0,0.0,0.0,0.0,12206.974744796753,0.0,-12206.974744796753,1336.634637,2080.0,0.0
15,upsert,1,L0034,2048,0,1787900205.2485876,12.206908464431763,16,1,15,1787900193.0416791,conc2,agg_full@rho0.8,0,0.55,0.0,2,0.8,agg_full,1787900193.0416725,0,2048,,0,0,0,0,0,0,0,1,4,0.0020113587379455566,0;0;0;0,17,0,1,50,1787900243.369574,,0,3,1,1,3,3,1,0,0,0,2048,2048,40.96,0.0,40.96,12206.908464431763,40.96,-12165.948464431764,1358.174123,2080.0,40.96
16,upsert,0,L0023,2560,2048,1787900205.2486274,10.462673425674438,17,3,16,1787900194.785954,conc2,agg_full@rho0.8,0,0.55,0.0,2,0.8,agg_full,1787900194.7859278,2048,512,20.45669984817505,0,2048,2048,0,2048,1,0,2,5,0.0020113587379455566,0;0;0;1,21,0,1,35,1787900219.474899,,0,0,0,0,1,0,0,0,0,2048,2560,512,10.24,0.0,10.24,10462.673425674438,10.24,-10452.433425674439,1356.443615,2608.0,51.2
