update_seq,update_kind,instance,digest,coverage_after,pre_delivery_visible_cov,delivered_at_unix,signaling_delay_s,writer_seq,future_use_count,seq,t_send_unix,point_id,cell_id,rep,zipf_alpha,overlap,concurrency,rho,policy,send_ts_unix,coverage_before_source,source_coverage_delta,update_age_s,advertised_before,dispatcher_visible_before,best_visible_cov,second_visible_cov,visible_cov_gap,replica_visible_count,source_best_cov,digest_req_count_recent,in_flight_frames,ewma_delivery_delay_s,dispatcher_loads,dispatcher_rr,supersedes_in_flight,use_index,use_request_id,use_dispatch_time_unix,use_discard,superseded_before_use,decision_without_update,decision_with_update,decision_flip,native_instance_without,selected_instance_without,selected_instance_with,selected_load_without,selected_load_with,reusable_coverage_without,reusable_coverage_with,reusable_coverage_gain,estimated_prefill_gain_ms,estimated_queue_delta_ms,estimated_net_gain_ms,signaling_cost_ms,oracle_value_ms,oracle_value_net_of_cost_ms,realized_ttft_ms,realized_cached_tokens,world1_expected_net_ms
2,upsert,1,L0014,2048,0,1787896004.5422974,0.0036780834197998047,3,1,2,1787896004.5386193,ov0,agg_static@rho0.8,0,0.55,0.0,4,0.8,agg_static,1787896004.5386071,0,2048,,0,0,0,0,0,0,0,1,3,,0;0;0;1,4,0,1,57,1787896042.1975708,,1,1,1,0,,1,1,0,0,0,0,0,0.0,0.0,0.0,3.6780834197998047,0.0,-3.6780834197998047,1063.535527,2608.0,51.2
3,upsert,3,L0023,2048,0,1787896004.5424087,0.0036973953247070312,4,3,3,1787896004.5387113,ov0,agg_static@rho0.8,0,0.55,0.0,4,0.8,agg_static,1787896004.538701,0,2048,,0,0,0,0,0,0,0,1,4,,0;0;0;0,4,0,1,35,1787896023.6217258,,0,0,3,1,0,0,3,0,1,0,2048,2048,40.96,2.0,38.96,3.6973953247070312,38.96,35.26260467529297,3287.082853,2608.0,38.96
3,upsert,3,L0023,2048,0,1787896004.5424087,0.0036973953247070312,4,3,3,1787896004.5387113,ov0,agg_static@rho0.8,0,0.55,0.0,4,0.8,agg_static,1787896004.538701,0,2048,,0,0,0,0,0,0,0,1,4,,0;0;0;0,4,0,2,46,1787896034.4058616,,1,3,3,0,,3,3,0,0,0,0,0,0.0,0.0,0.0,3.6973953247070312,0.0,-3.6973953247070312,125.280568,2080.0,51.2
3,upsert,3,L0023,2048,0,1787896004.5424087,0.0036973953247070312,4,3,3,1787896004.5387113,ov0,agg_static@rho0.8,0,0.55,0.0,4,0.8,agg_static,1787896004.538701,0,2048,,0,0,0,0,0,0,0,1,4,,0;0;0;0,4,0,3,63,1787896045.1877232,,1,3,3,0,,3,3,1,1,0,0,0,0.0,0.0,0.0,3.6973953247070312,0.0,-3.6973953247070312,400.907986,2608.0,59.44
4,upsert,0,L0000,2048,0,1787896007.9865756,0.0042724609375,5,2,4,1787896007.9823031,ov0,agg_static@rho0.8,0,0.55,0.0,4,0.8,agg_static,1787896007.9822788,0,2048,,0,0,0,0,0,0,0,2,1,0.003659963607788086,0;1;1;1,8,0,1,42,1787896031.3226962,,0,3,3,0,2,3,3,1,1,3072,3072,0,0.0,0.0,0.0,4.2724609375,0.0,-4.2724609375,2447.122597,2080.0,59.44
4,upsert,0,L0000,2048,0,1787896007.9865756,0.0042724609375,5,2,4,1787896007.9823031,ov0,agg_static@rho0.8,0,0.55,0.0,4,0.8,agg_static,1787896007.9822788,0,2048,,0,0,0,0,0,0,0,2,1,0.003659963607788086,0;1;1;1,8,0,2,60,1787896045.187579,,0,3,3,0,0,3,3,0,0,1024,1024,0,0.0,0.0,0.0,4.2724609375,0.0,-4.2724609375,176.055657,2608.0,20.48
5,upsert,3,L0000,2560,0,1787896007.9867277,0.004170417785644531,6,2,5,1787896007.9825573,ov0,agg_static@rho0.8,0,0.55,0.0,4,0.8,agg_static,1787896007.9825423,0,2560,,0,0,0,0,0,0,0,2,2,0.003659963607788086,0;1;1;0,8,0,1,42,1787896031.3226962,,1,3,3,0,,3,3,1,1,0,0,0,0.0,0.0,0.0,4.170417785644531,0.0,-4.170417785644531,2447.122597,2080.0,59.44
5,upsert,3,L0000,2560,0,1787896007.9867277,0.004170417785644531,6,2,5,1787896007.9825573,ov0,agg_static@rho0.8,0,0.55,0.0,4,0.8,agg_static,1787896007.9825423,0,2560,,0,0,0,0,0,0,0,2,2,0.003659963607788086,0;1;1;0,8,0,2,60,1787896045.187579,,1,3,3,0,,3,3,0,0,0,0,0,0.0,0.0,0.0,4.170417785644531,0.0,-4.170417785644531,176.055657,2608.0,20.48
7,upsert,2,L0028,2048,0,1787896007.9869459,0.004077911376953125,8,1,7,1787896007.982868,ov0,agg_static@rho0.8,0,0.55,0.0,4,0.8,agg_static,1787896007.9828563,0,2048,,0,0,0,0,0,0,0,1,4,0.003659963607788086,0;0;0;0,8,0,1,55,1787896039.6311452,,0,2,2,0,2,2,2,0,0,0,0,0,0.0,0.0,0.0,4.077911376953125,0.0,-4.077911376953125,922.594925,2080.0,0.0
11,upsert,3,L0000,3072,2560,1787896010.1233232,0.003587484359741211,12,2,11,1787896010.1197357,ov0,agg_static@rho0.8,0,0.55,0.0,4,0.8,agg_static,1787896010.1197186,2560,512,2.137176275253296,0,2560,2560,2048,512,2,0,3,4,0.0039098262786865234,0;0;0;0,12,0,1,42,1787896031.3226962,,1,3,3,0,,3,3,1,1,0,0,0,0.0,0.0,0.0,3.587484359741211,0.0,-3.587484359741211,2447.122597,2080.0,59.44
11,upsert,3,L0000,3072,2560,1787896010.1233232,0.003587484359741211,12,2,11,1787896010.1197357,ov0,agg_static@rho0.8,0,0.55,0.0,4,0.8,agg_static,1787896010.1197186,2560,512,2.137176275253296,0,2560,2560,2048,512,2,0,3,4,0.0039098262786865234,0;0;0;0,12,0,2,60,1787896045.187579,,1,3,3,0,,3,3,0,0,0,0,0,0.0,0.0,0.0,3.587484359741211,0.0,-3.587484359741211,176.055657,2608.0,20.48
