update_seq,update_kind,instance,digest,coverage_after,pre_delivery_visible_cov,delivered_at_unix,signaling_delay_s,writer_seq,future_use_count,seq,t_send_unix,point_id,cell_id,rep,zipf_alpha,overlap,concurrency,rho,policy,send_ts_unix,coverage_before_source,source_coverage_delta,update_age_s,advertised_before,dispatcher_visible_before,best_visible_cov,second_visible_cov,visible_cov_gap,replica_visible_count,source_best_cov,digest_req_count_recent,in_flight_frames,ewma_delivery_delay_s,dispatcher_loads,dispatcher_rr,supersedes_in_flight,use_index,use_request_id,use_dispatch_time_unix,use_discard,superseded_before_use,decision_without_update,decision_with_update,decision_flip,native_instance_without,selected_instance_without,selected_instance_with,selected_load_without,selected_load_with,reusable_coverage_without,reusable_coverage_with,reusable_coverage_gain,estimated_prefill_gain_ms,estimated_queue_delta_ms,estimated_net_gain_ms,signaling_cost_ms,oracle_value_ms,oracle_value_net_of_cost_ms,realized_ttft_ms,realized_cached_tokens,world1_expected_net_ms
1,upsert,2,L0004,2048,0,1788144174.9958744,0.003213644027709961,2,3,1,1788144174.9926608,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1788144174.9926434,0,2048,,0,0,0,0,0,0,0,1,2,,0;1;0;1,4,0,1,53,1788144190.944672,,0,1,2,1,1,1,2,0,1,0,2048,2048,40.96,2.0,38.96,3.213644027709961,38.96,35.74635597229004,1414.966333,2080.0,38.96
1,upsert,2,L0004,2048,0,1788144174.9958744,0.003213644027709961,2,3,1,1788144174.9926608,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1788144174.9926434,0,2048,,0,0,0,0,0,0,0,1,2,,0;1;0;1,4,0,2,76,1788144199.5040016,,0,1,2,1,1,1,2,0,0,0,2048,2048,40.96,0.0,40.96,3.213644027709961,40.96,37.74635597229004,411.974138,2608.0,40.96
1,upsert,2,L0004,2048,0,1788144174.9958744,0.003213644027709961,2,3,1,1788144174.9926608,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1788144174.9926434,0,2048,,0,0,0,0,0,0,0,1,2,,0;1;0;1,4,0,3,88,1788144204.2478533,,0,2,2,0,2,2,2,0,0,0,0,0,0.0,0.0,0.0,3.213644027709961,0.0,-3.213644027709961,71.483325,2080.0,0.0
2,upsert,1,L0002,2048,0,1788144174.9959676,0.0031821727752685547,3,3,2,1788144174.9927855,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1788144174.9927738,0,2048,,0,0,0,0,0,0,0,1,3,,0;0;0;1,4,0,1,32,1788144183.2181058,,1,1,1,0,,1,1,0,0,0,0,0,0.0,0.0,0.0,3.1821727752685547,0.0,-3.1821727752685547,416.809396,2608.0,51.2
2,upsert,1,L0002,2048,0,1788144174.9959676,0.0031821727752685547,3,3,2,1788144174.9927855,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1788144174.9927738,0,2048,,0,0,0,0,0,0,0,1,3,,0;0;0;1,4,0,2,82,1788144200.492416,,1,1,1,0,,1,1,0,0,0,0,0,0.0,0.0,0.0,3.1821727752685547,0.0,-3.1821727752685547,70.812291,2080.0,0.0
2,upsert,1,L0002,2048,0,1788144174.9959676,0.0031821727752685547,3,3,2,1788144174.9927855,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1788144174.9927738,0,2048,,0,0,0,0,0,0,0,1,3,,0;0;0;1,4,0,3,92,1788144205.3180153,,1,1,1,0,,1,1,0,0,0,0,0,0.0,0.0,0.0,3.1821727752685547,0.0,-3.1821727752685547,84.446606,2608.0,61.44
4,upsert,0,L0003,2048,0,1788144175.9271386,0.0036575794219970703,5,3,4,1788144175.923481,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1788144175.923457,0,2048,,0,0,0,0,0,0,0,1,1,0.003199338912963867,0;1;1;1,8,0,1,45,1788144186.592293,,0,2,0,1,2,2,0,0,0,0,2048,2048,40.96,0.0,40.96,3.6575794219970703,40.96,37.30242057800293,411.590272,2608.0,40.96
4,upsert,0,L0003,2048,0,1788144175.9271386,0.0036575794219970703,5,3,4,1788144175.923481,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1788144175.923457,0,2048,,0,0,0,0,0,0,0,1,1,0.003199338912963867,0;1;1;1,8,0,2,48,1788144189.850285,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3.6575794219970703,0.0,-3.6575794219970703,120.081076,2080.0,0.0
4,upsert,0,L0003,2048,0,1788144175.9271386,0.0036575794219970703,5,3,4,1788144175.923481,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1788144175.923457,0,2048,,0,0,0,0,0,0,0,1,1,0.003199338912963867,0;1;1;1,8,0,3,81,1788144200.4923632,,1,0,0,0,,0,0,0,0,0,0,0,0.0,0.0,0.0,3.6575794219970703,0.0,-3.6575794219970703,83.296148,2608.0,0.0
5,upsert,3,L0000,2048,0,1788144175.92727,0.003515005111694336,6,7,5,1788144175.923755,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1788144175.9237394,0,2048,,0,0,0,0,0,0,0,1,2,0.003199338912963867,0;1;1;0,8,0,1,38,1788144184.1317499,,0,2,3,1,2,2,3,0,0,0,2048,2048,40.96,0.0,40.96,3.515005111694336,40.96,37.444994888305665,96.551991,3136.0,40.96
