point_id,policy,rho,n_updates_next_use,decision_flip_rate,decision_irrelevant_rate,irrelevant_rate_mean_across_reps,irrelevant_rate_min_across_reps,superseded_before_use_share
base,agg_full,0.5,34,0.6470588235294118,0.3529411764705882,0.3576388888888889,0.2777777777777778,0.058823529411764705
base,agg_full,0.8,29,0.41379310344827586,0.5862068965517242,0.5862068965517242,0.5862068965517242,0.20689655172413793
base,agg_full,1.0,1,1.0,0.0,0.0,0.0,0.0
base,agg_static,0.5,80,0.3625,0.6375,0.6237911025145068,0.5454545454545454,0.1
base,agg_static,0.8,17,0.35294117647058826,0.6470588235294117,0.6547619047619048,0.6428571428571428,0.17647058823529413
base,agg_static,1.0,7,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.0
base,agg_static,1.2,7,0.5714285714285714,0.4285714285714286,0.4285714285714286,0.4285714285714286,0.14285714285714285
base,exact_fifo,0.5,88,0.3522727272727273,0.6477272727272727,0.6416666666666666,0.575,0.14772727272727273
base,exact_fifo,0.8,16,0.5625,0.4375,0.39743589743589747,0.33333333333333337,0.0625
base,exact_fifo,1.0,14,0.21428571428571427,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.2857142857142857
base,exact_fifo,1.2,17,0.47058823529411764,0.5294117647058824,0.4928571428571428,0.2857142857142857,0.11764705882352941
