point_id,policy,rho,n_flips,share_positive_gain,share_near_zero_gain,share_negative_gain,net_gain_mean_ms,net_gain_p10_ms,net_gain_p90_ms,reusable_gain_mean_tokens
base,agg_full,0.5,22,1.0,0.0,0.0,30.64,10.24,49.2,1559.2727272727273
base,agg_full,0.8,12,0.75,0.25,0.0,29.886666666666667,0.0,40.96,1536.0
base,agg_full,1.0,1,1.0,0.0,0.0,38.96,38.96,38.96,2048.0
base,agg_static,0.5,29,0.9310344827586207,0.0,0.06896551724137931,29.61655172413793,10.24,40.96,1536.0
base,agg_static,0.8,6,1.0,0.0,0.0,34.17333333333333,10.24,38.96,1792.0
base,agg_static,1.0,3,1.0,0.0,0.0,19.146666666666665,8.24,38.96,1024.0
base,agg_static,1.2,4,1.0,0.0,0.0,31.78,10.24,40.96,1664.0
base,exact_fifo,0.5,31,0.9032258064516129,0.03225806451612903,0.06451612903225806,30.082580645161293,2.0,40.96,1552.516129032258
base,exact_fifo,0.8,9,0.8888888888888888,0.1111111111111111,0.0,24.586666666666666,2.0,40.96,1251.5555555555557
base,exact_fifo,1.0,3,1.0,0.0,0.0,38.96,38.96,38.96,2048.0
base,exact_fifo,1.2,8,1.0,0.0,0.0,35.62,38.96,38.96,1856.0
