point_id,policy,rho,n_flips,share_positive_gain,share_near_zero_gain,share_negative_gain,net_gain_mean_ms,net_gain_p10_ms,net_gain_p90_ms,reusable_gain_mean_tokens
base,agg_full,0.5,138,0.9347826086956522,0.028985507246376812,0.036231884057971016,31.77449275362319,8.24,40.96,1621.3333333333333
base,agg_full,0.8,104,0.9423076923076923,0.038461538461538464,0.019230769230769232,30.27769230769231,4.0,40.96,1536.0
base,agg_full,1.0,44,0.9772727272727273,0.022727272727272728,0.0,36.13454545454545,10.24,49.2,1838.5454545454545
base,agg_full,1.2,40,0.925,0.075,0.0,31.812,2.0,40.96,1625.6
base,agg_static,0.5,152,0.9342105263157895,0.05263157894736842,0.013157894736842105,29.84526315789474,8.24,40.96,1522.5263157894738
base,agg_static,0.8,91,0.945054945054945,0.04395604395604396,0.01098901098901099,30.735824175824177,8.24,40.96,1569.7582417582419
base,agg_static,1.0,60,0.9833333333333333,0.0,0.016666666666666666,29.841333333333335,8.24,40.96,1510.4
base,agg_static,1.2,55,0.9818181818181818,0.01818181818181818,0.0,33.602909090909094,8.24,40.96,1712.8727272727272
base,exact_fifo,0.5,146,0.910958904109589,0.0547945205479452,0.03424657534246575,29.10958904109589,2.0,40.96,1490.4109589041095
base,exact_fifo,0.8,102,0.9803921568627451,0.0196078431372549,0.0,31.498039215686276,8.24,40.96,1606.2745098039215
base,exact_fifo,1.0,38,1.0,0.0,0.0,32.461052631578944,10.24,40.96,1657.2631578947369
base,exact_fifo,1.2,52,1.0,0.0,0.0,32.58769230769231,10.24,40.96,1664.0
