point_id,policy,rho,n_updates,total_positive_value_ms,share_positive_updates,top10pct_share_of_positive_value,top20pct_share_of_positive_value,top30pct_share_of_positive_value,value_gini
base,agg_full,0.5,353,5185.84,0.56657223796034,0.1595575644447187,0.31752618669299476,0.4754948089412709,0.6914874579376799
base,agg_full,0.8,227,3482.8,0.5638766519823789,0.16586654415987137,0.31875502469277595,0.45988285287699554,0.6610716076405503
base,agg_full,1.0,84,1630.88,0.5595238095238095,0.16079662513489648,0.26125772589031687,0.3868341018345923,0.6215773658800096
base,agg_full,1.2,76,1344.16,0.5657894736842105,0.1356386144506606,0.28800142840138077,0.40989167956195693,0.6277160497784845
base,agg_static,0.5,317,5056.72,0.5962145110410094,0.1575566770554826,0.31145881124523406,0.4653609454349856,0.6392317879891416
base,agg_static,0.8,180,2962.8,0.5611111111111111,0.14515998379910897,0.283407587417308,0.4216551910355069,0.6226343445452601
base,agg_static,1.0,108,1839.68,0.5833333333333334,0.13915463558879804,0.2950078274482519,0.428596277613498,0.5936672377615023
base,agg_static,1.2,99,1971.04,0.6565656565656566,0.12468544524717916,0.27015179803555484,0.41561815082393055,0.5307218688401528
base,exact_fifo,0.5,326,4792.72,0.5460122699386503,0.15383331385935334,0.3076666277187067,0.45295364636365154,0.6828283694272874
base,exact_fifo,0.8,221,3417.6,0.5384615384615384,0.1438202247191011,0.2876404494382022,0.4314606741573034,0.6657485165310837
base,exact_fifo,1.0,63,1264.24,0.6507936507936508,0.12959564639625387,0.25919129279250774,0.3887869391887616,0.5477482002856673
base,exact_fifo,1.2,88,1776.48,0.6818181818181818,0.138340988921913,0.276681977843826,0.41502296676573897,0.5208562849451233
