point_id,policy,rho,n_updates,total_positive_value_ms,share_positive_updates,top10pct_share_of_positive_value,top20pct_share_of_positive_value,top30pct_share_of_positive_value,value_gini
alphahigh,agg_full,0.8,34,600.4,0.6176470588235294,0.1842771485676216,0.3344437041972019,0.47088607594936716,0.6451738056981621
alphahigh,agg_static,0.8,42,327.68,0.38095238095238093,0.25,0.368896484375,0.606689453125,0.8132905505952382
alphalow,agg_full,0.8,19,411.84000000000003,0.5789473684210527,0.11946386946386946,0.2189199689199689,0.31837606837606836,0.5886803255224307
alphalow,agg_static,0.8,1,40.96,1.0,1.0,1.0,1.0,2.0
alphamed,agg_full,0.8,39,725.52,0.6153846153846154,0.12426948946962178,0.2936376667769324,0.4065497849818062,0.5845328266763927
alphamed,agg_static,0.8,18,364.64,0.7222222222222222,0.11232996928477403,0.3369899078543221,0.4493198771390961,0.5911705913899858
base,agg_full,0.5,34,684.32,0.6764705882352942,0.14671498714051906,0.3383212532148702,0.45803133037175586,0.573574110495262
base,agg_full,0.8,29,399.6,0.4482758620689655,0.1025025025025025,0.3075075075075075,0.41001001001001,0.7161230195712953
base,agg_full,1.0,1,38.96,1.0,1.0,1.0,1.0,2.0
base,agg_static,0.5,80,1073.92,0.55,0.16023539928486294,0.3490762812872467,0.4941895113230036,0.711595802354399
base,agg_static,0.8,17,215.28,0.4117647058823529,0.1902638424377555,0.1902638424377555,0.37123745819397996,0.7887293155835354
base,agg_static,1.0,7,57.44,0.42857142857142855,0.6782729805013928,0.6782729805013928,0.6782729805013928,1.0099482690011938
base,agg_static,1.2,7,137.36,0.7142857142857143,0.2981945253348864,0.2981945253348864,0.5818287711124053,0.7589649721274647
base,exact_fifo,0.5,88,1178.32,0.5454545454545454,0.17380677574852335,0.3476135514970467,0.48156697671260784,0.7105058284895803
base,exact_fifo,0.8,16,221.28,0.5,0.18510484454085321,0.37020968908170643,0.37020968908170643,0.774267895878525
base,exact_fifo,1.0,14,137.36,0.35714285714285715,0.2836342457775189,0.2836342457775189,0.5672684915550378,0.8753224061901987
base,exact_fifo,1.2,17,305.44,0.5882352941176471,0.13410162388685176,0.26165531691985333,0.3892090099528549,0.6490309062336302
conc2,agg_full,0.8,19,172.08,0.3684210526315789,0.28591352859135283,0.28591352859135283,0.5239423523942351,0.8647140864714085
conc2,agg_static,0.8,32,508.0,0.53125,0.16125984251968503,0.24188976377952756,0.40314960629921265,0.6567125984251969
conc4,agg_full,0.8,24,412.08,0.625,0.19879635022325765,0.2933410988157639,0.38788584740827026,0.6236410405746458
conc4,agg_static,0.8,26,487.76,0.5769230769230769,0.1679514515335411,0.2519271773003116,0.3359029030670822,0.6645397916584357
conc8,agg_full,0.8,37,512.48,0.5135135135135135,0.15985014049328755,0.3157976896659382,0.4678426475179519,0.6810000759423176
conc8,agg_static,0.8,28,440.56,0.5357142857142857,0.18594516070455783,0.27891774105683675,0.37189032140911565,0.6725012321979817
ov0,agg_full,0.8,28,510.24,0.6428571428571429,0.19285042333019756,0.36955158356851675,0.4498275321417372,0.633080231151727
ov0,agg_static,0.8,32,536.96,0.5625,0.15256257449344457,0.30512514898688914,0.3814064362336114,0.6284918802145412
ov25,agg_full,0.8,56,346.16,0.30357142857142855,0.23665357060318926,0.3549803559047839,0.5858562514444188,0.8649716068539733
ov25,agg_static,0.8,58,496.0,0.3448275862068966,0.16516129032258065,0.32225806451612904,0.4793548387096774,0.8056006674082313
ov50,agg_full,0.8,72,190.32,0.18055555555555555,0.26902059688944935,0.6889449348465743,0.7427490542244641,0.9466220634253422
ov50,agg_static,0.8,91,304.96,0.24175824175824176,0.26862539349422876,0.5306925498426024,0.7256033578174187,0.9061264024537898
ov75,agg_full,0.8,104,152.88,0.22115384615384615,0.5227629513343799,0.7237048665620095,0.7906855049712193,0.9280632371291712
ov75,agg_static,0.8,82,81.2,0.2073170731707317,0.6305418719211823,0.6551724137931034,0.7044334975369458,0.9280187432416197
