point_id,policy,rho,label,feature_set,n_updates,prevalence,auroc_loro_mean,auprc_loro_mean,folds,scope
base,agg_full,0.5,flip_next_use,freshness_only,34,0.6470588235294118,nan,nan,0,
base,agg_full,0.5,flip_next_use,coverage_only,34,0.6470588235294118,nan,nan,0,
base,agg_full,0.5,flip_next_use,fresh_cov,34,0.6470588235294118,nan,nan,0,
base,agg_full,0.5,flip_next_use,decision_aware,34,0.6470588235294118,nan,nan,0,
base,agg_full,0.5,positive_value,freshness_only,34,0.6764705882352942,nan,nan,0,
base,agg_full,0.5,positive_value,coverage_only,34,0.6764705882352942,nan,nan,0,
base,agg_full,0.5,positive_value,fresh_cov,34,0.6764705882352942,nan,nan,0,
base,agg_full,0.5,positive_value,decision_aware,34,0.6764705882352942,nan,nan,0,
base,agg_full,0.5,high_value_top25pct,freshness_only,34,0.2647058823529412,nan,nan,0,
base,agg_full,0.5,high_value_top25pct,coverage_only,34,0.2647058823529412,nan,nan,0,
base,agg_full,0.5,high_value_top25pct,fresh_cov,34,0.2647058823529412,nan,nan,0,
base,agg_full,0.5,high_value_top25pct,decision_aware,34,0.2647058823529412,nan,nan,0,
base,agg_static,0.5,flip_next_use,freshness_only,80,0.3625,0.4989177489177489,0.33952763099022276,2,
base,agg_static,0.5,flip_next_use,coverage_only,80,0.3625,0.6488936988936989,0.500516312500337,2,
base,agg_static,0.5,flip_next_use,fresh_cov,80,0.3625,0.6488936988936989,0.500516312500337,2,
base,agg_static,0.5,flip_next_use,decision_aware,80,0.3625,0.6959836459836459,0.5973265091417694,2,
base,agg_static,0.5,positive_value,freshness_only,80,0.55,0.44157024793388433,0.5261860972653105,2,
base,agg_static,0.5,positive_value,coverage_only,80,0.55,0.7258264462809918,0.7461052208675693,2,
base,agg_static,0.5,positive_value,fresh_cov,80,0.55,0.7318181818181818,0.7476014546600682,2,
base,agg_static,0.5,positive_value,decision_aware,80,0.55,0.7080165289256198,0.7623353335851941,2,
base,agg_static,0.5,high_value_top25pct,freshness_only,80,0.2625,0.6586206896551725,0.45815063632779685,2,
base,agg_static,0.5,high_value_top25pct,coverage_only,80,0.2625,0.7901340996168582,0.5865347879844698,2,
base,agg_static,0.5,high_value_top25pct,fresh_cov,80,0.2625,0.803544061302682,0.6118193304632471,2,
base,agg_static,0.5,high_value_top25pct,decision_aware,80,0.2625,0.6940613026819924,0.44038744396394036,2,
base,agg_static,0.8,flip_next_use,freshness_only,17,0.35294117647058826,nan,nan,0,
base,agg_static,0.8,flip_next_use,coverage_only,17,0.35294117647058826,nan,nan,0,
base,agg_static,0.8,flip_next_use,fresh_cov,17,0.35294117647058826,nan,nan,0,
base,agg_static,0.8,flip_next_use,decision_aware,17,0.35294117647058826,nan,nan,0,
base,agg_static,0.8,positive_value,freshness_only,17,0.4117647058823529,nan,nan,0,
base,agg_static,0.8,positive_value,coverage_only,17,0.4117647058823529,nan,nan,0,
base,agg_static,0.8,positive_value,fresh_cov,17,0.4117647058823529,nan,nan,0,
base,agg_static,0.8,positive_value,decision_aware,17,0.4117647058823529,nan,nan,0,
base,agg_static,0.8,high_value_top25pct,freshness_only,17,0.29411764705882354,nan,nan,0,
base,agg_static,0.8,high_value_top25pct,coverage_only,17,0.29411764705882354,nan,nan,0,
base,agg_static,0.8,high_value_top25pct,fresh_cov,17,0.29411764705882354,nan,nan,0,
base,agg_static,0.8,high_value_top25pct,decision_aware,17,0.29411764705882354,nan,nan,0,
base,exact_fifo,0.5,flip_next_use,freshness_only,88,0.3522727272727273,0.49684873949579833,0.31988787554460657,2,
base,exact_fifo,0.5,flip_next_use,coverage_only,88,0.3522727272727273,0.7378516624040921,0.544541323611306,2,
base,exact_fifo,0.5,flip_next_use,fresh_cov,88,0.3522727272727273,0.7342436974789917,0.5433508474208297,2,
