check,status,detail
rep0_alphalow_agg_full@rho0.8_b03alpha: World-1 replay reproduces every real decision,PASS,replayed=96 matched=96
rep0_alphalow_agg_full@rho0.8_b03alpha: ledger covers exactly the delivered frames,PASS,ledger=96 delivered=96
rep0_alphalow_agg_full@rho0.8_b03alpha: no future information in pre-transmission features,PASS,leaking_rows=0
rep0_alphalow_agg_static@rho0.8_b03alpha: World-1 replay reproduces every real decision,PASS,replayed=96 matched=96
rep0_alphalow_agg_static@rho0.8_b03alpha: ledger covers exactly the delivered frames,PASS,ledger=71 delivered=71
rep0_alphalow_agg_static@rho0.8_b03alpha: no future information in pre-transmission features,PASS,leaking_rows=0
rep1_alphalow_agg_static@rho0.8_b03alpha: World-1 replay reproduces every real decision,PASS,replayed=96 matched=96
rep1_alphalow_agg_static@rho0.8_b03alpha: ledger covers exactly the delivered frames,PASS,ledger=64 delivered=64
rep1_alphalow_agg_static@rho0.8_b03alpha: no future information in pre-transmission features,PASS,leaking_rows=0
rep1_alphalow_agg_full@rho0.8_b03alpha: World-1 replay reproduces every real decision,PASS,replayed=96 matched=96
rep1_alphalow_agg_full@rho0.8_b03alpha: ledger covers exactly the delivered frames,PASS,ledger=41 delivered=41
rep1_alphalow_agg_full@rho0.8_b03alpha: no future information in pre-transmission features,PASS,leaking_rows=0
rep0_alphamed_agg_full@rho0.8_b03alpha: World-1 replay reproduces every real decision,PASS,replayed=96 matched=96
rep0_alphamed_agg_full@rho0.8_b03alpha: ledger covers exactly the delivered frames,PASS,ledger=92 delivered=92
rep0_alphamed_agg_full@rho0.8_b03alpha: no future information in pre-transmission features,PASS,leaking_rows=0
rep0_alphamed_agg_static@rho0.8_b03alpha: World-1 replay reproduces every real decision,PASS,replayed=96 matched=96
rep0_alphamed_agg_static@rho0.8_b03alpha: ledger covers exactly the delivered frames,PASS,ledger=86 delivered=86
rep0_alphamed_agg_static@rho0.8_b03alpha: no future information in pre-transmission features,PASS,leaking_rows=0
rep1_alphamed_agg_full@rho0.8_b03alpha: World-1 replay reproduces every real decision,PASS,replayed=96 matched=96
rep1_alphamed_agg_full@rho0.8_b03alpha: ledger covers exactly the delivered frames,PASS,ledger=79 delivered=79
rep1_alphamed_agg_full@rho0.8_b03alpha: no future information in pre-transmission features,PASS,leaking_rows=0
rep1_alphamed_agg_static@rho0.8_b03alpha: World-1 replay reproduces every real decision,PASS,replayed=96 matched=96
rep1_alphamed_agg_static@rho0.8_b03alpha: ledger covers exactly the delivered frames,PASS,ledger=108 delivered=108
rep1_alphamed_agg_static@rho0.8_b03alpha: no future information in pre-transmission features,PASS,leaking_rows=0
rep0_alphahigh_agg_static@rho0.8_b03alpha: World-1 replay reproduces every real decision,PASS,replayed=96 matched=96
rep0_alphahigh_agg_static@rho0.8_b03alpha: ledger covers exactly the delivered frames,PASS,ledger=110 delivered=110
rep0_alphahigh_agg_static@rho0.8_b03alpha: no future information in pre-transmission features,PASS,leaking_rows=0
rep0_alphahigh_agg_full@rho0.8_b03alpha: World-1 replay reproduces every real decision,PASS,replayed=96 matched=96
rep0_alphahigh_agg_full@rho0.8_b03alpha: ledger covers exactly the delivered frames,PASS,ledger=77 delivered=77
rep0_alphahigh_agg_full@rho0.8_b03alpha: no future information in pre-transmission features,PASS,leaking_rows=0
rep1_alphahigh_agg_static@rho0.8_b03alpha: World-1 replay reproduces every real decision,PASS,replayed=96 matched=96
rep1_alphahigh_agg_static@rho0.8_b03alpha: ledger covers exactly the delivered frames,PASS,ledger=87 delivered=87
rep1_alphahigh_agg_static@rho0.8_b03alpha: no future information in pre-transmission features,PASS,leaking_rows=0
rep1_alphahigh_agg_full@rho0.8_b03alpha: World-1 replay reproduces every real decision,PASS,replayed=96 matched=96
rep1_alphahigh_agg_full@rho0.8_b03alpha: ledger covers exactly the delivered frames,PASS,ledger=77 delivered=77
rep1_alphahigh_agg_full@rho0.8_b03alpha: no future information in pre-transmission features,PASS,leaking_rows=0
run integrity: same logical request has byte-identical prompt and input token count across cells,PASS,0
run integrity: same logical request has fixed output token count across cells,PASS,0
run integrity: vLLM usage telemetry present for every request,PASS,0
run integrity: transient live retries recorded in raw data,PASS,0
