check,status,detail
rep0_conc2_agg_full@rho0.8_b03conc: World-1 replay reproduces every real decision,PASS,replayed=96 matched=96
rep0_conc2_agg_full@rho0.8_b03conc: ledger covers exactly the delivered frames,PASS,ledger=50 delivered=50
rep0_conc2_agg_full@rho0.8_b03conc: no future information in pre-transmission features,PASS,leaking_rows=0
rep0_conc2_agg_static@rho0.8_b03conc: World-1 replay reproduces every real decision,PASS,replayed=96 matched=96
rep0_conc2_agg_static@rho0.8_b03conc: ledger covers exactly the delivered frames,PASS,ledger=96 delivered=96
rep0_conc2_agg_static@rho0.8_b03conc: no future information in pre-transmission features,PASS,leaking_rows=0
rep1_conc2_agg_static@rho0.8_b03conc: World-1 replay reproduces every real decision,PASS,replayed=96 matched=96
rep1_conc2_agg_static@rho0.8_b03conc: ledger covers exactly the delivered frames,PASS,ledger=64 delivered=64
rep1_conc2_agg_static@rho0.8_b03conc: no future information in pre-transmission features,PASS,leaking_rows=0
rep1_conc2_agg_full@rho0.8_b03conc: World-1 replay reproduces every real decision,PASS,replayed=96 matched=96
rep1_conc2_agg_full@rho0.8_b03conc: ledger covers exactly the delivered frames,PASS,ledger=24 delivered=24
rep1_conc2_agg_full@rho0.8_b03conc: no future information in pre-transmission features,PASS,leaking_rows=0
rep0_conc4_agg_full@rho0.8_b03conc: World-1 replay reproduces every real decision,PASS,replayed=96 matched=96
rep0_conc4_agg_full@rho0.8_b03conc: ledger covers exactly the delivered frames,PASS,ledger=84 delivered=84
rep0_conc4_agg_full@rho0.8_b03conc: no future information in pre-transmission features,PASS,leaking_rows=0
rep0_conc4_agg_static@rho0.8_b03conc: World-1 replay reproduces every real decision,PASS,replayed=96 matched=96
rep0_conc4_agg_static@rho0.8_b03conc: ledger covers exactly the delivered frames,PASS,ledger=78 delivered=78
rep0_conc4_agg_static@rho0.8_b03conc: no future information in pre-transmission features,PASS,leaking_rows=0
rep1_conc4_agg_static@rho0.8_b03conc: World-1 replay reproduces every real decision,PASS,replayed=96 matched=96
rep1_conc4_agg_static@rho0.8_b03conc: ledger covers exactly the delivered frames,PASS,ledger=80 delivered=80
rep1_conc4_agg_static@rho0.8_b03conc: no future information in pre-transmission features,PASS,leaking_rows=0
rep1_conc4_agg_full@rho0.8_b03conc: World-1 replay reproduces every real decision,PASS,replayed=96 matched=96
rep1_conc4_agg_full@rho0.8_b03conc: ledger covers exactly the delivered frames,PASS,ledger=48 delivered=48
rep1_conc4_agg_full@rho0.8_b03conc: no future information in pre-transmission features,PASS,leaking_rows=0
rep0_conc8_agg_full@rho0.8_b03conc: World-1 replay reproduces every real decision,PASS,replayed=96 matched=96
rep0_conc8_agg_full@rho0.8_b03conc: ledger covers exactly the delivered frames,PASS,ledger=97 delivered=97
rep0_conc8_agg_full@rho0.8_b03conc: no future information in pre-transmission features,PASS,leaking_rows=0
rep0_conc8_agg_static@rho0.8_b03conc: World-1 replay reproduces every real decision,PASS,replayed=96 matched=96
rep0_conc8_agg_static@rho0.8_b03conc: ledger covers exactly the delivered frames,PASS,ledger=89 delivered=89
rep0_conc8_agg_static@rho0.8_b03conc: no future information in pre-transmission features,PASS,leaking_rows=0
rep1_conc8_agg_full@rho0.8_b03conc: World-1 replay reproduces every real decision,PASS,replayed=96 matched=96
rep1_conc8_agg_full@rho0.8_b03conc: ledger covers exactly the delivered frames,PASS,ledger=83 delivered=83
rep1_conc8_agg_full@rho0.8_b03conc: no future information in pre-transmission features,PASS,leaking_rows=0
rep1_conc8_agg_static@rho0.8_b03conc: World-1 replay reproduces every real decision,PASS,replayed=96 matched=96
rep1_conc8_agg_static@rho0.8_b03conc: ledger covers exactly the delivered frames,PASS,ledger=91 delivered=91
rep1_conc8_agg_static@rho0.8_b03conc: no future information in pre-transmission features,PASS,leaking_rows=0
run integrity: same logical request has byte-identical prompt and input token count across cells,PASS,0
run integrity: same logical request has fixed output token count across cells,PASS,0
run integrity: vLLM usage telemetry present for every request,PASS,0
run integrity: transient live retries recorded in raw data,PASS,0
