policy,rho,forwarded_updates,A_no_future_use,A_no_future_use_share,B_no_decision_flip,B_no_decision_flip_share,C_low_value_flip,C_low_value_flip_share,D_meaningful_value_flip,D_meaningful_value_flip_share,E_negative_value_flip,E_negative_value_flip_share
agg_full,0.5,223,189,0.8475336322869955,12,0.053811659192825115,0,0.0,22,0.09865470852017937,0,0.0
agg_full,0.8,2029,1568,0.7727944800394283,261,0.12863479546574666,77,0.03794972893050764,123,0.060620995564317395,0,0.0
agg_full,1.0,50,49,0.98,0,0.0,0,0.0,1,0.02,0,0.0
agg_full,1.2,36,36,1.0,0,0.0,0,0.0,0,0.0,0,0.0
agg_static,0.5,241,161,0.6680497925311203,51,0.21161825726141079,0,0.0,27,0.11203319502074689,2,0.008298755186721992
agg_static,0.8,2254,1827,0.8105590062111802,243,0.10780834072759539,76,0.03371783496007098,108,0.04791481810115351,0,0.0
agg_static,1.0,73,66,0.9041095890410958,4,0.0547945205479452,0,0.0,3,0.0410958904109589,0,0.0
agg_static,1.2,102,95,0.9313725490196079,3,0.029411764705882353,0,0.0,4,0.0392156862745098,0,0.0
exact_fifo,0.5,256,168,0.65625,57,0.22265625,3,0.01171875,26,0.1015625,2,0.0078125
exact_fifo,0.8,169,153,0.9053254437869822,7,0.04142011834319527,2,0.011834319526627219,7,0.04142011834319527,0,0.0
exact_fifo,1.0,105,91,0.8666666666666667,11,0.10476190476190476,0,0.0,3,0.02857142857142857,0,0.0
exact_fifo,1.2,130,113,0.8692307692307693,9,0.06923076923076923,0,0.0,8,0.06153846153846154,0,0.0
