tag,point_id,cell_id,cell_tag,rep,policy,rho,value_definition,candidate_updates,selected_updates,selection_policy,budget_fraction,value_retention,seeds
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,2,Random,0.1,0.07587383943200438,20
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,4,Random,0.2,0.18674221736755872,20
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,6,Random,0.3,0.29198525395958497,20
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,8,Random,0.4,0.3626160567995631,20
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,10,Random,0.5,0.4762561441835063,20
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,12,Random,0.6,0.5822228290551612,20
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,16,Random,0.8,0.808779355543419,20
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,20,Random,1.0,1.0,20
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,2,Freshness,0.1,0.13298743855816494,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,4,Freshness,0.2,0.4126160567995631,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,6,Freshness,0.3,0.4126160567995631,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,8,Freshness,0.4,0.5456034953577281,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,10,Freshness,0.5,0.5805570726379029,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,12,Freshness,0.6,0.7621518296013108,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,16,Freshness,0.8,0.8951392681594758,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,20,Freshness,1.0,1.0,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,2,CoverageDelta,0.1,0.07673402512288367,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,4,CoverageDelta,0.2,0.2097214636810486,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,6,CoverageDelta,0.3,0.48935008192244683,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,8,CoverageDelta,0.4,0.48935008192244683,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,10,CoverageDelta,0.5,0.6223375204806117,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,12,CoverageDelta,0.6,0.7621518296013108,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,16,CoverageDelta,0.8,0.9650464227198254,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,20,CoverageDelta,1.0,1.0,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,2,CoverageAdvantage,0.1,0.13298743855816494,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,4,CoverageAdvantage,0.2,0.4126160567995631,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,6,CoverageAdvantage,0.3,0.4126160567995631,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,8,CoverageAdvantage,0.4,0.5456034953577281,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,10,CoverageAdvantage,0.5,0.6854178044784272,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,next_use,20,12,CoverageAdvantage,0.6,0.818405243036592,1
