selection_policy,budget_fraction,value_retention_mean,ci95_low,ci95_high,n_cells,candidate_updates_total,value_retention_per_cell_mean,value_definition
B02Utility,0.1,0.06331996728769546,0.0472777075968203,0.08102622198468515,34,1439,0.06331996728769546,next_use
B02Utility,0.2,0.1457507702390514,0.11847217307634982,0.17313639303983744,34,1439,0.1457507702390514,next_use
B02Utility,0.3,0.2605686275131016,0.22654867437330636,0.29476290961126217,34,1439,0.2605686275131016,next_use
B02Utility,0.4,0.36034228224413345,0.31664531112606875,0.3972218193030118,34,1439,0.36034228224413345,next_use
B02Utility,0.5,0.47606555304472276,0.4347970041832201,0.5107781593346338,34,1439,0.47606555304472276,next_use
B02Utility,0.6,0.6152462001262454,0.585932057594599,0.6432872985582243,34,1439,0.6152462001262454,next_use
B02Utility,0.8,0.8405060054742288,0.8076733220338137,0.8735007220702437,34,1439,0.8405060054742288,next_use
B02Utility,1.0,1.0,1.0,1.0,34,1439,1.0,next_use
CoverageAdvantage,0.1,0.05358420513276371,0.04142151352463964,0.06665591359462512,34,1439,0.05358420513276371,next_use
CoverageAdvantage,0.2,0.14605501585469235,0.12133532148403127,0.17092757604275122,34,1439,0.14605501585469235,next_use
CoverageAdvantage,0.3,0.2690778268044928,0.2320714443679764,0.30614258583961496,34,1439,0.2690778268044928,next_use
CoverageAdvantage,0.4,0.38496078191754873,0.33887220222628867,0.42817005853248785,34,1439,0.38496078191754873,next_use
CoverageAdvantage,0.5,0.5294644752986906,0.4651046994303836,0.5859218322303879,34,1439,0.5294644752986906,next_use
CoverageAdvantage,0.6,0.6650502739935654,0.6170529103734347,0.7102597383926585,34,1439,0.6650502739935654,next_use
CoverageAdvantage,0.8,0.8786446919982575,0.8440806099280171,0.9082287573710655,34,1439,0.8786446919982575,next_use
CoverageAdvantage,1.0,1.0,1.0,1.0,34,1439,1.0,next_use
CoverageDelta,0.1,0.04942352249923034,0.03767023365322876,0.06246968755127581,34,1439,0.04942352249923034,next_use
CoverageDelta,0.2,0.14476529430321383,0.12382628017941376,0.16697390161945005,34,1439,0.14476529430321383,next_use
CoverageDelta,0.3,0.2805467279646442,0.24955929288733242,0.30951563402024246,34,1439,0.2805467279646442,next_use
CoverageDelta,0.4,0.40810784577114956,0.36650687551401856,0.44758978502757585,34,1439,0.40810784577114956,next_use
CoverageDelta,0.5,0.5523116844163276,0.49762835054687293,0.6048674174708901,34,1439,0.5523116844163276,next_use
CoverageDelta,0.6,0.695505043941576,0.6487690594388197,0.7426763844095713,34,1439,0.695505043941576,next_use
CoverageDelta,0.8,0.8953856105584665,0.8683282333063254,0.9200182539816832,34,1439,0.8953856105584665,next_use
CoverageDelta,1.0,1.0,1.0,1.0,34,1439,1.0,next_use
DecisionAware,0.1,0.04958460642979785,0.038646994492819206,0.062060344008014474,34,1439,0.04958460642979785,next_use
DecisionAware,0.2,0.13692513064296555,0.11216127724458883,0.1619284354984365,34,1439,0.13692513064296555,next_use
DecisionAware,0.3,0.25789011495628733,0.22161795567531234,0.2947649525697167,34,1439,0.25789011495628733,next_use
DecisionAware,0.4,0.3766574767039198,0.32741106274173243,0.42042691996055276,34,1439,0.3766574767039198,next_use
DecisionAware,0.5,0.5217407559500173,0.4584205860633158,0.5788998875172781,34,1439,0.5217407559500173,next_use
DecisionAware,0.6,0.66115000604862,0.6103638005443298,0.7084007752237917,34,1439,0.66115000604862,next_use
DecisionAware,0.8,0.8770762803463579,0.842752374997357,0.907056572740989,34,1439,0.8770762803463579,next_use
DecisionAware,1.0,1.0,1.0,1.0,34,1439,1.0,next_use
FirstLook,0.1,0.05542276458579136,0.04261954696904543,0.06887699943446095,34,1439,0.05542276458579136,next_use
FirstLook,0.2,0.15059547409571022,0.12506337246839083,0.17701114242786037,34,1439,0.15059547409571022,next_use
FirstLook,0.3,0.29090609450495303,0.2525199962155329,0.32613772444830164,34,1439,0.29090609450495303,next_use
FirstLook,0.4,0.40868543613573327,0.36029585562318156,0.45478240081884497,34,1439,0.40868543613573327,next_use
FirstLook,0.5,0.5569797749390879,0.4986059806042584,0.6122582722741282,34,1439,0.5569797749390879,next_use
FirstLook,0.6,0.6777637237996501,0.6273090021177321,0.7277087486035694,34,1439,0.6777637237996501,next_use
FirstLook,0.8,0.8906283813288145,0.8607883932248871,0.9169336200743452,34,1439,0.8906283813288145,next_use
FirstLook,1.0,1.0,1.0,1.0,34,1439,1.0,next_use
Freshness,0.1,0.11740399958322265,0.0964190285206205,0.13741328703523836,34,1439,0.11740399958322265,next_use
Freshness,0.2,0.23338725841574665,0.20355145475591785,0.25919289420294583,34,1439,0.23338725841574665,next_use
Freshness,0.3,0.36435926773738353,0.33366223749603724,0.39382919610021555,34,1439,0.36435926773738353,next_use
Freshness,0.4,0.4806404969649438,0.4391593465456475,0.520141527432276,34,1439,0.4806404969649438,next_use
Freshness,0.5,0.620920858742761,0.5762927786740326,0.6652808709739872,34,1439,0.620920858742761,next_use
Freshness,0.6,0.7451700733637634,0.7134552213762235,0.7790653036073202,34,1439,0.7451700733637634,next_use
