rep,cell_id,policy,rho,saved_prefill_retention_vs_ideal,delta_ttft_mean_ms_vs_ideal,delta_ttft_p95_ms_vs_ideal,delta_stale_fallback_rate_vs_ideal
0,agg_full@rho0.8,agg_full,0.8,0.5512142178808845,228.01756726041663,824.8240209999999,0.0
0,agg_static@rho0.8,agg_static,0.8,0.4117487450820784,44.961024729166866,-252.30850800000007,0.0
0,agg_full@rho0.8,agg_full,0.8,0.5289648622981956,213.34744089583342,658.3887119999999,0.0
0,agg_static@rho0.8,agg_static,0.8,0.3029439696106363,219.01235852083346,36.10922900000014,0.0
0,agg_static@rho0.8,agg_static,0.8,0.6818613485280152,134.19041225,648.3103040000001,0.0
0,agg_full@rho0.8,agg_full,0.8,0.64333197666531,160.17109434375016,806.8264450000001,0.0
1,agg_static@rho0.8,agg_static,0.8,0.22096317280453256,487.0939312395833,-88.78158600000006,0.0
1,agg_full@rho0.8,agg_full,0.8,0.21403840100723953,551.18851359375,10.87602599999991,0.0
1,agg_full@rho0.8,agg_full,0.8,0.42954569300178364,601.09123940625,52.41046000000006,0.0
1,agg_static@rho0.8,agg_static,0.8,0.392823418319169,664.3985005,598.2192930000001,0.0
1,agg_static@rho0.8,agg_static,0.8,0.7297240583359563,242.9985303958333,371.25256500000023,0.0
1,agg_full@rho0.8,agg_full,0.8,0.6628895184135978,437.9359971250001,256.1134890000003,0.0
