rep,cell_id,policy,rho,saved_prefill_retention_vs_ideal,delta_ttft_mean_ms_vs_ideal,delta_ttft_p95_ms_vs_ideal,delta_stale_fallback_rate_vs_ideal
0,agg_full@rho0.8,agg_full,0.8,0.5507939218029708,-1403.4487796770836,-2327.811439,0.0
0,agg_static@rho0.8,agg_static,0.8,0.6103807409936828,-1546.90775128125,-2570.6409070000004,0.0
0,agg_full@rho0.8,agg_full,0.8,0.6115758920949291,-1327.6835675208335,-1507.1883360000002,0.0
0,agg_static@rho0.8,agg_static,0.8,0.556598941437596,-1334.2926872395833,-2252.3341440000004,0.0
0,agg_full@rho0.8,agg_full,0.8,0.6277957998975585,778.3369668437495,1635.2072609999996,0.0
0,agg_static@rho0.8,agg_static,0.8,0.5559159979511695,908.5496905625,878.0607719999998,0.0
1,agg_static@rho0.8,agg_static,0.8,0.5248278892632195,-1274.596992604167,-1487.0784890000004,0.0
1,agg_full@rho0.8,agg_full,0.8,0.5012450563937307,-1227.0694865937503,-1049.3326630000001,0.0
1,agg_static@rho0.8,agg_static,0.8,0.5859088911674235,-1209.7333083645835,-1315.5762080000004,0.0
1,agg_full@rho0.8,agg_full,0.8,0.4164347443972462,-960.4085818020835,-1407.959237,0.0
1,agg_full@rho0.8,agg_full,0.8,0.5150139153361653,1095.5146765729169,1030.715765,0.0
1,agg_static@rho0.8,agg_static,0.8,0.6094917240369122,759.4997951875002,1215.306071,0.0
