request_id,phase,lineage_id,step,digest,snapshot_rr,snapshot_loads,snapshot_cov_row,snapshot_wseq_row,world1_target,world1_affinity,world1_coverage,world1_expected_net_ms,selected_instance,candidate_hit,dispatch_time_unix,source_truth_coverage_tokens,dispatcher_view_coverage_tokens,dispatch_state_age_s,dispatcher_view_missing,source_view_false_negative,source_view_false_positive,physical_false_positive_affinity,expected_coverage_tokens,expected_net_prefill_ms,raw_candidate_fanout,evaluated_candidate_fanout,stale_fallback,coverage_shortfall_tokens,prompt_sha256,ok,error,prior_attempt_errors,attempt_count,sse_parse_errors,ttft_ms,latency_ms,chunks,input_tokens,output_tokens,vllm_cached_tokens
32,0,51,0,L0051,32,0;0;0;0,0;0;0;0,0;0;0;0,0,0,0,0.0,0,False,1787895523.2207093,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,47e23569cf067116f9df28f240ccf767efbaf962c6f4bf71a2674e87d2c24cfa,True,,,1,0,2202.83526,2912.62113,6,2094,4,32
33,0,20,0,L0020,33,1;0;0;0,0;0;0;0,0;0;0;0,1,0,0,0.0,1,False,1787895523.2207596,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,e942c30aa829f83de266b03a637ec083335e1ca99e64794aed3ac77f7840233e,True,,,1,0,1704.056116,1975.393288,6,2094,4,16
34,0,33,0,L0033,34,1;1;0;0,0;0;0;0,0;0;0;0,2,0,0,0.0,2,False,1787895523.220798,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,6fa6052a1fa6027a77a8e70e2cf5c76f875bac816c8f1bf1074c17ff070fd513,True,,,1,0,1837.973773,2108.507777,6,2094,4,16
35,0,0,2,L0000,35,1;1;1;0,3072;0;0;2560,2;0;0;3,0,1,3072,8.24,0,True,1787895523.2208512,3072,3072,16.86875343322754,False,False,False,False,3072,8.24,2,2,False,0.0,3e643d165b8c0d2e8c8a17520105d787f259e214f7a0be6f9c3ff0d448bfef06,True,,,1,0,2201.092252,2910.971163,6,3140,4,3136
36,0,16,0,L0016,37,0;0;0;0,0;0;0;0,0;0;0;0,1,0,0,0.0,1,False,1787895526.1356702,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,d11650e7b757962d0060a1645fcd52077472a619ac8fe25842e55edfa5905fa7,True,,,1,0,1945.419631,2244.668469,6,2094,4,32
37,0,11,1,L0011,38,0;1;0;0,0;0;0;0,0;0;0;0,3,0,0,0.0,3,False,1787895526.135719,2048,0,27.484375953674316,True,True,False,False,0,0.0,0,0,False,0.0,28c3a196dd7433332e8d840f0bcef95bbf2ebbca7633d94c584e018be29d3ff6,True,,,1,0,2933.554109,3308.783153,6,2617,4,32
38,0,40,0,L0040,39,0;1;0;1,0;0;0;0,0;0;0;0,2,0,0,0.0,2,False,1787895526.1357615,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,e0186f4e7419850cb8fdd11c2cfc21baad073a2b62786b76548573d930b387d3,True,,,1,0,1900.848541,2201.858916,6,2094,4,32
39,0,0,0,L0000,40,0;1;1;1,3072;0;0;2560,2;0;0;3,0,0,3072,0.0,0,False,1787895526.1358159,3072,3072,19.78371810913086,False,False,False,False,3072,0.0,2,2,False,992.0,df52714a8f50e235a47ace12b3c17556904b9bd0cf6b9ade5e2ab3a8c9540206,True,,,1,0,130.77285,432.788989,6,2094,4,2080
40,0,0,1,L0000,42,0;0;0;0,3072;0;0;2560,2;0;0;3,0,1,3072,61.44,0,True,1787895529.4472866,2560,3072,23.095188856124878,False,False,True,False,3072,61.44,2,2,False,464.0,0c9ff9f9edbcdc5a819b27a7af5b932d14b38fc4a7f953bc9872c42b33c957b9,True,,,1,0,278.138096,1061.078717,6,2617,4,2608
41,0,20,1,L0020,44,1;0;0;0,0;0;0;0,0;0;0;0,3,0,0,0.0,3,False,1787895529.447343,2048,0,30.796000003814697,True,True,False,False,0,0.0,0,0,False,0.0,4544c250c8219a8a202d63be2f0ef0c269fa0d53d41ace83c7e8b24aa9e0a10a,True,,,1,0,2733.561092,3104.858529,6,2617,4,32
42,0,7,0,L0007,45,1;0;0;1,0;0;0;0,0;0;0;0,2,0,0,0.0,2,False,1787895529.4473877,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,39044a759c91d36c61fa93d914e6b7b7f0e1158d8616cceec6c4119ab1ffcafe,True,,,1,0,1732.637218,2014.954422,6,2094,4,16
43,0,3,2,L0003,46,1;0;1;1,3072;0;2560;0,5;0;9;0,0,1,3072,59.44,0,True,1787895529.4474385,3072,3072,12.710679769515991,False,False,False,False,3072,59.44,2,2,False,0.0,180181a65c605edbb31dd81ab044bfc971fcfe6cffb2c33ba6a6b53b2cb3ee89,True,,,1,0,560.246631,1195.350457,6,3140,4,3136
44,0,13,0,L0013,48,0;0;0;0,0;0;0;0,0;0;0;0,0,0,0,0.0,0,False,1787895532.555152,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,b0a77a6ea648d88186d87f042de24347813c85e6ad8806ff4278e7ef5f785210,True,,,1,0,1988.914979,2524.840881,6,2094,4,32
45,0,14,0,L0014,49,1;0;0;0,0;0;0;0,0;0;0;0,2,0,0,0.0,2,False,1787895532.5552225,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,fbf9203010610f481b86e1540368e2b9c6c33e9379db03bc91730b62f7971301,True,,,1,0,1466.143385,1697.0711,6,2094,4,16
46,0,21,0,L0021,50,1;0;1;0,0;0;0;0,0;0;0;0,1,0,0,0.0,1,False,1787895532.555261,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,3b28da9c405ab0c21d37000604296cbb1903928091f5b62432aacb323ffb0f5b,True,,,1,0,2203.157671,2543.359155,6,2094,4,32
47,0,4,0,L0004,51,1;1;1;0,2560;0;2048;0,4;0;1;0,0,1,2560,49.2,0,True,1787895532.5553138,3072,2560,23.41187834739685,False,False,False,False,2560,49.2,2,2,False,480.0,b70182b81962e79bae4dde50e0e9954b352f261d724f609a3792ead929f0d564,True,,,1,0,1986.948645,2522.754567,6,2094,4,2080
48,0,1,0,L0001,53,0;0;0;0,0;0;0;3072,0;0;0;11,3,1,3072,61.44,3,True,1787895535.101918,3072,3072,15.069368362426758,False,False,False,False,3072,61.44,1,1,False,992.0,b0925efae1c736debdecee24b0fc4cc017fd012e234888d6bba1045074eff509,True,,,1,0,270.823749,678.615074,6,2094,4,2080
49,0,1,1,L0001,55,0;0;0;1,0;0;0;3072,0;0;0;11,3,1,3072,59.44,3,True,1787895535.1019812,3072,3072,15.06943154335022,False,False,False,False,3072,59.44,1,1,False,464.0,60ce9bd97cbcd68672268d686bb8e061973b4d9d16ee5d75c0cd300fb2434127,True,,,1,0,409.859565,799.800827,6,2617,4,2608
50,0,16,1,L0016,57,0;0;0;2,0;0;0;0,0;0;0;0,0,0,0,0.0,0,False,1787895535.102023,2048,0,36.450679779052734,True,True,False,False,0,0.0,0,0,False,0.0,32beeb704ed30735a294f19618f95b3204dd79a94da9992a18abc85bf12a5035,True,,,1,0,2318.23178,2630.264009,6,2617,4,32
51,0,18,0,L0018,58,1;0;0;2,0;0;0;0,0;0;0;0,1,0,0,0.0,1,False,1787895535.1020603,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,7877a5ed98ffc78ad860045735ead54d1f212e3ae6e69316734c98bd847e5d50,True,,,1,0,1794.236468,2065.590668,6,2094,4,16
52,0,0,2,L0000,59,0;0;0;0,3072;0;0;2560,2;0;0;3,0,1,3072,10.24,0,True,1787895537.735852,2560,3072,31.38375425338745,False,False,True,False,3072,10.24,2,2,False,0.0,3e643d165b8c0d2e8c8a17520105d787f259e214f7a0be6f9c3ff0d448bfef06,True,,,1,0,181.786976,613.610235,6,3140,4,3136
53,0,8,0,L0008,61,1;0;0;0,0;0;0;0,0;0;0;0,2,0,0,0.0,2,False,1787895537.7359064,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,318f3b762a30e8f22c77183471883a086e9c1131795e4e8d7cb0db3bd38cfc2b,True,,,1,0,1959.929951,2255.865124,6,2094,4,32
54,0,50,0,L0050,62,1;0;1;0,0;0;0;0,0;0;0;0,1,0,0,0.0,1,False,1787895537.7359483,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,c3dff4aa57e63a8b7349e04e1a178560f206669305701be76746447b5dc30985,True,,,1,0,1871.509495,2169.376481,6,2094,4,32
55,0,1,2,L0001,63,1;1;1;0,0;0;0;3072,0;0;0;11,3,0,3072,0.0,3,False,1787895537.7359955,2560,3072,17.70344591140747,False,False,False,False,3072,0.0,1,1,False,0.0,188419e3e7d746017c004967bd957dfa3a42ed6424f61ac394505a6a8ac44cc8,True,,,1,0,305.738682,751.783521,6,3140,4,3136
56,0,58,0,L0058,65,0;0;0;0,0;0;0;0,0;0;0;0,1,0,0,0.0,1,False,1787895539.994762,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,e4f21dd301c21db981d6ca9d3d45e22806dd0fb12cd561b8ee82c167536e3bed,True,,,1,0,1747.922182,2043.632991,6,2094,4,32
57,0,32,1,L0032,66,0;1;0;0,0;0;0;2048,0;0;0;13,3,1,2048,40.96,3,True,1787895539.9948287,2048,2048,16.77467918395996,False,False,False,False,2048,40.96,1,1,False,0.0,f5a27ecf9a2d069aa5cd04cd3ac671f3896b60962dba085d130066484af4db76,True,,,1,0,1000.595242,1375.632326,6,2617,4,2080
58,0,3,0,L0003,68,0;1;0;1,3072;0;2560;0,5;0;9;0,0,0,3072,0.0,0,False,1787895539.9948857,3072,3072,23.258126974105835,False,False,False,False,3072,0.0,2,2,False,992.0,a601479b57a79ab3e5032d5c12c405a459963a23cc3c4b039833a4e4f36dc538,True,,,1,0,126.496258,425.818719,6,2094,4,2080
59,0,2,0,L0002,70,1;1;0;1,0;0;0;0,0;0;0;0,2,0,0,0.0,2,False,1787895539.994925,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,86d82909efaabd4f19ea95b019309fb633835338fd7638619938c5d3803d8874,True,,,1,0,1806.583957,2098.471883,6,2094,4,16
60,0,51,1,L0051,71,0;0;0;0,2048;0;0;0,14;0;0;0,0,1,2048,40.96,0,True,1787895542.0972831,2048,2048,15.963284730911255,False,False,False,False,2048,40.96,1,1,False,0.0,5ed4f9c878f355d7d22700661d6108ebbda7267774f2a8afa3bf9eac4530b63c,True,,,1,0,977.326672,2908.183732,6,2617,4,2080
61,0,20,2,L0020,73,1;0;0;0,0;2048;0;0,0;15;0;0,1,1,2048,40.96,1,True,1787895542.0973444,2560,2048,15.962830305099487,False,False,False,False,2048,40.96,1,1,False,0.0,8a2e31d139c77013c84d3f5ebf4734ab9dafad1087a05227dfd08124390670d2,True,,,1,0,1880.9112,2291.71338,6,3140,4,2080
62,0,28,0,L0028,75,1;1;0;0,0;0;0;0,0;0;0;0,3,0,0,0.0,3,False,1787895542.0973895,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,535dac880efee48d77d2145c2aacff267ef1a0a6070c79ac001d387d63071f42,True,,,1,0,1702.560312,1992.839628,6,2094,4,32
63,0,9,2,L0009,76,1;1;0;1,2560;0;0;0,8;0;0;0,0,1,2560,49.2,0,True,1787895542.0974364,2560,2560,22.065284252166748,False,False,False,False,2560,49.2,1,1,False,0.0,d6e82e0de411d85d259e576dab45500ce6d8491283139f97c7790681a5db37f9,True,,,1,0,2376.980944,3052.870489,6,3140,4,2608
64,1,64,0,L0064,78,0;0;0;0,0;0;0;0,0;0;0;0,2,0,0,0.0,2,False,1787895545.1543615,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,89ab1fd29fabb4831977c76f7364b0119b43312d502c19ceae559c069078a15f,True,,,1,0,2152.734019,2478.671115,6,2094,4,32
65,1,87,0,L0087,79,0;0;1;0,0;0;0;0,0;0;0;0,1,0,0,0.0,1,False,1787895545.1544118,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,da9bf24c1ead4976d9da0228738136e882729bcbed2cf471c9676882cd0f27cf,True,,,1,0,1787.799314,2077.993932,6,2094,4,16
66,1,75,0,L0075,80,0;1;1;0,0;0;0;0,0;0;0;0,0,0,0,0.0,0,False,1787895545.1544504,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,45f8e5c8e03ce82a11d7b20389249043b4c6093e75518d1df037648a35c40cbb,True,,,1,0,1672.092375,1953.652965,6,2094,4,32
67,1,68,0,L0068,81,1;1;1;0,0;0;0;0,0;0;0;0,3,0,0,0.0,3,False,1787895545.1544864,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,a5c17c6d070c1cb54024ecffec062cbdcf4c04d32d89e6262c9fe0610b04bf15,True,,,1,0,1828.687039,2115.660045,6,2094,4,32
68,1,83,0,L0083,82,0;0;0;0,0;0;0;0,0;0;0;0,2,0,0,0.0,2,False,1787895547.6350741,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,c256720c22ae356687a4a382e94935be65c43e70be4663835b4a4d5d3e0a4c75,True,,,1,0,1820.485458,2112.299188,6,2094,4,32
69,1,82,0,L0082,83,0;0;1;0,0;0;0;0,0;0;0;0,3,0,0,0.0,3,False,1787895547.6351247,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,a1d552d4d8a11f951eb496beada574e67aa0f958174774c1cd4b0e1ad7ae13a5,True,,,1,0,2192.462941,2513.381077,6,2094,4,16
70,1,64,1,L0064,84,0;0;1;1,0;0;0;0,0;0;0;0,0,0,0,0.0,0,False,1787895547.6351786,2048,0,48.98383545875549,True,True,False,False,0,0.0,0,0,False,0.0,6cefa8536cc24ccbd5b306d5f391b62218b19e55d7e36c5b5dc9cbd86e9e78a4,True,,,1,0,2242.179688,2563.275176,6,2617,4,32
71,1,64,2,L0064,85,1;0;1;1,0;0;0;0,0;0;0;0,1,0,0,0.0,1,False,1787895547.6352165,2048,0,48.98387336730957,True,True,False,False,0,0.0,0,0,False,0.0,8cb4f8bc22abce3cffa9e6382555a3d5f5972c5325cb1a3803a7ef8e35ac2050,True,,,1,0,3667.842045,4081.787295,6,3140,4,32
72,1,107,0,L0107,86,0;0;0;0,0;0;0;0,0;0;0;0,2,0,0,0.0,2,False,1787895551.7210488,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,73c9f1e2e150b96c68e2bf9e18f70c824b1427ec199d0f9bf40796fe90115ebc,True,,,1,0,2192.890533,2541.630688,6,2094,4,32
