request_id,phase,lineage_id,step,digest,snapshot_rr,snapshot_loads,snapshot_cov_row,snapshot_wseq_row,world1_target,world1_affinity,world1_coverage,world1_expected_net_ms,selected_instance,candidate_hit,dispatch_time_unix,source_truth_coverage_tokens,dispatcher_view_coverage_tokens,dispatch_state_age_s,dispatcher_view_missing,source_view_false_negative,source_view_false_positive,physical_false_positive_affinity,expected_coverage_tokens,expected_net_prefill_ms,raw_candidate_fanout,evaluated_candidate_fanout,stale_fallback,coverage_shortfall_tokens,prompt_sha256,ok,error,prior_attempt_errors,attempt_count,sse_parse_errors,ttft_ms,latency_ms,chunks,input_tokens,output_tokens,vllm_cached_tokens
32,0,14,0,L0014,32,0;0;0;0,0;0;0;0,0;0;0;0,0,0,0,0.0,0,False,1787894366.8811553,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,fbf9203010610f481b86e1540368e2b9c6c33e9379db03bc91730b62f7971301,True,,,1,0,1389.85698,1617.625329,6,2094,4,32
33,0,41,1,L0041,33,1;0;0;0,0;0;0;0,0;0;0;0,1,0,0,0.0,1,False,1787894366.8812225,2048,0,19.40750527381897,True,True,False,False,0,0.0,0,0,False,0.0,6f39b3a1d9eaf88d3c0b2394690a50d50ea9bd8bd95c69b2c5dbd66e48303dbe,True,,,1,0,766.155909,1068.929259,6,2617,4,2080
34,0,23,2,L0023,34,1;1;0;0,0;0;0;0,0;0;0;0,2,0,0,0.0,2,False,1787894366.881262,2560,0,19.4075448513031,True,True,False,False,0,0.0,0,0,False,0.0,3110ee2bb0d4df1d775654df9e007b7e6ff3bc07651a3b9cf017a22b599851d5,True,,,1,0,882.997014,1244.313357,6,3140,4,2608
35,0,11,0,L0011,35,1;1;1;0,0;0;0;0,0;0;0;0,3,0,0,0.0,3,False,1787894366.8812976,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,8b255bd7874c73496b75e11f8e0a36c2a0ad4cdaf3f8711dccc20edaab22e919,True,,,1,0,1572.583211,1828.599135,6,2094,4,32
36,0,52,0,L0052,36,0;0;0;0,0;0;0;0,0;0;0;0,0,0,0,0.0,0,False,1787894368.7134485,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,d4b319771fd64fef70cdc2cb45b91b7541541f0bcd5a080836d02225d4b5eb82,True,,,1,0,1794.04749,2090.380146,6,2094,4,16
37,0,32,0,L0032,37,1;0;0;0,0;0;0;0,0;0;0;0,2,0,0,0.0,2,False,1787894368.7134948,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,26492964803e8a3db5446a654d25f075cac756525cf2612863248a5d8fa84004,True,,,1,0,1528.046958,1784.789055,6,2094,4,32
38,0,0,1,L0000,38,1;0;1;0,0;0;0;0,0;0;0;0,1,0,0,0.0,1,False,1787894368.7135298,2048,0,21.23981261253357,True,True,False,False,0,0.0,0,0,False,0.0,0c9ff9f9edbcdc5a819b27a7af5b932d14b38fc4a7f953bc9872c42b33c957b9,True,,,1,0,2468.700799,2787.794469,6,2617,4,16
39,0,28,1,L0028,39,1;1;1;0,0;0;0;0,0;0;0;0,3,0,0,0.0,3,False,1787894368.7135665,2048,0,21.23984932899475,True,True,False,False,0,0.0,0,0,False,0.0,b1ff66dc8961f524cd4cc6dc7bd965026917824a9dd66ffa4b9aac408ca66e64,True,,,1,0,863.255463,1191.070146,6,2617,4,2080
40,0,16,0,L0016,40,0;0;0;0,0;0;0;0,0;0;0;0,0,0,0,0.0,0,False,1787894371.5042,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,d11650e7b757962d0060a1645fcd52077472a619ac8fe25842e55edfa5905fa7,True,,,1,0,1826.74412,2112.905171,6,2094,4,16
41,0,19,0,L0019,41,1;0;0;0,0;0;0;0,0;0;0;0,3,0,0,0.0,3,False,1787894371.5042496,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,039be0878d52c10c95ca28e87db8d3a5e1b083386be0ca531cc8e29bee3b97b6,True,,,1,0,1703.236684,1958.890311,6,2094,4,32
