request_id,phase,lineage_id,step,digest,snapshot_rr,snapshot_loads,snapshot_cov_row,snapshot_wseq_row,world1_target,world1_affinity,world1_coverage,world1_expected_net_ms,selected_instance,candidate_hit,dispatch_time_unix,source_truth_coverage_tokens,dispatcher_view_coverage_tokens,dispatch_state_age_s,dispatcher_view_missing,source_view_false_negative,source_view_false_positive,physical_false_positive_affinity,expected_coverage_tokens,expected_net_prefill_ms,raw_candidate_fanout,evaluated_candidate_fanout,stale_fallback,coverage_shortfall_tokens,prompt_sha256,ok,error,prior_attempt_errors,attempt_count,sse_parse_errors,ttft_ms,latency_ms,chunks,input_tokens,output_tokens,vllm_cached_tokens
32,0,3,0,L0003,32,0;0;0;0,0;0;0;0,0;0;0;0,0,0,0,0.0,0,False,1787890535.130236,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,a601479b57a79ab3e5032d5c12c405a459963a23cc3c4b039833a4e4f36dc538,True,,,1,0,941.229836,1105.381842,6,2094,4,16
33,0,5,0,L0005,33,1;0;0;0,0;0;0;0,0;0;0;0,1,0,0,0.0,1,False,1787890535.1303115,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,fec8275d9290d592392bf0153f4741b14a6018c072e3ad5bba37ba4cdb802ef3,True,,,1,0,982.505937,1139.516275,6,2094,4,32
34,0,27,0,L0027,34,1;1;0;0,0;0;0;0,0;0;0;0,2,0,0,0.0,2,False,1787890535.1303742,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,190654f627f49fcebdd98e322954af9ab0f81e6acb3a0654ad381eed7edf3987,True,,,1,0,943.972562,1107.196981,6,2094,4,16
35,0,23,2,L0023,35,1;1;1;0,0;0;0;0,0;0;0;0,3,0,0,0.0,3,False,1787890535.1304305,2560,0,12.083568334579468,True,True,False,False,0,0.0,0,0,False,0.0,3110ee2bb0d4df1d775654df9e007b7e6ff3bc07651a3b9cf017a22b599851d5,True,,,1,0,915.382472,1121.126405,6,3140,4,2080
36,0,29,2,L0029,36,0;0;0;0,0;0;0;0,0;0;0;0,0,0,0,0.0,0,False,1787890536.2724385,2560,0,13.225576400756836,True,True,False,False,0,0.0,0,0,False,0.0,a9ce101a1a67103ab6734cf28e1036c866597d03e4bc9374d5f6dbd281e328b6,True,,,1,0,1636.108515,1830.617957,6,3140,4,16
37,0,56,0,L0056,37,1;0;0;0,0;0;0;0,0;0;0;0,2,0,0,0.0,2,False,1787890536.2724893,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,2a40b8b2635b76320dd2a475aa2efffb6cd0ec73047d38d3fe3407c865a616e4,True,,,1,0,934.903438,1088.291,6,2094,4,32
38,0,58,1,L0058,38,1;0;1;0,0;0;0;0,0;0;0;0,1,0,0,0.0,1,False,1787890536.2725263,2048,0,13.225664138793945,True,True,False,False,0,0.0,0,0,False,0.0,a115534ca180c411b8d951e1c52f14eecd5dc4bdc27788fbd2ceac603cca42f7,True,,,1,0,447.528764,638.132168,6,2617,4,2080
39,0,30,1,L0030,39,1;1;1;0,0;0;0;0,0;0;0;0,3,0,0,0.0,3,False,1787890536.2725613,2048,0,13.225699186325073,True,True,False,False,0,0.0,0,0,False,0.0,32de428558806c0a2fef793e583e33ea916c1ffcee9163cfdfad739742787d6d,True,,,1,0,1251.159852,1426.27343,6,2617,4,16
40,0,36,0,L0036,40,0;0;0;0,0;0;0;0,0;0;0;0,0,0,0,0.0,0,False,1787890538.1048474,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,110a69e605f691e1b72f0b955f84df377fe4b0baa2298c5027f919f535cb6065,True,,,1,0,933.52207,1091.919206,6,2094,4,16
41,0,11,0,L0011,41,1;0;0;0,0;0;0;0,0;0;0;0,3,0,0,0.0,3,False,1787890538.1048965,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,8b255bd7874c73496b75e11f8e0a36c2a0ad4cdaf3f8711dccc20edaab22e919,True,,,1,0,1113.980464,1285.867066,6,2094,4,32
42,0,0,0,L0000,42,1;0;0;1,0;0;0;0,0;0;0;0,1,0,0,0.0,1,False,1787890538.1049333,3072,0,15.05807113647461,True,True,False,False,0,0.0,0,0,False,0.0,df52714a8f50e235a47ace12b3c17556904b9bd0cf6b9ade5e2ab3a8c9540206,True,,,1,0,82.418794,239.52599,6,2094,4,2080
43,0,36,1,L0036,43,1;1;0;1,0;0;0;0,0;0;0;0,2,0,0,0.0,2,False,1787890538.1049705,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,a4468910ee52b871d86df25feb656de14a507607704b02733be38d1389d28b77,True,,,1,0,1512.242617,1715.279923,6,2617,4,32
44,0,4,0,L0004,44,0;0;0;0,0;0;0;0,0;0;0;0,0,0,0,0.0,0,False,1787890539.823648,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,b70182b81962e79bae4dde50e0e9954b352f261d724f609a3792ead929f0d564,True,,,1,0,1041.044138,1207.891209,6,2094,4,32
