request_id,phase,lineage_id,step,digest,snapshot_rr,snapshot_loads,snapshot_cov_row,snapshot_wseq_row,world1_target,world1_affinity,world1_coverage,world1_expected_net_ms,selected_instance,candidate_hit,dispatch_time_unix,source_truth_coverage_tokens,dispatcher_view_coverage_tokens,dispatch_state_age_s,dispatcher_view_missing,source_view_false_negative,source_view_false_positive,physical_false_positive_affinity,expected_coverage_tokens,expected_net_prefill_ms,raw_candidate_fanout,evaluated_candidate_fanout,stale_fallback,coverage_shortfall_tokens,prompt_sha256,ok,error,prior_attempt_errors,attempt_count,sse_parse_errors,ttft_ms,latency_ms,chunks,input_tokens,output_tokens,vllm_cached_tokens
16,0,22,0,L0022,17,0;0;0;0,0;0;0;0,0;0;0;0,1,0,0,0.0,1,False,1787889809.813676,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,3a9fbe252dbf890a31c3724f8f983e374be5aabff6889d24ad7546a48054f4ad,True,,,1,0,899.961247,1045.003595,6,2094,4,16
17,0,61,0,L0061,18,0;1;0;0,0;0;0;0,0;0;0;0,0,0,0,0.0,0,False,1787889809.813693,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,b571f75bfa134e78441b48769ee5963855fe4434d50b42683b69491dec55503f,True,,,1,0,850.367962,993.438684,6,2094,4,32
18,0,0,1,L0000,19,1;1;0;0,0;0;0;0,0;0;0;0,3,0,0,0.0,3,False,1787889809.8137052,2048,0,5.645611047744751,True,True,False,False,0,0.0,0,0,False,0.0,0c9ff9f9edbcdc5a819b27a7af5b932d14b38fc4a7f953bc9872c42b33c957b9,True,,,1,0,1325.55718,1502.677875,6,2617,4,16
19,0,2,1,L0002,20,1;1;0;1,0;0;0;0,0;0;0;0,2,0,0,0.0,2,False,1787889809.813718,2048,0,5.6456239223480225,True,True,False,False,0,0.0,0,0,False,0.0,a738a3465b1a4f585571f5b3058105e820cda6e1726869c1458af5fd5cfd2d60,True,,,1,0,1278.512817,1461.323831,6,2617,4,32
20,0,28,1,L0028,21,0;0;0;0,0;0;2048;0,0;0;12;0,2,1,2048,40.96,2,True,1787889811.3176959,2048,2048,2.68019962310791,False,False,False,False,2048,40.96,1,1,False,0.0,b1ff66dc8961f524cd4cc6dc7bd965026917824a9dd66ffa4b9aac408ca66e64,True,,,1,0,391.943029,562.701194,6,2617,4,2080
21,0,2,2,L0002,23,0;0;1;0,0;0;0;0,0;0;0;0,3,0,0,0.0,3,False,1787889811.317714,2560,0,7.149619817733765,True,True,False,False,0,0.0,0,0,False,0.0,5f4b36666d9f3038abef713fb6a67c9807935f1ade12efbb268a5f339a4e7fef,True,,,1,0,1717.05557,1903.661302,6,3140,4,32
22,0,3,0,L0003,24,0;0;1;1,0;0;0;0,0;0;0;0,0,0,0,0.0,0,False,1787889811.317728,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,a601479b57a79ab3e5032d5c12c405a459963a23cc3c4b039833a4e4f36dc538,True,,,1,0,798.053114,931.869234,6,2094,4,16
23,0,61,1,L0061,25,1;0;1;1,0;0;0;0,0;0;0;0,1,0,0,0.0,1,False,1787889811.31774,2048,0,7.149645805358887,True,True,False,False,0,0.0,0,0,False,0.0,0e2faa258c85bbed820184a00830159b3ca08849b9456e0b0c7273633ab4361a,True,,,1,0,1308.658728,1484.418421,6,2617,4,32
24,1,122,0,L0122,26,0;0;0;0,0;0;0;0,0;0;0;0,2,0,0,0.0,2,False,1787889813.22362,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,2d9ae38f6a2f696f0de7c2f42cb70c7c38ef990a76446c3b91e769f6dbaeb7d8,True,,,1,0,844.682156,996.022782,6,2094,4,32
25,1,106,0,L0106,27,0;0;1;0,0;0;0;0,0;0;0;0,0,0,0,0.0,0,False,1787889813.2236671,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,3cfa0ab233506d90658d1f0f15bdeb714b2a678519de8084e2668c41cadec931,True,,,1,0,804.55715,943.931706,6,2094,4,32
