request_id,phase,lineage_id,step,digest,snapshot_rr,snapshot_loads,snapshot_cov_row,snapshot_wseq_row,world1_target,world1_affinity,world1_coverage,world1_expected_net_ms,selected_instance,candidate_hit,dispatch_time_unix,source_truth_coverage_tokens,dispatcher_view_coverage_tokens,dispatch_state_age_s,dispatcher_view_missing,source_view_false_negative,source_view_false_positive,physical_false_positive_affinity,expected_coverage_tokens,expected_net_prefill_ms,raw_candidate_fanout,evaluated_candidate_fanout,stale_fallback,coverage_shortfall_tokens,prompt_sha256,ok,error,prior_attempt_errors,attempt_count,sse_parse_errors,ttft_ms,latency_ms,chunks,input_tokens,output_tokens,vllm_cached_tokens
32,0,5,1,L0005,32,0;0;0;0,0;0;0;0,0;0;0;0,0,0,0,0.0,0,False,1787895017.7754714,2048,0,19.966124057769775,True,True,False,False,0,0.0,0,0,False,0.0,22a6432627cdff863e8854db4ae7d2d128a14cd787d2feec1cc6ce2ae316d3b5,True,,,1,0,2339.74207,2671.423955,6,2617,4,32
33,0,42,1,L0042,33,1;0;0;0,0;0;0;0,0;0;0;0,1,0,0,0.0,1,False,1787895017.7755218,2048,0,19.966174364089966,True,True,False,False,0,0.0,0,0,False,0.0,f380a0f04da30e05cdaea5e287c4d50e4c8a4e6fa142a5da7a23c9d52994fd11,True,,,1,0,2383.947723,2708.710877,6,2617,4,16
34,0,6,0,L0006,34,1;1;0;0,0;0;0;0,0;0;0;0,2,0,0,0.0,2,False,1787895017.7755601,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,e05e05188693320d88ded97408c53b09769332f44a244c2c7f5b99667ec405b4,True,,,1,0,1674.9561,1961.770935,6,2094,4,16
35,0,55,0,L0055,35,1;1;1;0,0;0;0;0,0;0;0;0,3,0,0,0.0,3,False,1787895017.775595,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,d0cd6568bebdb672c0baabe26da5303ba465b96f5fcc2aced6cbd1ac160b6407,True,,,1,0,1865.962189,2132.380397,6,2094,4,32
36,0,0,1,L0000,36,0;0;0;0,0;0;0;0,0;0;0;0,0,0,0,0.0,0,False,1787895020.4865692,2048,0,22.67722177505493,True,True,False,False,0,0.0,0,0,False,0.0,0c9ff9f9edbcdc5a819b27a7af5b932d14b38fc4a7f953bc9872c42b33c957b9,True,,,1,0,2399.213698,2750.996915,6,2617,4,32
37,0,9,0,L0009,37,1;0;0;0,0;0;0;0,0;0;0;0,2,0,0,0.0,2,False,1787895020.4866192,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,302b499e7f53390be89c2e4d293056fd8e0df1d356288e04a6f3c396fef73f5f,True,,,1,0,1821.599056,2107.386133,6,2094,4,32
38,0,47,0,L0047,38,1;0;1;0,0;0;0;0,0;0;0;0,1,0,0,0.0,1,False,1787895020.486658,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,457a58763e329dc2fe2308e09228a5011812eda01c0f5100b29d0ceb41697fff,True,,,1,0,1542.409188,1791.065168,6,2094,4,16
39,0,33,1,L0033,39,1;1;1;0,0;0;0;0,0;0;0;0,3,0,0,0.0,3,False,1787895020.4866934,2048,0,22.677345991134644,True,True,False,False,0,0.0,0,0,False,0.0,004621b39aee91ea2e2ecd397407b0e20a25d6978158d9e3d660e19f81c9ef4c,True,,,1,0,2872.661894,3267.115554,6,2617,4,32
40,0,1,2,L0001,40,0;0;0;0,0;0;0;0,0;0;0;0,0,0,0,0.0,0,False,1787895023.7571943,2560,0,25.94784688949585,True,True,False,False,0,0.0,0,0,False,0.0,188419e3e7d746017c004967bd957dfa3a42ed6424f61ac394505a6a8ac44cc8,True,,,1,0,3213.247409,3565.213037,6,3140,4,16
41,0,1,0,L0001,41,1;0;0;0,0;0;0;0,0;0;0;0,3,0,0,0.0,3,False,1787895023.7572463,2560,0,25.947898864746094,True,True,False,False,0,0.0,0,0,False,0.0,b0925efae1c736debdecee24b0fc4cc017fd012e234888d6bba1045074eff509,True,,,1,0,115.216263,371.486042,6,2094,4,2080
42,0,50,0,L0050,42,1;0;0;1,0;0;0;0,0;0;0;0,1,0,0,0.0,1,False,1787895023.757286,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,c3dff4aa57e63a8b7349e04e1a178560f206669305701be76746447b5dc30985,True,,,1,0,1838.052785,2136.92937,6,2094,4,32
43,0,33,2,L0033,43,1;1;0;1,0;0;0;0,0;0;0;0,2,0,0,0.0,2,False,1787895023.7573204,2560,0,25.947973012924194,True,True,False,False,0,0.0,0,0,False,0.0,477485199ca12cd29c73c1d7790f32a7a5bfc0710c242be2a067fcd171dbd877,True,,,1,0,1796.007427,2184.119392,6,3140,4,2080
44,0,27,0,L0027,44,0;0;0;0,0;0;0;0,0;0;0;0,0,0,0,0.0,0,False,1787895027.3244808,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,190654f627f49fcebdd98e322954af9ab0f81e6acb3a0654ad381eed7edf3987,True,,,1,0,1601.970891,1884.136416,6,2094,4,16
45,0,35,0,L0035,45,1;0;0;0,0;0;0;0,0;0;0;0,1,0,0,0.0,1,False,1787895027.3245308,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,72d84f0a3d32662d7edc4fccf80fa7d61f786e5c3c814d4fcf199e977ab1ea66,True,,,1,0,1552.526816,1822.658874,6,2094,4,32
46,0,25,0,L0025,46,1;1;0;0,0;0;0;0,0;0;0;0,2,0,0,0.0,2,False,1787895027.3245697,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,3493e143ae94808cf0e2f503dded6cabae8a7d0487922f8571c87313b39e24e8,True,,,1,0,1613.9255,1887.880602,6,2094,4,32
47,0,34,2,L0034,47,1;1;1;0,0;0;0;0,0;0;0;0,3,0,0,0.0,3,False,1787895027.3246024,2560,0,29.515254974365234,True,True,False,False,0,0.0,0,0,False,0.0,5cf897857e3b3262e077d08fdce9e9d9a23d444070756255e364ca844bddda26,True,,,1,0,2050.497132,2447.422725,6,3140,4,2080
48,0,39,0,L0039,48,0;0;0;0,0;0;0;0,0;0;0;0,0,0,0,0.0,0,False,1787895029.7757843,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,7297adbcc142496431dca43ee332412383b49dda1bca118e5001890ce02c786c,True,,,1,0,2914.135378,3575.97588,6,2094,4,32
49,0,13,1,L0013,49,1;0;0;0,0;0;0;0,0;0;0;0,2,0,0,0.0,2,False,1787895029.7758348,2048,0,31.966487407684326,True,True,False,False,0,0.0,0,0,False,0.0,76ee3ac418901f4650ca82e1aa9b68e639b6ad1cdb689d21b6aee7e6f7608a08,True,,,1,0,2619.795022,2983.610266,6,2617,4,16
50,0,0,2,L0000,50,1;0;1;0,2560;0;0;2048,16;0;0;7,0,1,2560,49.2,0,True,1787895029.775896,2560,2560,6.019977807998657,False,False,False,False,2560,49.2,2,2,False,0.0,3e643d165b8c0d2e8c8a17520105d787f259e214f7a0be6f9c3ff0d448bfef06,True,,,1,0,2912.90805,3574.837108,6,3140,4,2608
51,0,0,0,L0000,52,2;0;1;0,2560;0;0;2048,16;0;0;7,0,1,2560,47.2,0,True,1787895029.7759464,2560,2560,6.020028114318848,False,False,False,False,2560,47.2,2,2,False,480.0,df52714a8f50e235a47ace12b3c17556904b9bd0cf6b9ade5e2ab3a8c9540206,True,,,1,0,2911.86172,3573.600845,6,2094,4,2080
52,0,14,0,L0014,54,0;0;0;0,0;0;0;0,0;0;0;0,2,0,0,0.0,2,False,1787895033.3540876,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,fbf9203010610f481b86e1540368e2b9c6c33e9379db03bc91730b62f7971301,True,,,1,0,2909.440669,3518.226565,6,2094,4,32
53,0,6,1,L0006,55,0;0;1;0,0;0;2048;0,0;0;14;0,2,1,2048,38.96,2,True,1787895033.3541539,2048,2048,12.868136405944824,False,False,False,False,2048,38.96,1,1,False,0.0,7b353ad0597122fc1dd1aba2d942899bf5f7aa0039d02d1bddba99108aae6c62,True,,,1,0,2908.935374,3517.81678,6,2617,4,2080
54,0,24,1,L0024,57,0;0;2;0,0;0;0;0,0;0;0;0,0,0,0,0.0,0,False,1787895033.3542132,2048,0,35.54486584663391,True,True,False,False,0,0.0,0,0,False,0.0,98fad1681537297f3ff3d266178c01be71d6ed705ce7a16cabbe59194266c941,True,,,1,0,815.264382,1146.732131,6,2617,4,2080
55,0,22,1,L0022,58,1;0;2;0,0;0;0;0,0;0;0;0,1,0,0,0.0,1,False,1787895033.3542511,2048,0,35.54490375518799,True,True,False,False,0,0.0,0,0,False,0.0,18a3ea63a4592ace62de445b35a21793d808598d4893e4b560ff26c345c38157,True,,,1,0,2549.73239,2882.274053,6,2617,4,16
56,0,1,1,L0001,59,0;0;0;0,0;0;2048;2560,0;0;1;3,3,0,2560,0.0,3,False,1787895036.8748436,3072,2560,29.425841093063354,False,False,False,False,2560,0.0,2,2,False,0.0,60ce9bd97cbcd68672268d686bb8e061973b4d9d16ee5d75c0cd300fb2434127,True,,,1,0,261.477176,574.873483,6,2617,4,2608
57,0,22,2,L0022,61,0;0;0;1,0;0;0;0,0;0;0;0,1,0,0,0.0,1,False,1787895036.8749003,2560,0,39.065552949905396,True,True,False,False,0,0.0,0,0,False,0.0,93494ccb92048366753930de691b14cccf76815a86990459a1ce131e412a32c2,True,,,1,0,958.521321,1319.954174,6,3140,4,2608
58,0,21,1,L0021,62,0;1;0;1,0;0;0;0,0;0;0;0,0,0,0,0.0,0,False,1787895036.8749442,2048,0,39.06559681892395,True,True,False,False,0,0.0,0,0,False,0.0,0888167195eceddd620a6ba9c1fcead340677b4a0e0c74f9cf6336a3bf871c35,True,,,1,0,2615.906308,2975.804769,6,2617,4,32
59,0,13,2,L0013,63,1;1;0;1,0;0;0;0,0;0;0;0,2,0,0,0.0,2,False,1787895036.8749814,2560,0,39.06563401222229,True,True,False,False,0,0.0,0,0,False,0.0,a2cf8ca2888370b8160691d2af1eaf9e593edc66ec8216a832370fbd2542ffbc,True,,,1,0,1142.243067,1583.431629,6,3140,4,2608
60,0,52,0,L0052,64,0;0;0;0,0;0;0;0,0;0;0;0,0,0,0,0.0,0,False,1787895039.8546977,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,d4b319771fd64fef70cdc2cb45b91b7541541f0bcd5a080836d02225d4b5eb82,True,,,1,0,1828.504649,2132.361188,6,2094,4,32
