request_id,phase,lineage_id,step,digest,snapshot_rr,snapshot_loads,snapshot_cov_row,snapshot_wseq_row,world1_target,world1_affinity,world1_coverage,world1_expected_net_ms,selected_instance,candidate_hit,dispatch_time_unix,source_truth_coverage_tokens,dispatcher_view_coverage_tokens,dispatch_state_age_s,dispatcher_view_missing,source_view_false_negative,source_view_false_positive,physical_false_positive_affinity,expected_coverage_tokens,expected_net_prefill_ms,raw_candidate_fanout,evaluated_candidate_fanout,stale_fallback,coverage_shortfall_tokens,prompt_sha256,ok,error,prior_attempt_errors,attempt_count,sse_parse_errors,ttft_ms,latency_ms,chunks,input_tokens,output_tokens,vllm_cached_tokens
32,0,5,1,L0005,33,0;0;0;0,0;0;0;0,0;0;0;0,1,0,0,0.0,1,False,1787891804.9484923,2048,0,14.905542135238647,True,True,False,False,0,0.0,0,0,False,0.0,22a6432627cdff863e8854db4ae7d2d128a14cd787d2feec1cc6ce2ae316d3b5,True,,,1,0,1527.747001,1745.228547,6,2617,4,16
33,0,42,1,L0042,34,0;1;0;0,0;0;0;0,0;0;0;0,2,0,0,0.0,2,False,1787891804.948546,2048,0,14.905595779418945,True,True,False,False,0,0.0,0,0,False,0.0,f380a0f04da30e05cdaea5e287c4d50e4c8a4e6fa142a5da7a23c9d52994fd11,True,,,1,0,1737.88346,1993.170948,6,2617,4,32
34,0,6,0,L0006,35,0;1;1;0,0;0;0;0,0;0;0;0,3,0,0,0.0,3,False,1787891804.9485855,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,e05e05188693320d88ded97408c53b09769332f44a244c2c7f5b99667ec405b4,True,,,1,0,1680.111186,1943.937368,6,2094,4,32
35,0,55,0,L0055,36,0;1;1;1,0;0;0;0,0;0;0;0,0,0,0,0.0,0,False,1787891804.9486196,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,d0cd6568bebdb672c0baabe26da5303ba465b96f5fcc2aced6cbd1ac160b6407,True,,,1,0,1442.448351,1657.181077,6,2094,4,32
36,0,0,1,L0000,37,0;0;0;0,0;0;0;0,0;0;0;0,1,0,0,0.0,1,False,1787891806.9444797,2048,0,16.901529550552368,True,True,False,False,0,0.0,0,0,False,0.0,0c9ff9f9edbcdc5a819b27a7af5b932d14b38fc4a7f953bc9872c42b33c957b9,True,,,1,0,1940.533332,2204.669475,6,2617,4,32
37,0,9,0,L0009,38,0;1;0;0,0;0;0;0,0;0;0;0,3,0,0,0.0,3,False,1787891806.9445324,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,302b499e7f53390be89c2e4d293056fd8e0df1d356288e04a6f3c396fef73f5f,True,,,1,0,1520.289557,1745.095996,6,2094,4,32
38,0,47,0,L0047,39,0;1;0;1,0;0;0;0,0;0;0;0,2,0,0,0.0,2,False,1787891806.9445715,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,457a58763e329dc2fe2308e09228a5011812eda01c0f5100b29d0ceb41697fff,True,,,1,0,1140.379364,1326.102449,6,2094,4,32
39,0,33,1,L0033,40,0;1;1;1,0;0;0;0,0;0;0;0,0,0,0,0.0,0,False,1787891806.9446042,2048,0,16.90165400505066,True,True,False,False,0,0.0,0,0,False,0.0,004621b39aee91ea2e2ecd397407b0e20a25d6978158d9e3d660e19f81c9ef4c,True,,,1,0,1539.703137,1746.108824,6,2617,4,16
40,0,1,2,L0001,41,0;0;0;0,0;0;2048;0,0;0;8;0,2,1,2048,40.96,2,True,1787891809.151228,2560,2048,15.41518497467041,False,False,False,False,2048,40.96,1,1,False,0.0,188419e3e7d746017c004967bd957dfa3a42ed6424f61ac394505a6a8ac44cc8,True,,,1,0,1272.378544,1580.400866,6,3140,4,2080
41,0,1,0,L0001,43,0;0;1;0,0;0;2048;0,0;0;8;0,2,1,2048,38.96,2,True,1787891809.1512902,2560,2048,15.415247201919556,False,False,False,False,2048,38.96,1,1,False,0.0,b0925efae1c736debdecee24b0fc4cc017fd012e234888d6bba1045074eff509,True,,,1,0,1379.376859,1647.481322,6,2094,4,2080
42,0,50,0,L0050,45,0;0;2;0,0;0;0;0,0;0;0;0,0,0,0,0.0,0,False,1787891809.1513314,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,c3dff4aa57e63a8b7349e04e1a178560f206669305701be76746447b5dc30985,True,,,1,0,1488.26571,1723.380777,6,2094,4,32
43,0,33,2,L0033,46,1;0;2;0,0;0;0;0,0;0;0;0,1,0,0,0.0,1,False,1787891809.1513677,2560,0,19.108417510986328,True,True,False,False,0,0.0,0,0,False,0.0,477485199ca12cd29c73c1d7790f32a7a5bfc0710c242be2a067fcd171dbd877,True,,,1,0,2492.641342,2800.535895,6,3140,4,32
44,0,27,0,L0027,47,0;0;0;0,0;0;0;0,0;0;0;0,3,0,0,0.0,3,False,1787891811.9560313,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,190654f627f49fcebdd98e322954af9ab0f81e6acb3a0654ad381eed7edf3987,True,,,1,0,1542.045908,1788.233957,6,2094,4,32
