request_id,phase,lineage_id,step,digest,snapshot_rr,snapshot_loads,snapshot_cov_row,snapshot_wseq_row,world1_target,world1_affinity,world1_coverage,world1_expected_net_ms,selected_instance,candidate_hit,dispatch_time_unix,source_truth_coverage_tokens,dispatcher_view_coverage_tokens,dispatch_state_age_s,dispatcher_view_missing,source_view_false_negative,source_view_false_positive,physical_false_positive_affinity,expected_coverage_tokens,expected_net_prefill_ms,raw_candidate_fanout,evaluated_candidate_fanout,stale_fallback,coverage_shortfall_tokens,prompt_sha256,ok,error,prior_attempt_errors,attempt_count,sse_parse_errors,ttft_ms,latency_ms,chunks,input_tokens,output_tokens,vllm_cached_tokens
32,0,5,1,L0005,32,0;0;0;0,0;0;0;0,0;0;0;0,0,0,0,0.0,0,False,1787891881.9476445,2048,0,15.67965054512024,True,True,False,False,0,0.0,0,0,False,0.0,22a6432627cdff863e8854db4ae7d2d128a14cd787d2feec1cc6ce2ae316d3b5,True,,,1,0,1684.380969,1921.087811,6,2617,4,32
33,0,42,1,L0042,33,1;0;0;0,0;0;0;0,0;0;0;0,1,0,0,0.0,1,False,1787891881.9476967,2048,0,15.679702758789062,True,True,False,False,0,0.0,0,0,False,0.0,f380a0f04da30e05cdaea5e287c4d50e4c8a4e6fa142a5da7a23c9d52994fd11,True,,,1,0,1666.26673,1902.036513,6,2617,4,16
34,0,6,0,L0006,34,1;1;0;0,0;0;0;0,0;0;0;0,2,0,0,0.0,2,False,1787891881.9477365,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,e05e05188693320d88ded97408c53b09769332f44a244c2c7f5b99667ec405b4,True,,,1,0,1227.31595,1421.40397,6,2094,4,16
35,0,55,0,L0055,35,1;1;1;0,0;0;0;0,0;0;0;0,3,0,0,0.0,3,False,1787891881.947771,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,d0cd6568bebdb672c0baabe26da5303ba465b96f5fcc2aced6cbd1ac160b6407,True,,,1,0,1641.010978,1886.973541,6,2094,4,32
36,0,0,1,L0000,36,0;0;0;0,0;0;0;0,0;0;0;0,0,0,0,0.0,0,False,1787891883.87044,2048,0,17.60244607925415,True,True,False,False,0,0.0,0,0,False,0.0,0c9ff9f9edbcdc5a819b27a7af5b932d14b38fc4a7f953bc9872c42b33c957b9,True,,,1,0,1926.48969,2195.025564,6,2617,4,32
37,0,9,0,L0009,37,1;0;0;0,0;0;0;0,0;0;0;0,2,0,0,0.0,2,False,1787891883.8704917,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,302b499e7f53390be89c2e4d293056fd8e0df1d356288e04a6f3c396fef73f5f,True,,,1,0,1504.741295,1742.363279,6,2094,4,32
38,0,47,0,L0047,38,1;0;1;0,0;0;0;0,0;0;0;0,1,0,0,0.0,1,False,1787891883.8705287,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,457a58763e329dc2fe2308e09228a5011812eda01c0f5100b29d0ceb41697fff,True,,,1,0,1324.354285,1527.338225,6,2094,4,16
39,0,33,1,L0033,39,1;1;1;0,0;0;0;0,0;0;0;0,3,0,0,0.0,3,False,1787891883.8705626,2048,0,17.60256862640381,True,True,False,False,0,0.0,0,0,False,0.0,004621b39aee91ea2e2ecd397407b0e20a25d6978158d9e3d660e19f81c9ef4c,True,,,1,0,1907.540568,2175.013183,6,2617,4,32
40,0,1,2,L0001,40,0;0;0;0,0;0;0;0,0;0;0;0,0,0,0,0.0,0,False,1787891886.0671866,2560,0,19.799192667007446,True,True,False,False,0,0.0,0,0,False,0.0,188419e3e7d746017c004967bd957dfa3a42ed6424f61ac394505a6a8ac44cc8,True,,,1,0,2351.563971,2632.056604,6,3140,4,16
41,0,1,0,L0001,41,1;0;0;0,0;0;0;0,0;0;0;0,3,0,0,0.0,3,False,1787891886.0672412,2560,0,19.79924726486206,True,True,False,False,0,0.0,0,0,False,0.0,b0925efae1c736debdecee24b0fc4cc017fd012e234888d6bba1045074eff509,True,,,1,0,93.775028,287.218697,6,2094,4,2080
