request_id,phase,lineage_id,step,digest,snapshot_rr,snapshot_loads,snapshot_cov_row,snapshot_wseq_row,world1_target,world1_affinity,world1_coverage,world1_expected_net_ms,selected_instance,candidate_hit,dispatch_time_unix,source_truth_coverage_tokens,dispatcher_view_coverage_tokens,dispatch_state_age_s,dispatcher_view_missing,source_view_false_negative,source_view_false_positive,physical_false_positive_affinity,expected_coverage_tokens,expected_net_prefill_ms,raw_candidate_fanout,evaluated_candidate_fanout,stale_fallback,coverage_shortfall_tokens,prompt_sha256,ok,error,prior_attempt_errors,attempt_count,sse_parse_errors,ttft_ms,latency_ms,chunks,input_tokens,output_tokens,vllm_cached_tokens
32,0,5,1,L0005,53,0;0;0;0,2048;2048;0;0,11;12;0;0,1,0,2048,0.0,1,False,1787898458.293368,2048,2048,88.69797372817993,False,False,False,False,2048,0.0,2,2,False,0.0,22a6432627cdff863e8854db4ae7d2d128a14cd787d2feec1cc6ce2ae316d3b5,True,,,1,0,1058.400239,1471.832765,6,2617,4,2080
33,0,42,1,L0042,55,0;1;0;0,0;0;0;0,0;0;0;0,2,0,0,0.0,2,False,1787898458.2934217,2048,0,104.86779379844666,True,True,False,False,0,0.0,0,0,False,0.0,f380a0f04da30e05cdaea5e287c4d50e4c8a4e6fa142a5da7a23c9d52994fd11,True,,,1,0,3258.654931,3704.091082,6,2617,4,32
34,0,6,0,L0006,56,0;1;1;0,2048;2048;0;0,13;14;0;0,0,0,2048,0.0,0,False,1787898458.2934773,2048,2048,86.02848029136658,False,False,False,False,2048,0.0,2,2,False,0.0,e05e05188693320d88ded97408c53b09769332f44a244c2c7f5b99667ec405b4,True,,,1,0,166.233432,571.938996,6,2094,4,2080
35,0,55,0,L0055,58,1;1;1;0,0;0;0;0,0;0;0;0,3,0,0,0.0,3,False,1787898458.2935164,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,d0cd6568bebdb672c0baabe26da5303ba465b96f5fcc2aced6cbd1ac160b6407,True,,,1,0,2171.193808,2507.435713,6,2094,4,32
36,0,0,1,L0000,59,0;0;0;0,2048;2048;0;0,1;2;0;0,0,1,2048,40.96,0,True,1787898462.0004692,2048,2048,105.60755825042725,False,False,False,False,2048,40.96,2,2,False,0.0,0c9ff9f9edbcdc5a819b27a7af5b932d14b38fc4a7f953bc9872c42b33c957b9,True,,,1,0,1149.080999,1554.69518,6,2617,4,2080
37,0,9,0,L0009,61,1;0;0;0,2048;2048;0;0,19;20;0;0,1,1,2048,40.96,1,True,1787898462.000534,2048,2048,81.51885271072388,False,False,False,False,2048,40.96,2,2,False,0.0,302b499e7f53390be89c2e4d293056fd8e0df1d356288e04a6f3c396fef73f5f,True,,,1,0,249.525765,634.523219,6,2094,4,2080
38,0,47,0,L0047,63,1;1;0;0,0;0;0;0,0;0;0;0,3,0,0,0.0,3,False,1787898462.0005767,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,457a58763e329dc2fe2308e09228a5011812eda01c0f5100b29d0ceb41697fff,True,,,1,0,2638.051843,3048.619247,6,2094,4,32
39,0,33,1,L0033,64,1;1;0;1,0;0;0;0,0;0;0;0,2,0,0,0.0,2,False,1787898462.0006142,2048,0,108.57498621940613,True,True,False,False,0,0.0,0,0,False,0.0,004621b39aee91ea2e2ecd397407b0e20a25d6978158d9e3d660e19f81c9ef4c,True,,,1,0,3100.292687,3534.635679,6,2617,4,32
40,0,1,2,L0001,65,0;0;0;0,2048;2048;0;0,3;4;0;0,1,0,2048,0.0,1,False,1787898465.5391464,2560,2048,106.6703131198883,False,False,False,False,2048,0.0,2,2,False,0.0,188419e3e7d746017c004967bd957dfa3a42ed6424f61ac394505a6a8ac44cc8,True,,,1,0,1330.715783,1802.338405,6,3140,4,2608
41,0,1,0,L0001,67,0;1;0;0,2048;2048;0;0,3;4;0;0,0,1,2048,40.96,0,True,1787898465.5392194,2560,2048,106.67054510116577,False,False,False,False,2048,40.96,2,2,False,0.0,b0925efae1c736debdecee24b0fc4cc017fd012e234888d6bba1045074eff509,True,,,1,0,262.809774,638.839467,6,2094,4,2080
