request_id,phase,lineage_id,step,digest,snapshot_rr,snapshot_loads,snapshot_cov_row,snapshot_wseq_row,world1_target,world1_affinity,world1_coverage,world1_expected_net_ms,selected_instance,candidate_hit,dispatch_time_unix,source_truth_coverage_tokens,dispatcher_view_coverage_tokens,dispatch_state_age_s,dispatcher_view_missing,source_view_false_negative,source_view_false_positive,physical_false_positive_affinity,expected_coverage_tokens,expected_net_prefill_ms,raw_candidate_fanout,evaluated_candidate_fanout,stale_fallback,coverage_shortfall_tokens,prompt_sha256,ok,error,prior_attempt_errors,attempt_count,sse_parse_errors,ttft_ms,latency_ms,chunks,input_tokens,output_tokens,vllm_cached_tokens
32,0,10,0,L0010,32,0;0;0;0,0;0;0;0,0;0;0;0,0,0,0,0.0,0,False,1788151388.2185555,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,26a7530e8f02235f4cfe6255f798bbb3695e3e61b89cb56ff634d408195850f6,True,,,1,0,2245.666333,2589.317089,6,2094,4,16
33,0,14,1,L0014,33,1;0;0;0,0;0;0;0,0;0;0;0,1,0,0,0.0,1,False,1788151388.218606,2048,0,24.487394332885742,True,True,False,False,0,0.0,0,0,False,0.0,a16ec16e25248c392f7dabfbe07c2f0ae73723efca6a34217f848cb34a501a88,True,,,1,0,3465.02922,3904.25714,6,2617,4,32
34,0,60,1,L0060,34,1;1;0;0,0;0;0;0,0;0;0;0,2,0,0,0.0,2,False,1788151388.2186472,2048,0,24.487435579299927,True,True,False,False,0,0.0,0,0,False,0.0,c55da12196bba9e83d807d8916a7446c81f916a5f53f1978b95ca4af2063a9fc,True,,,1,0,1074.128491,1493.318742,6,2617,4,2080
35,0,9,1,L0009,35,1;1;1;0,0;0;0;0,0;0;0;0,3,0,0,0.0,3,False,1788151388.218681,2048,0,24.48746943473816,True,True,False,False,0,0.0,0,0,False,0.0,95e504466673194ede10d9501e833c0b07816765a9675bc0343d12c2bbfd01d7,True,,,1,0,3155.488212,3563.023915,6,2617,4,32
36,0,29,0,L0029,36,0;0;0;0,0;0;0;0,0;0;0;0,0,0,0,0.0,0,False,1788151392.12557,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,2df19287a2622ad861c74f11c68a72cf6d5e706c4a1524e9d3e5de95cc137cbc,True,,,1,0,2179.207828,2520.446175,6,2094,4,32
37,0,32,0,L0032,37,1;0;0;0,0;0;0;0,0;0;0;0,2,0,0,0.0,2,False,1788151392.1256208,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,26492964803e8a3db5446a654d25f075cac756525cf2612863248a5d8fa84004,True,,,1,0,2197.325566,2522.449352,6,2094,4,16
38,0,13,1,L0013,38,1;0;1;0,0;0;0;0,0;0;0;0,1,0,0,0.0,1,False,1788151392.1256568,2048,0,28.394445180892944,True,True,False,False,0,0.0,0,0,False,0.0,76ee3ac418901f4650ca82e1aa9b68e639b6ad1cdb689d21b6aee7e6f7608a08,True,,,1,0,3305.787859,3773.776833,6,2617,4,32
39,0,0,2,L0000,39,1;1;1;0,0;0;0;0,0;0;0;0,3,0,0,0.0,3,False,1788151392.125693,2560,0,28.394481420516968,True,True,False,False,0,0.0,0,0,False,0.0,3e643d165b8c0d2e8c8a17520105d787f259e214f7a0be6f9c3ff0d448bfef06,True,,,1,0,1251.438496,1714.31972,6,3140,4,2608
40,0,21,0,L0021,40,0;0;0;0,0;0;0;0,0;0;0;0,0,0,0,0.0,0,False,1788151395.903055,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,3b28da9c405ab0c21d37000604296cbb1903928091f5b62432aacb323ffb0f5b,True,,,1,0,2267.977002,2648.253733,6,2094,4,32
41,0,23,0,L0023,41,1;0;0;0,0;0;0;0,0;0;0;0,3,0,0,0.0,3,False,1788151395.903108,0,0,,False,False,False,False,0,0.0,0,0,False,0.0,539f28d5aa7395f989c7908495766b3a4fcb228244fae295f02e016563fa578b,True,,,1,0,2200.700173,2520.678105,6,2094,4,16
