seq,update_kind,instance,digest,coverage_after,pre_delivery_visible_cov,t_send_unix,delivered_at_unix,signaling_delay_s,writer_seq,point_id,cell_id,rep,zipf_alpha,overlap,concurrency,rho,policy,send_ts_unix,coverage_before_source,source_coverage_delta,update_age_s,advertised_before,dispatcher_visible_before,best_visible_cov,second_visible_cov,visible_cov_gap,replica_visible_count,source_best_cov,digest_req_count_recent,in_flight_frames,ewma_delivery_delay_s,dispatcher_loads,dispatcher_rr,supersedes_in_flight
1,upsert,2,L0004,2048,0,1787895501.2316093,1787895521.9256182,20.694008827209473,1,alphahigh,agg_full@rho0.8,0,1.0,0.0,4,0.8,agg_full,1787895501.2315962,0,2048,,0,0,0,0,0,0,0,1,2,,0;1;0;1,4,0
8,upsert,0,L0000,3072,0,1787895506.3520977,1787895523.2018082,16.84971046447754,2,alphahigh,agg_full@rho0.8,0,1.0,0.0,4,0.8,agg_full,1787895506.352066,2048,1024,2.425342559814453,0,0,0,0,0,0,0,5,9,,0;1;1;1,12,1
11,upsert,3,L0000,2560,0,1787895506.3524954,1787895523.2019343,16.849438905715942,3,alphahigh,agg_full@rho0.8,0,1.0,0.0,4,0.8,agg_full,1787895506.3524806,2560,0,2.425583600997925,0,0,0,0,0,0,0,5,12,,0;0;0;0,12,1
12,upsert,0,L0004,2560,0,1787895509.1434355,1787895524.0107884,14.867352962493896,4,alphahigh,agg_full@rho0.8,0,1.0,0.0,4,0.8,agg_full,1787895509.143408,0,2560,,0,0,0,0,0,0,0,2,13,,0;1;1;1,16,0
20,upsert,0,L0003,3072,0,1787895516.7367587,1787895524.0108962,7.274137496948242,5,alphahigh,agg_full@rho0.8,0,1.0,0.0,4,0.8,agg_full,1787895516.7367294,0,3072,,0,0,0,0,0,0,0,4,21,,0;1;1;1,24,0
21,upsert,1,L0024,3072,0,1787895516.736939,1787895524.010965,7.274026155471802,6,alphahigh,agg_full@rho0.8,0,1.0,0.0,4,0.8,agg_full,1787895516.7369204,2560,512,4.5384039878845215,0,0,0,0,0,0,0,3,22,,0;0;1;1,24,1
22,upsert,2,L0003,2048,0,1787895516.737046,1787895524.0110197,7.273973703384399,7,alphahigh,agg_full@rho0.8,0,1.0,0.0,4,0.8,agg_full,1787895516.7370312,2560,-512,4.5384180545806885,0,0,0,0,0,0,0,4,23,,0;0;0;1,24,1
24,upsert,0,L0009,2560,0,1787895520.0321522,1787895524.0110686,3.9789164066314697,8,alphahigh,agg_full@rho0.8,0,1.0,0.0,4,0.8,agg_full,1787895520.0321229,0,2560,,0,0,0,0,0,0,0,2,25,,0;1;1;1,28,0
25,upsert,2,L0003,2560,2048,1787895520.0323539,1787895524.011112,3.9787580966949463,9,alphahigh,agg_full@rho0.8,0,1.0,0.0,4,0.8,agg_full,1787895520.0323348,2048,512,3.2953035831451416,0,0,0,0,0,0,0,5,26,,0;1;0;1,28,1
26,upsert,1,L0006,2560,0,1787895520.0324585,1787895524.0111883,3.978729724884033,10,alphahigh,agg_full@rho0.8,0,1.0,0.0,4,0.8,agg_full,1787895520.0324457,0,2560,,0,0,0,0,0,0,0,2,27,,0;0;0;1,28,0
27,upsert,3,L0001,3072,0,1787895520.0325496,1787895531.3086066,11.276057004928589,11,alphahigh,agg_full@rho0.8,0,1.0,0.0,4,0.8,agg_full,1787895520.0325363,2048,1024,18.800756216049194,0,0,0,0,0,0,0,3,28,,0;0;0;0,28,1
28,upsert,0,L0005,2560,0,1787895523.2198794,1787895533.670336,10.450456619262695,12,alphahigh,agg_full@rho0.8,0,1.0,0.0,4,0.8,agg_full,1787895523.2198517,0,2560,,0,0,0,0,0,0,0,2,26,18.13105273246765,0;1;1;1,32,0
29,upsert,3,L0032,2048,0,1787895523.2201495,1787895533.6704712,10.450321674346924,13,alphahigh,agg_full@rho0.8,0,1.0,0.0,4,0.8,agg_full,1787895523.2201338,0,2048,,0,0,0,0,0,0,0,1,27,18.13105273246765,0;1;1;0,32,0
32,upsert,0,L0051,2048,0,1787895526.1339984,1787895540.649142,14.515143632888794,14,alphahigh,agg_full@rho0.8,0,1.0,0.0,4,0.8,agg_full,1787895526.133971,0,2048,,0,0,0,0,0,0,0,1,23,10.301905274391174,1;1;1;0,37,0
33,upsert,1,L0020,2048,0,1787895526.134514,1787895540.6492844,14.514770269393921,15,alphahigh,agg_full@rho0.8,0,1.0,0.0,4,0.8,agg_full,1787895526.1344976,0,2048,,0,0,0,0,0,0,0,1,24,10.301905274391174,1;0;1;0,37,0
34,upsert,2,L0033,2048,0,1787895526.1348748,1787895540.6493506,14.51447582244873,16,alphahigh,agg_full@rho0.8,0,1.0,0.0,4,0.8,agg_full,1787895526.1348617,0,2048,,0,0,0,0,0,0,0,1,25,10.301905274391174,1;0;0;0,37,0
35,upsert,0,L0000,3072,3072,1787895526.1352181,1787895540.6494055,14.514187335968018,17,alphahigh,agg_full@rho0.8,0,1.0,0.0,4,0.8,agg_full,1787895526.1352015,3072,0,19.783135414123535,0,3072,3072,2560,512,2,0,9,26,10.301905274391174,0;0;0;0,37,1
36,upsert,1,L0016,2048,0,1787895529.4456103,1787895545.0320773,15.586467027664185,18,alphahigh,agg_full@rho0.8,0,1.0,0.0,4,0.8,agg_full,1787895529.4455826,0,2048,,0,0,0,0,0,0,0,1,27,10.301905274391174,1;0;1;1,42,0
