seq,update_kind,instance,digest,coverage_after,pre_delivery_visible_cov,t_send_unix,delivered_at_unix,signaling_delay_s,writer_seq,point_id,cell_id,rep,zipf_alpha,overlap,concurrency,rho,policy,send_ts_unix,coverage_before_source,source_coverage_delta,update_age_s,advertised_before,dispatcher_visible_before,best_visible_cov,second_visible_cov,visible_cov_gap,replica_visible_count,source_best_cov,digest_req_count_recent,in_flight_frames,ewma_delivery_delay_s,dispatcher_loads,dispatcher_rr,supersedes_in_flight
0,upsert,0,L0015,2048,0,1787894251.3208249,1787894251.3242304,0.0034055709838867188,1,alphalow,agg_full@rho0.8,0,0.2,0.0,4,0.8,agg_full,1787894251.320792,0,2048,,0,0,0,0,0,0,0,1,1,,0;1;1;1,4,0
1,upsert,2,L0013,2048,0,1787894251.321006,1787894251.3243809,0.003374814987182617,2,alphalow,agg_full@rho0.8,0,0.2,0.0,4,0.8,agg_full,1787894251.3209887,0,2048,,0,0,0,0,0,0,0,1,2,,0;1;0;1,4,0
2,upsert,1,L0010,2048,0,1787894251.3211288,1787894251.3244731,0.003344297409057617,3,alphalow,agg_full@rho0.8,0,0.2,0.0,4,0.8,agg_full,1787894251.3211174,0,2048,,0,0,0,0,0,0,0,1,3,,0;0;0;1,4,0
3,upsert,3,L0018,2048,0,1787894251.3212698,1787894251.324542,0.0032722949981689453,4,alphalow,agg_full@rho0.8,0,0.2,0.0,4,0.8,agg_full,1787894251.3212585,0,2048,,0,0,0,0,0,0,0,1,4,,0;0;0;0,4,0
4,upsert,0,L0002,2048,0,1787894253.4316056,1787894253.435231,0.0036253929138183594,5,alphalow,agg_full@rho0.8,0,0.2,0.0,4,0.8,agg_full,1787894253.431579,0,2048,,0,0,0,0,0,0,0,1,1,0.0033492445945739746,0;1;1;1,8,0
5,upsert,3,L0036,2048,0,1787894253.4318733,1787894253.4353435,0.003470182418823242,6,alphalow,agg_full@rho0.8,0,0.2,0.0,4,0.8,agg_full,1787894253.4318578,0,2048,,0,0,0,0,0,0,0,1,2,0.0033492445945739746,0;1;1;0,8,0
6,upsert,1,L0041,2048,0,1787894253.432045,1787894253.435418,0.0033729076385498047,7,alphalow,agg_full@rho0.8,0,0.2,0.0,4,0.8,agg_full,1787894253.4320326,0,2048,,0,0,0,0,0,0,0,1,3,0.0033492445945739746,0;0;1;0,8,0
7,upsert,2,L0003,2048,0,1787894253.4322252,1787894253.4354804,0.003255128860473633,8,alphalow,agg_full@rho0.8,0,0.2,0.0,4,0.8,agg_full,1787894253.4322133,0,2048,,0,0,0,0,0,0,0,1,4,0.0033492445945739746,0;0;0;0,8,0
8,upsert,0,L0045,2048,0,1787894255.556311,1787894255.5578363,0.0015254020690917969,9,alphalow,agg_full@rho0.8,0,0.2,0.0,4,0.8,agg_full,1787894255.5562937,0,2048,,0,0,0,0,0,0,0,1,1,0.003390073776245117,0;1;1;1,12,0
9,upsert,1,L0031,2048,0,1787894255.5564601,1787894255.5578835,0.0014233589172363281,10,alphalow,agg_full@rho0.8,0,0.2,0.0,4,0.8,agg_full,1787894255.5564535,0,2048,,0,0,0,0,0,0,0,1,2,0.003390073776245117,0;0;1;1,12,0
10,upsert,2,L0048,2048,0,1787894255.5565248,1787894255.5579066,0.0013818740844726562,11,alphalow,agg_full@rho0.8,0,0.2,0.0,4,0.8,agg_full,1787894255.55652,0,2048,,0,0,0,0,0,0,0,1,3,0.003390073776245117,0;0;0;1,12,0
11,upsert,3,L0001,2048,0,1787894255.5565798,1787894255.557927,0.0013470649719238281,12,alphalow,agg_full@rho0.8,0,0.2,0.0,4,0.8,agg_full,1787894255.5565758,0,2048,,0,0,0,0,0,0,0,1,4,0.003390073776245117,0;0;0;0,12,0
12,upsert,0,L0049,2048,0,1787894257.888019,1787894262.3768406,4.488821506500244,13,alphalow,agg_full@rho0.8,0,0.2,0.0,4,0.8,agg_full,1787894257.8880055,0,2048,,0,0,0,0,0,0,0,1,1,0.0027331908543904624,0;1;1;1,16,0
13,upsert,2,L0023,2048,0,1787894257.888142,1787894263.6768105,5.788668394088745,14,alphalow,agg_full@rho0.8,0,0.2,0.0,4,0.8,agg_full,1787894257.888136,0,2048,,0,0,0,0,0,0,0,1,2,0.0027331908543904624,0;1;0;1,16,0
14,upsert,1,L0022,2048,0,1787894257.8882174,1787894263.6769066,5.788689136505127,15,alphalow,agg_full@rho0.8,0,0.2,0.0,4,0.8,agg_full,1787894257.8882124,0,2048,,0,0,0,0,0,0,0,2,3,0.0027331908543904624,0;0;0;1,16,0
