seq,update_kind,instance,digest,coverage_after,pre_delivery_visible_cov,t_send_unix,delivered_at_unix,signaling_delay_s,writer_seq,point_id,cell_id,rep,zipf_alpha,overlap,concurrency,rho,policy,send_ts_unix,coverage_before_source,source_coverage_delta,update_age_s,advertised_before,dispatcher_visible_before,best_visible_cov,second_visible_cov,visible_cov_gap,replica_visible_count,source_best_cov,digest_req_count_recent,in_flight_frames,ewma_delivery_delay_s,dispatcher_loads,dispatcher_rr,supersedes_in_flight
0,upsert,0,L0015,2048,0,1787894349.9585924,1787894375.5767884,25.6181960105896,1,alphalow,agg_static@rho0.8,0,0.2,0.0,4,0.8,agg_static,1787894349.9585757,0,2048,,0,0,0,0,0,0,0,1,1,,0;1;1;1,4,0
2,upsert,1,L0010,2048,0,1787894349.9587102,1787894376.8768141,26.91810393333435,2,alphalow,agg_static@rho0.8,0,0.2,0.0,4,0.8,agg_static,1787894349.958706,0,2048,,0,0,0,0,0,0,0,1,3,,0;0;0;1,4,0
3,upsert,3,L0018,2048,0,1787894349.9587424,1787894376.8769443,26.91820192337036,3,alphalow,agg_static@rho0.8,0,0.2,0.0,4,0.8,agg_static,1787894349.9587388,0,2048,,0,0,0,0,0,0,0,1,4,,0;0;0;0,4,0
7,upsert,2,L0003,2048,0,1787894351.7590551,1787894378.8168542,27.057799100875854,4,alphalow,agg_static@rho0.8,0,0.2,0.0,4,0.8,agg_static,1787894351.7590513,0,2048,,0,0,0,0,0,0,0,1,8,,0;0;0;0,8,0
11,upsert,3,L0001,2048,0,1787894353.840743,1787894378.8169587,24.976215600967407,5,alphalow,agg_static@rho0.8,0,0.2,0.0,4,0.8,agg_static,1787894353.8407395,0,2048,,0,0,0,0,0,0,0,1,12,,0;0;0;0,12,0
9,upsert,1,L0031,2048,0,1787894353.8406725,1787894378.8170245,24.976351976394653,6,alphalow,agg_static@rho0.8,0,0.2,0.0,4,0.8,agg_static,1787894353.8406665,0,2048,,0,0,0,0,0,0,0,1,10,,0;0;1;1,12,0
14,upsert,1,L0022,2048,0,1787894356.140191,1787894378.8170807,22.676889657974243,7,alphalow,agg_static@rho0.8,0,0.2,0.0,4,0.8,agg_static,1787894356.1401856,0,2048,,0,0,0,0,0,0,0,2,15,,0;0;0;1,16,0
15,upsert,3,L0022,2560,0,1787894356.1402266,1787894378.8171294,22.676902770996094,8,alphalow,agg_static@rho0.8,0,0.2,0.0,4,0.8,agg_static,1787894356.1402225,0,2560,,0,0,0,0,0,0,0,2,16,,0;0;0;0,16,0
18,upsert,1,L0003,2560,0,1787894358.62747,1787894378.817193,20.189723014831543,9,alphalow,agg_static@rho0.8,0,0.2,0.0,4,0.8,agg_static,1787894358.6274583,0,2560,,0,0,0,0,0,0,0,2,19,,0;0;1;0,20,0
19,upsert,2,L0018,2560,0,1787894358.627552,1787894378.8172448,20.189692735671997,10,alphalow,agg_static@rho0.8,0,0.2,0.0,4,0.8,agg_static,1787894358.6275425,0,2560,,0,0,0,0,0,0,0,2,20,,0;0;0;0,20,0
20,upsert,0,L0045,2560,0,1787894361.5088055,1787894386.3368542,24.828048706054688,11,alphalow,agg_static@rho0.8,0,0.2,0.0,4,0.8,agg_static,1787894361.5087752,2048,512,7.668208122253418,0,0,0,0,0,0,0,2,21,,0;1;1;1,24,1
21,upsert,1,L0015,2560,0,1787894361.5089781,1787894386.3369343,24.827956199645996,12,alphalow,agg_static@rho0.8,0,0.2,0.0,4,0.8,agg_static,1787894361.5089626,0,2560,,0,0,0,0,0,0,0,2,22,,0;0;1;1,24,0
23,upsert,3,L0035,2048,0,1787894361.5091922,1787894386.3369756,24.827783346176147,13,alphalow,agg_static@rho0.8,0,0.2,0.0,4,0.8,agg_static,1787894361.50918,0,2048,,0,0,0,0,0,0,0,1,24,,0;0;0;0,24,0
24,upsert,0,L0038,2048,0,1787894364.1715717,1787894386.3370066,22.16543483734131,14,alphalow,agg_static@rho0.8,0,0.2,0.0,4,0.8,agg_static,1787894364.1715472,0,2048,,0,0,0,0,0,0,0,1,25,,0;1;1;1,28,0
25,upsert,2,L0005,2048,0,1787894364.171746,1787894386.3370373,22.16529130935669,15,alphalow,agg_static@rho0.8,0,0.2,0.0,4,0.8,agg_static,1787894364.1717312,0,2048,,0,0,0,0,0,0,0,1,26,,0;1;0;1,28,0
26,upsert,1,L0001,2560,0,1787894364.1718462,1787894386.337065,22.165218830108643,16,alphalow,agg_static@rho0.8,0,0.2,0.0,4,0.8,agg_static,1787894364.1718347,0,2560,,0,0,0,0,0,0,0,2,27,,0;0;0;1,28,0
28,upsert,0,L0031,2560,0,1787894366.8806946,1787894386.337093,19.456398487091064,17,alphalow,agg_static@rho0.8,0,0.2,0.0,4,0.8,agg_static,1787894366.8806713,0,2560,,0,0,0,0,0,0,0,2,29,,0;1;1;1,32,0
32,upsert,0,L0014,2048,0,1787894368.712126,1787894386.337121,17.62499499320984,18,alphalow,agg_static@rho0.8,0,0.2,0.0,4,0.8,agg_static,1787894368.7121012,0,2048,,0,0,0,0,0,0,0,1,33,,0;1;1;1,36,0
33,upsert,1,L0041,2560,0,1787894368.7125094,1787894394.516862,25.804352521896362,19,alphalow,agg_static@rho0.8,0,0.2,0.0,4,0.8,agg_static,1787894368.7124898,2048,512,16.95347023010254,0,0,0,0,0,0,0,2,34,,0;0;1;1,36,1
34,upsert,2,L0023,3072,0,1787894368.7128272,1787894394.5169785,25.8041512966156,20,alphalow,agg_static@rho0.8,0,0.2,0.0,4,0.8,agg_static,1787894368.712811,2560,512,7.203742027282715,0,0,0,0,0,0,0,3,35,,0;0;0;1,36,1
38,upsert,1,L0000,2560,0,1787894371.503577,1787894394.5170434,23.013466358184814,21,alphalow,agg_static@rho0.8,0,0.2,0.0,4,0.8,agg_static,1787894371.503565,0,2560,,0,0,0,0,0,0,0,2,39,,0;0;0;1,40,0
39,upsert,3,L0028,2560,0,1787894371.5038705,1787894394.517098,23.013227462768555,22,alphalow,agg_static@rho0.8,0,0.2,0.0,4,0.8,agg_static,1787894371.5038538,2048,512,4.623008489608765,0,0,0,0,0,0,0,2,40,,0;0;0;0,40,1
40,upsert,0,L0016,2048,0,1787894373.6174927,1787894394.5171337,20.899641036987305,23,alphalow,agg_static@rho0.8,0,0.2,0.0,4,0.8,agg_static,1787894373.617469,0,2048,,0,0,0,0,0,0,0,1,41,,0;1;1;1,44,0
41,upsert,3,L0019,2048,0,1787894373.6178353,1787894394.5171876,20.899352312088013,24,alphalow,agg_static@rho0.8,0,0.2,0.0,4,0.8,agg_static,1787894373.6178188,0,2048,,0,0,0,0,0,0,0,1,42,,0;1;1;0,44,0
42,upsert,1,L0021,2048,0,1787894373.6181033,1787894394.5172164,20.899113178253174,25,alphalow,agg_static@rho0.8,0,0.2,0.0,4,0.8,agg_static,1787894373.61809,0,2048,,0,0,0,0,0,0,0,1,43,,0;0;1;0,44,0
43,upsert,2,L0032,2560,0,1787894373.6183724,1787894406.1168249,32.49845242500305,26,alphalow,agg_static@rho0.8,0,0.2,0.0,4,0.8,agg_static,1787894373.6183565,2048,512,2.115065574645996,0,0,0,0,0,0,0,2,44,,0;0;0;0,44,1
44,upsert,0,L0056,2048,0,1787894375.7381866,1787894406.1169531,30.378766536712646,27,alphalow,agg_static@rho0.8,0,0.2,0.0,4,0.8,agg_static,1787894375.7381423,0,2048,,0,0,0,0,0,0,0,1,44,25.6181960105896,0;1;1;1,48,0
45,upsert,1,L0022,3072,2048,1787894375.7386105,1787894406.1170301,30.378419637680054,28,alphalow,agg_static@rho0.8,0,0.2,0.0,4,0.8,agg_static,1787894375.7385914,2048,1024,19.598405838012695,0,0,0,0,0,0,0,3,45,25.6181960105896,0;0;1;1,48,1
46,upsert,2,L0037,2048,0,1787894375.739013,1787894406.1170862,30.37807321548462,29,alphalow,agg_static@rho0.8,0,0.2,0.0,4,0.8,agg_static,1787894375.738998,0,2048,,0,0,0,0,0,0,0,1,46,25.6181960105896,0;0;0;1,48,0
47,upsert,3,L0039,2048,0,1787894375.7393305,1787894406.1171365,30.377805948257446,30,alphalow,agg_static@rho0.8,0,0.2,0.0,4,0.8,agg_static,1787894375.7393174,0,2048,,0,0,0,0,0,0,0,1,47,25.6181960105896,0;0;0;0,48,0
48,upsert,0,L0046,2048,0,1787894378.6979237,1787894406.117204,27.419280290603638,31,alphalow,agg_static@rho0.8,0,0.2,0.0,4,0.8,agg_static,1787894378.697901,0,2048,,0,0,0,0,0,0,0,1,46,26.48483395576477,0;1;1;1,52,0
49,upsert,2,L0038,2560,0,1787894378.6983998,1787894406.1172452,27.418845415115356,32,alphalow,agg_static@rho0.8,0,0.2,0.0,4,0.8,agg_static,1787894378.698383,0,2560,,0,0,0,0,0,0,0,2,47,26.48483395576477,0;1;0;1,52,0
50,upsert,1,L0041,3072,2560,1787894378.6987917,1787894406.1172915,27.41849970817566,33,alphalow,agg_static@rho0.8,0,0.2,0.0,4,0.8,agg_static,1787894378.6987743,2560,512,9.986284494400024,0,0,0,0,0,0,0,3,48,26.48483395576477,0;0;0;1,52,1
52,upsert,0,L0047,2048,0,1787894381.5599866,1787894412.076822,30.5168354511261,34,alphalow,agg_static@rho0.8,0,0.2,0.0,4,0.8,agg_static,1787894381.5599632,0,2048,,0,0,0,0,0,0,0,1,43,24.21980767250061,0;1;1;1,56,0
53,upsert,3,L0011,2560,0,1787894381.56048,1787894412.076958,30.516477823257446,35,alphalow,agg_static@rho0.8,0,0.2,0.0,4,0.8,agg_static,1787894381.5604599,2048,512,12.847325325012207,0,0,0,0,0,0,0,2,44,24.21980767250061,0;1;1;0,56,1
54,upsert,1,L0014,2560,0,1787894381.5608823,1787894412.0770307,30.516148328781128,36,alphalow,agg_static@rho0.8,0,0.2,0.0,4,0.8,agg_static,1787894381.5608678,0,2560,,0,0,0,0,0,0,0,2,45,24.21980767250061,0;0;1;0,56,0
55,upsert,2,L0026,2048,0,1787894381.5612605,1787894412.077082,30.51582145690918,37,alphalow,agg_static@rho0.8,0,0.2,0.0,4,0.8,agg_static,1787894381.5612476,0,2048,,0,0,0,0,0,0,0,1,46,24.21980767250061,0;0;0;0,56,0
56,upsert,0,L0016,2560,2048,1787894384.464242,1787894412.077126,27.612884044647217,38,alphalow,agg_static@rho0.8,0,0.2,0.0,4,0.8,agg_static,1787894384.4642096,2048,512,10.846740484237671,0,0,0,0,0,0,0,2,47,24.21980767250061,0;1;1;1,60,1
57,upsert,1,L0051,2048,0,1787894384.4648094,1787894412.0771842,27.612374782562256,39,alphalow,agg_static@rho0.8,0,0.2,0.0,4,0.8,agg_static,1787894384.4647915,0,2048,,0,0,0,0,0,0,0,1,48,24.21980767250061,0;0;1;1,60,0
58,upsert,2,L0056,2560,0,1787894384.4651933,1787894412.0772133,27.612020015716553,40,alphalow,agg_static@rho0.8,0,0.2,0.0,4,0.8,agg_static,1787894384.4651787,0,2560,,0,0,0,0,0,0,0,2,49,24.21980767250061,0;0;0;1,60,0
59,upsert,3,L0011,3072,2560,1787894384.4655714,1787894419.5968163,35.13124489784241,41,alphalow,agg_static@rho0.8,0,0.2,0.0,4,0.8,agg_static,1787894384.4655542,2560,512,2.9050943851470947,0,0,0,0,0,0,0,3,50,24.21980767250061,0;0;0;0,60,1
60,upsert,0,L0007,2048,0,1787894388.2479527,1787894419.5969338,31.348981142044067,42,alphalow,agg_static@rho0.8,0,0.2,0.0,4,0.8,agg_static,1787894388.247926,0,2048,,0,0,0,0,0,0,0,1,43,23.34773352411058,0;1;1;1,64,0
