seq,update_kind,instance,digest,coverage_after,pre_delivery_visible_cov,t_send_unix,delivered_at_unix,signaling_delay_s,writer_seq,point_id,cell_id,rep,zipf_alpha,overlap,concurrency,rho,policy,send_ts_unix,coverage_before_source,source_coverage_delta,update_age_s,advertised_before,dispatcher_visible_before,best_visible_cov,second_visible_cov,visible_cov_gap,replica_visible_count,source_best_cov,digest_req_count_recent,in_flight_frames,ewma_delivery_delay_s,dispatcher_loads,dispatcher_rr,supersedes_in_flight
0,upsert,0,L0048,2048,0,1787894896.121902,1787894920.597323,24.47542095184326,1,alphamed,agg_static@rho0.8,0,0.55,0.0,4,0.8,agg_static,1787894896.121877,0,2048,,0,0,0,0,0,0,0,1,1,,0;1;1;1,4,0
1,upsert,2,L0006,2048,0,1787894896.1220548,1787894921.2545397,25.132484912872314,2,alphamed,agg_static@rho0.8,0,0.55,0.0,4,0.8,agg_static,1787894896.1220412,0,2048,,0,0,0,0,0,0,0,1,2,,0;1;0;1,4,0
2,upsert,1,L0014,2048,0,1787894896.122184,1787894921.2546608,25.132476806640625,3,alphamed,agg_static@rho0.8,0,0.55,0.0,4,0.8,agg_static,1787894896.1221516,0,2048,,0,0,0,0,0,0,0,1,3,,0;0;0;1,4,0
3,upsert,3,L0023,2048,0,1787894896.122269,1787894921.8595424,25.737273454666138,4,alphamed,agg_static@rho0.8,0,0.55,0.0,4,0.8,agg_static,1787894896.1222606,0,2048,,0,0,0,0,0,0,0,1,4,,0;0;0;0,4,0
7,upsert,2,L0028,2048,0,1787894898.785085,1787894921.8596523,23.074567317962646,5,alphamed,agg_static@rho0.8,0,0.55,0.0,4,0.8,agg_static,1787894898.7850764,0,2048,,0,0,0,0,0,0,0,1,8,,0;0;0;0,8,0
8,upsert,0,L0040,2048,0,1787894900.688702,1787894921.8597167,21.171014547348022,6,alphamed,agg_static@rho0.8,0,0.55,0.0,4,0.8,agg_static,1787894900.688677,0,2048,,0,0,0,0,0,0,0,1,9,,0;1;1;1,12,0
9,upsert,1,L0017,2048,0,1787894900.6888766,1787894921.859769,21.170892477035522,7,alphamed,agg_static@rho0.8,0,0.55,0.0,4,0.8,agg_static,1787894900.6888628,0,2048,,0,0,0,0,0,0,0,1,10,,0;0;1;1,12,0
10,upsert,2,L0055,2048,0,1787894900.6889715,1787894921.8598187,21.170847177505493,8,alphamed,agg_static@rho0.8,0,0.55,0.0,4,0.8,agg_static,1787894900.6889606,0,2048,,0,0,0,0,0,0,0,1,11,,0;0;0;1,12,0
12,upsert,0,L0001,2048,0,1787894902.9246557,1787894921.8598638,18.935208082199097,9,alphamed,agg_static@rho0.8,0,0.55,0.0,4,0.8,agg_static,1787894902.9246309,0,2048,,0,0,0,0,0,0,0,1,13,,0;1;1;1,16,0
13,upsert,2,L0047,2048,0,1787894902.9248188,1787894921.8599095,18.93509078025818,10,alphamed,agg_static@rho0.8,0,0.55,0.0,4,0.8,agg_static,1787894902.9248037,0,2048,,0,0,0,0,0,0,0,1,14,,0;1;0;1,16,0
16,upsert,0,L0023,2560,0,1787894905.7554343,1787894928.519702,22.764267683029175,11,alphamed,agg_static@rho0.8,0,0.55,0.0,4,0.8,agg_static,1787894905.7554104,0,2560,,0,0,0,0,0,0,0,2,17,,0;1;1;1,20,0
20,upsert,0,L0006,2560,0,1787894909.6473796,1787894928.5197787,18.87239909172058,12,alphamed,agg_static@rho0.8,0,0.55,0.0,4,0.8,agg_static,1787894909.6473618,0,2560,,0,0,0,0,0,0,0,2,21,,0;1;1;1,24,0
