seq,update_kind,instance,digest,coverage_after,pre_delivery_visible_cov,t_send_unix,delivered_at_unix,signaling_delay_s,writer_seq,point_id,cell_id,rep,zipf_alpha,overlap,concurrency,rho,policy,send_ts_unix,coverage_before_source,source_coverage_delta,update_age_s,advertised_before,dispatcher_visible_before,best_visible_cov,second_visible_cov,visible_cov_gap,replica_visible_count,source_best_cov,digest_req_count_recent,in_flight_frames,ewma_delivery_delay_s,dispatcher_loads,dispatcher_rr,supersedes_in_flight
3,upsert,3,L0010,2048,0,1787889833.4525733,1787889841.9011805,8.448607206344604,1,base,agg_full@rho0.8,0,0.55,0.0,4,0.8,agg_full,1787889833.452564,0,2048,,0,0,0,0,0,0,0,1,4,,0;0;0;0,4,0
7,upsert,2,L0010,2560,0,1787889834.878875,1787889842.5577872,7.678912162780762,2,base,agg_full@rho0.8,0,0.55,0.0,4,0.8,agg_full,1787889834.878866,0,2560,,0,0,0,0,0,0,0,2,8,,0;0;0;0,8,0
11,upsert,3,L0053,2560,0,1787889836.3463085,1787889842.5579252,6.21161675453186,3,base,agg_full@rho0.8,0,0.55,0.0,4,0.8,agg_full,1787889836.3462982,0,2560,,0,0,0,0,0,0,0,2,12,,0;0;0;0,12,0
18,upsert,1,L0000,2560,0,1787889838.9916158,1787889843.8709376,4.879321813583374,4,base,agg_full@rho0.8,0,0.55,0.0,4,0.8,agg_full,1787889838.9915984,2048,512,1.4630823135375977,0,0,0,0,0,0,0,2,19,,0;0;1;0,20,1
19,upsert,2,L0002,2560,0,1787889838.99191,1787889843.8710346,4.879124641418457,5,base,agg_full@rho0.8,0,0.55,0.0,4,0.8,agg_full,1787889838.9918976,0,2560,,0,0,0,0,0,0,0,2,20,,0;0;0;0,20,0
20,upsert,0,L0028,2560,0,1787889840.8092303,1787889843.8710985,3.061868190765381,6,base,agg_full@rho0.8,0,0.55,0.0,4,0.8,agg_full,1787889840.8091996,0,2560,,0,0,0,0,0,0,0,2,21,,0;1;1;1,24,0
21,upsert,1,L0002,3072,0,1787889840.8096328,1787889843.871145,3.0615122318267822,7,base,agg_full@rho0.8,0,0.55,0.0,4,0.8,agg_full,1787889840.8096163,0,3072,,0,0,0,0,0,0,0,3,22,,0;0;1;1,24,0
22,upsert,2,L0003,2048,0,1787889840.8099666,1787889843.8712153,3.061248779296875,8,base,agg_full@rho0.8,0,0.55,0.0,4,0.8,agg_full,1787889840.8099525,0,2048,,0,0,0,0,0,0,0,1,23,,0;0;0;1,24,0
23,upsert,3,L0061,2560,0,1787889840.81024,1787889843.8712587,3.061018705368042,9,base,agg_full@rho0.8,0,0.55,0.0,4,0.8,agg_full,1787889840.8102226,2048,512,1.8189046382904053,0,0,0,0,0,0,0,2,24,,0;0;0;0,24,1
24,upsert,0,L0122,2048,0,1787889841.9153664,1787889846.8103857,4.895019292831421,10,base,agg_full@rho0.8,0,0.55,0.0,4,0.8,agg_full,1787889841.9153407,0,2048,,0,0,0,0,0,0,0,1,24,8.448607206344604,0;1;1;1,28,0
