seq,update_kind,instance,digest,coverage_after,pre_delivery_visible_cov,t_send_unix,delivered_at_unix,signaling_delay_s,writer_seq,point_id,cell_id,rep,zipf_alpha,overlap,concurrency,rho,policy,send_ts_unix,coverage_before_source,source_coverage_delta,update_age_s,advertised_before,dispatcher_visible_before,best_visible_cov,second_visible_cov,visible_cov_gap,replica_visible_count,source_best_cov,digest_req_count_recent,in_flight_frames,ewma_delivery_delay_s,dispatcher_loads,dispatcher_rr,supersedes_in_flight
22,upsert,2,L0000,3072,0,1787890323.4687493,1787890357.3273196,33.85857033729553,1,base,agg_full@rho1.2,0,0.55,0.0,4,1.2,agg_full,1787890323.4687378,0,3072,,0,0,0,0,0,0,0,6,23,,0;0;0;1,24,0
24,upsert,0,L0014,2560,0,1787890324.9629557,1787890358.3840528,33.42109704017639,2,base,agg_full@rho1.2,0,0.55,0.0,4,1.2,agg_full,1787890324.962929,0,2560,,0,0,0,0,0,0,0,2,25,,0;1;1;1,28,0
42,upsert,1,L0000,2048,0,1787890331.0216115,1787890358.384303,27.362691640853882,3,base,agg_full@rho1.2,0,0.55,0.0,4,1.2,agg_full,1787890331.0215948,2560,-512,9.418086290359497,0,0,0,0,0,0,0,7,43,,0;0;1;0,44,1
57,upsert,1,L0014,3072,0,1787890336.2387912,1787890360.4979355,24.25914430618286,4,base,agg_full@rho1.2,0,0.55,0.0,4,1.2,agg_full,1787890336.2387712,2048,1024,20.011707305908203,0,0,0,0,0,0,0,3,58,,0;0;1;1,60,1
99,upsert,3,L0068,3072,0,1787890350.3932214,1787890360.4980683,10.104846954345703,5,base,agg_full@rho1.2,0,0.55,0.0,4,1.2,agg_full,1787890350.3932042,2560,512,5.902862787246704,0,0,0,0,0,0,0,3,100,,0;0;0;0,100,1
105,upsert,1,L0068,2048,0,1787890353.69139,1787890360.49814,6.806750059127808,6,base,agg_full@rho1.2,0,0.55,0.0,4,1.2,agg_full,1787890353.6913693,2048,0,10.791286706924438,0,0,0,0,0,0,0,4,106,,0;0;1;1,108,1
107,upsert,3,L0100,3072,0,1787890353.691978,1787890360.4982283,6.806250333786011,7,base,agg_full@rho1.2,0,0.55,0.0,4,1.2,agg_full,1787890353.6919663,0,3072,,0,0,0,0,0,0,0,3,108,,0;0;0;0,108,0
108,upsert,0,L0097,2048,0,1787890355.2843926,1787890360.4982822,5.2138895988464355,8,base,agg_full@rho1.2,0,0.55,0.0,4,1.2,agg_full,1787890355.284365,0,2048,,0,0,0,0,0,0,0,1,109,,0;1;1;1,112,0
109,upsert,2,L0074,3072,0,1787890355.28478,1787890360.4983277,5.213547706604004,9,base,agg_full@rho1.2,0,0.55,0.0,4,1.2,agg_full,1787890355.2847612,2560,512,1.5930955410003662,0,0,0,0,0,0,0,3,110,,0;1;0;1,112,1
110,upsert,1,L0075,2560,0,1787890355.2851336,1787890360.4983783,5.213244676589966,10,base,agg_full@rho1.2,0,0.55,0.0,4,1.2,agg_full,1787890355.285119,0,2560,,0,0,0,0,0,0,0,2,111,,0;0;0;1,112,0
111,upsert,3,L0096,2048,0,1787890355.285447,1787890366.0752163,10.789769411087036,11,base,agg_full@rho1.2,0,0.55,0.0,4,1.2,agg_full,1787890355.2854335,0,2048,,0,0,0,0,0,0,0,1,112,,0;0;0;0,112,0
112,upsert,0,L0078,2560,0,1787890356.8766987,1787890366.0753562,9.198657512664795,12,base,agg_full@rho1.2,0,0.55,0.0,4,1.2,agg_full,1787890356.87667,0,2560,,0,0,0,0,0,0,0,2,113,,0;1;1;1,116,0
113,upsert,3,L0069,2560,0,1787890356.8771334,1787890366.0754304,9.198297023773193,13,base,agg_full@rho1.2,0,0.55,0.0,4,1.2,agg_full,1787890356.8771122,2048,512,13.977331399917603,0,0,0,0,0,0,0,2,114,,0;1;1;0,116,1
114,upsert,1,L0065,2560,0,1787890356.877475,1787890366.0754716,9.197996616363525,14,base,agg_full@rho1.2,0,0.55,0.0,4,1.2,agg_full,1787890356.8774612,0,2560,,0,0,0,0,0,0,0,2,115,,0;0;1;0,116,0
115,upsert,2,L0066,2048,0,1787890356.8777707,1787890366.075506,9.19773530960083,15,base,agg_full@rho1.2,0,0.55,0.0,4,1.2,agg_full,1787890356.8777592,0,2048,,0,0,0,0,0,0,0,1,116,,0;0;0;0,116,0
117,upsert,1,L0118,2048,0,1787890358.211373,1787890366.0755348,7.864161729812622,16,base,agg_full@rho1.2,0,0.55,0.0,4,1.2,agg_full,1787890358.2113543,0,2048,,0,0,0,0,0,0,0,1,117,33.85857033729553,0;0;1;1,120,0
118,upsert,2,L0113,2048,0,1787890358.2117338,1787890366.0755627,7.863828897476196,17,base,agg_full@rho1.2,0,0.55,0.0,4,1.2,agg_full,1787890358.2117193,0,2048,,0,0,0,0,0,0,0,1,118,33.85857033729553,0;0;0;1,120,0
119,upsert,3,L0069,3072,2560,1787890358.2120519,1787890366.075592,7.863540172576904,18,base,agg_full@rho1.2,0,0.55,0.0,4,1.2,agg_full,1787890358.2120342,2560,512,1.3349220752716064,0,0,0,0,0,0,0,3,119,33.85857033729553,0;0;0;0,120,1
