seq,update_kind,instance,digest,coverage_after,pre_delivery_visible_cov,t_send_unix,delivered_at_unix,signaling_delay_s,writer_seq,point_id,cell_id,rep,zipf_alpha,overlap,concurrency,rho,policy,send_ts_unix,coverage_before_source,source_coverage_delta,update_age_s,advertised_before,dispatcher_visible_before,best_visible_cov,second_visible_cov,visible_cov_gap,replica_visible_count,source_best_cov,digest_req_count_recent,in_flight_frames,ewma_delivery_delay_s,dispatcher_loads,dispatcher_rr,supersedes_in_flight
0,upsert,0,L0048,2048,0,1787890373.7192695,1787890383.7567732,10.037503719329834,1,base,exact_fifo@rho0.8,0,0.55,0.0,4,0.8,exact_fifo,1787890373.7192426,0,2048,,0,0,0,0,0,0,0,1,1,,0;1;1;1,4,0
1,upsert,2,L0006,2048,0,1787890373.7194257,1787890384.4633102,10.743884563446045,2,base,exact_fifo@rho0.8,0,0.55,0.0,4,0.8,exact_fifo,1787890373.7194118,0,2048,,0,0,0,0,0,0,0,1,2,,0;1;0;1,4,0
2,upsert,1,L0014,2048,0,1787890373.7195308,1787890384.4634469,10.743916034698486,3,base,exact_fifo@rho0.8,0,0.55,0.0,4,0.8,exact_fifo,1787890373.7195208,0,2048,,0,0,0,0,0,0,0,1,3,,0;0;0;1,4,0
3,upsert,3,L0023,2048,0,1787890373.7196147,1787890385.5176995,11.798084735870361,4,base,exact_fifo@rho0.8,0,0.55,0.0,4,0.8,exact_fifo,1787890373.719606,0,2048,,0,0,0,0,0,0,0,1,4,,0;0;0;0,4,0
4,upsert,0,L0000,2048,0,1787890375.183668,1787890385.5178022,10.334134340286255,5,base,exact_fifo@rho0.8,0,0.55,0.0,4,0.8,exact_fifo,1787890375.1836421,0,2048,,0,0,0,0,0,0,0,2,5,,0;1;1;1,8,0
5,upsert,3,L0000,2560,0,1787890375.1838355,1787890385.5178673,10.334031820297241,6,base,exact_fifo@rho0.8,0,0.55,0.0,4,0.8,exact_fifo,1787890375.1838198,0,2560,,0,0,0,0,0,0,0,2,6,,0;1;1;0,8,0
6,upsert,1,L0002,2048,0,1787890375.1839378,1787890385.5179193,10.33398151397705,7,base,exact_fifo@rho0.8,0,0.55,0.0,4,0.8,exact_fifo,1787890375.1839268,0,2048,,0,0,0,0,0,0,0,1,7,,0;0;1;0,8,0
7,upsert,2,L0028,2048,0,1787890375.1840198,1787890385.517966,10.333946228027344,8,base,exact_fifo@rho0.8,0,0.55,0.0,4,0.8,exact_fifo,1787890375.1840103,0,2048,,0,0,0,0,0,0,0,1,8,,0;0;0;0,8,0
8,upsert,0,L0040,2048,0,1787890376.439796,1787890385.51801,9.078213930130005,9,base,exact_fifo@rho0.8,0,0.55,0.0,4,0.8,exact_fifo,1787890376.439768,0,2048,,0,0,0,0,0,0,0,1,9,,0;1;1;1,12,0
9,upsert,1,L0017,2048,0,1787890376.4399786,1787890385.5180542,9.078075647354126,10,base,exact_fifo@rho0.8,0,0.55,0.0,4,0.8,exact_fifo,1787890376.4399633,0,2048,,0,0,0,0,0,0,0,1,10,,0;0;1;1,12,0
10,upsert,2,L0055,2048,0,1787890376.44008,1787890389.2459583,12.805878400802612,11,base,exact_fifo@rho0.8,0,0.55,0.0,4,0.8,exact_fifo,1787890376.4400678,0,2048,,0,0,0,0,0,0,0,1,11,,0;0;0;1,12,0
11,upsert,3,L0000,3072,2560,1787890376.4401884,1787890389.246036,12.805847644805908,12,base,exact_fifo@rho0.8,0,0.55,0.0,4,0.8,exact_fifo,1787890376.4401731,2560,512,1.2563533782958984,0,0,0,0,0,0,0,3,12,,0;0;0;0,12,1
12,upsert,0,L0001,2048,0,1787890377.737434,1787890389.2460792,11.508645296096802,13,base,exact_fifo@rho0.8,0,0.55,0.0,4,0.8,exact_fifo,1787890377.7374077,0,2048,,0,0,0,0,0,0,0,1,13,,0;1;1;1,16,0
13,upsert,2,L0047,2048,0,1787890377.737605,1787890389.246114,11.508508920669556,14,base,exact_fifo@rho0.8,0,0.55,0.0,4,0.8,exact_fifo,1787890377.7375903,0,2048,,0,0,0,0,0,0,0,1,14,,0;1;0;1,16,0
14,upsert,1,L0058,2048,0,1787890377.7377007,1787890389.2461429,11.508442163467407,15,base,exact_fifo@rho0.8,0,0.55,0.0,4,0.8,exact_fifo,1787890377.73769,0,2048,,0,0,0,0,0,0,0,1,15,,0;0;0;1,16,0
15,upsert,3,L0034,2048,0,1787890377.7377841,1787890389.2461843,11.508400201797485,16,base,exact_fifo@rho0.8,0,0.55,0.0,4,0.8,exact_fifo,1787890377.7377746,0,2048,,0,0,0,0,0,0,0,1,16,,0;0;0;0,16,0
16,upsert,0,L0023,2560,0,1787890379.2697287,1787890389.2462099,9.976481199264526,17,base,exact_fifo@rho0.8,0,0.55,0.0,4,0.8,exact_fifo,1787890379.2697005,0,2560,,0,0,0,0,0,0,0,2,17,,0;1;1;1,20,0
17,upsert,3,L0000,2048,3072,1787890379.269901,1787890389.246235,9.976333856582642,18,base,exact_fifo@rho0.8,0,0.55,0.0,4,0.8,exact_fifo,1787890379.269883,3072,-1024,2.829709768295288,0,0,0,0,0,0,0,5,18,,0;1;1;0,20,1
18,upsert,1,L0000,2560,0,1787890379.270006,1787890393.6916108,14.421604871749878,19,base,exact_fifo@rho0.8,0,0.55,0.0,4,0.8,exact_fifo,1787890379.2699938,0,2560,,0,0,0,0,0,0,0,5,19,,0;0;1;0,20,0
19,upsert,2,L0046,2048,0,1787890379.270092,1787890393.6917198,14.421627759933472,20,base,exact_fifo@rho0.8,0,0.55,0.0,4,0.8,exact_fifo,1787890379.270082,0,2048,,0,0,0,0,0,0,0,1,20,,0;0;0;0,20,0
20,upsert,0,L0006,2560,0,1787890381.2458072,1787890393.6917841,12.445976972579956,21,base,exact_fifo@rho0.8,0,0.55,0.0,4,0.8,exact_fifo,1787890381.245779,0,2560,,0,0,0,0,0,0,0,2,21,,0;1;1;1,24,0
21,upsert,1,L0012,2048,0,1787890381.2459767,1787890393.6918445,12.445867776870728,22,base,exact_fifo@rho0.8,0,0.55,0.0,4,0.8,exact_fifo,1787890381.2459612,0,2048,,0,0,0,0,0,0,0,1,22,,0;0;1;1,24,0
