seq,update_kind,instance,digest,coverage_after,pre_delivery_visible_cov,t_send_unix,delivered_at_unix,signaling_delay_s,writer_seq,point_id,cell_id,rep,zipf_alpha,overlap,concurrency,rho,policy,send_ts_unix,coverage_before_source,source_coverage_delta,update_age_s,advertised_before,dispatcher_visible_before,best_visible_cov,second_visible_cov,visible_cov_gap,replica_visible_count,source_best_cov,digest_req_count_recent,in_flight_frames,ewma_delivery_delay_s,dispatcher_loads,dispatcher_rr,supersedes_in_flight
0,upsert,0,L0048,2048,0,1787900389.8111393,1787900389.8129418,0.0018024444580078125,1,conc2,agg_static@rho0.8,0,0.55,0.0,2,0.8,agg_static,1787900389.811115,0,2048,,0,0,0,0,0,0,0,1,1,,0;0;1;0,2,0
1,upsert,2,L0006,2048,0,1787900389.8113027,1787900389.8130615,0.0017588138580322266,2,conc2,agg_static@rho0.8,0,0.55,0.0,2,0.8,agg_static,1787900389.8112888,0,2048,,0,0,0,0,0,0,0,1,2,,0;0;0;0,2,0
2,upsert,2,L0014,2048,0,1787900392.3748422,1787900392.377069,0.0022268295288085938,3,conc2,agg_static@rho0.8,0,0.55,0.0,2,0.8,agg_static,1787900392.3748186,0,2048,,0,0,0,0,0,0,0,1,1,0.0017806291580200195,1;0;0;0,4,0
3,upsert,0,L0023,2048,0,1787900392.3750885,1787900392.3771956,0.0021071434020996094,4,conc2,agg_static@rho0.8,0,0.55,0.0,2,0.8,agg_static,1787900392.3750732,0,2048,,0,0,0,0,0,0,0,1,2,0.0017806291580200195,0;0;0;0,4,0
4,upsert,0,L0000,2048,0,1787900395.6157556,1787900395.6179087,0.002153158187866211,5,conc2,agg_static@rho0.8,0,0.55,0.0,2,0.8,agg_static,1787900395.6157317,0,2048,,0,0,0,0,0,0,0,2,1,0.0019738078117370605,0;0;0;1,6,0
5,upsert,3,L0000,2560,0,1787900395.6160123,1787900395.6180162,0.002003908157348633,6,conc2,agg_static@rho0.8,0,0.55,0.0,2,0.8,agg_static,1787900395.6159968,0,2560,,0,0,0,0,0,0,0,2,2,0.0019738078117370605,0;0;0;0,6,0
6,upsert,2,L0002,2048,0,1787900398.695642,1787900398.6976235,0.001981496810913086,7,conc2,agg_static@rho0.8,0,0.55,0.0,2,0.8,agg_static,1787900398.6956189,0,2048,,0,0,0,0,0,0,0,1,1,0.002008716265360514,0;1;0;0,8,0
7,upsert,1,L0028,2048,0,1787900398.695901,1787900398.6977274,0.0018265247344970703,8,conc2,agg_static@rho0.8,0,0.55,0.0,2,0.8,agg_static,1787900398.6958866,0,2048,,0,0,0,0,0,0,0,1,2,0.002008716265360514,0;0;0;0,8,0
8,upsert,0,L0040,2048,0,1787900401.3695078,1787900401.371875,0.002367258071899414,9,conc2,agg_static@rho0.8,0,0.55,0.0,2,0.8,agg_static,1787900401.3694842,0,2048,,0,0,0,0,0,0,0,1,1,0.0019825398921966553,0;1;0;0,10,0
9,upsert,1,L0017,2048,0,1787900401.3697765,1787900401.3719847,0.002208232879638672,10,conc2,agg_static@rho0.8,0,0.55,0.0,2,0.8,agg_static,1787900401.3697612,0,2048,,0,0,0,0,0,0,0,1,2,0.0019825398921966553,0;0;0;0,10,0
