seq,update_kind,instance,digest,coverage_after,pre_delivery_visible_cov,t_send_unix,delivered_at_unix,signaling_delay_s,writer_seq,point_id,cell_id,rep,zipf_alpha,overlap,concurrency,rho,policy,send_ts_unix,coverage_before_source,source_coverage_delta,update_age_s,advertised_before,dispatcher_visible_before,best_visible_cov,second_visible_cov,visible_cov_gap,replica_visible_count,source_best_cov,digest_req_count_recent,in_flight_frames,ewma_delivery_delay_s,dispatcher_loads,dispatcher_rr,supersedes_in_flight
0,upsert,0,L0048,2048,0,1787901337.1067686,1787901337.110149,0.003380298614501953,1,conc4,agg_full@rho0.8,0,0.55,0.0,4,0.8,agg_full,1787901337.1067388,0,2048,,0,0,0,0,0,0,0,1,1,,0;1;1;1,4,0
1,upsert,2,L0006,2048,0,1787901337.1069329,1787901337.1102953,0.003362417221069336,2,conc4,agg_full@rho0.8,0,0.55,0.0,4,0.8,agg_full,1787901337.106918,0,2048,,0,0,0,0,0,0,0,1,2,,0;1;0;1,4,0
2,upsert,1,L0014,2048,0,1787901337.1070375,1787901337.1103702,0.0033326148986816406,3,conc4,agg_full@rho0.8,0,0.55,0.0,4,0.8,agg_full,1787901337.1070259,0,2048,,0,0,0,0,0,0,0,1,3,,0;0;0;1,4,0
3,upsert,3,L0023,2048,0,1787901337.1071227,1787901337.1104307,0.0033080577850341797,4,conc4,agg_full@rho0.8,0,0.55,0.0,4,0.8,agg_full,1787901337.107113,0,2048,,0,0,0,0,0,0,0,1,4,,0;0;0;0,4,0
4,upsert,0,L0000,2048,0,1787901340.6895916,1787901340.693298,0.0037064552307128906,5,conc4,agg_full@rho0.8,0,0.55,0.0,4,0.8,agg_full,1787901340.6895611,0,2048,,0,0,0,0,0,0,0,2,1,0.0033458471298217773,0;1;1;1,8,0
5,upsert,3,L0000,2560,0,1787901340.6898615,1787901340.6934114,0.003549814224243164,6,conc4,agg_full@rho0.8,0,0.55,0.0,4,0.8,agg_full,1787901340.689845,0,2560,,0,0,0,0,0,0,0,2,2,0.0033458471298217773,0;1;1;0,8,0
6,upsert,1,L0002,2048,0,1787901340.6900327,1787901340.6934855,0.003452777862548828,7,conc4,agg_full@rho0.8,0,0.55,0.0,4,0.8,agg_full,1787901340.690019,0,2048,,0,0,0,0,0,0,0,1,3,0.0033458471298217773,0;0;1;0,8,0
7,upsert,2,L0028,2048,0,1787901340.6902068,1787901340.6935472,0.003340482711791992,8,conc4,agg_full@rho0.8,0,0.55,0.0,4,0.8,agg_full,1787901340.690195,0,2048,,0,0,0,0,0,0,0,1,4,0.0033458471298217773,0;0;0;0,8,0
8,upsert,0,L0040,2048,0,1787901343.5217533,1787901343.5255764,0.0038230419158935547,9,conc4,agg_full@rho0.8,0,0.55,0.0,4,0.8,agg_full,1787901343.521725,0,2048,,0,0,0,0,0,0,0,1,1,0.003429114818572998,0;1;1;1,12,0
9,upsert,1,L0017,2048,0,1787901343.5220432,1787901343.525673,0.0036296844482421875,10,conc4,agg_full@rho0.8,0,0.55,0.0,4,0.8,agg_full,1787901343.522026,0,2048,,0,0,0,0,0,0,0,1,2,0.003429114818572998,0;0;1;1,12,0
