seq,update_kind,instance,digest,coverage_after,pre_delivery_visible_cov,t_send_unix,delivered_at_unix,signaling_delay_s,writer_seq,point_id,cell_id,rep,zipf_alpha,overlap,concurrency,rho,policy,send_ts_unix,coverage_before_source,source_coverage_delta,update_age_s,advertised_before,dispatcher_visible_before,best_visible_cov,second_visible_cov,visible_cov_gap,replica_visible_count,source_best_cov,digest_req_count_recent,in_flight_frames,ewma_delivery_delay_s,dispatcher_loads,dispatcher_rr,supersedes_in_flight
20,upsert,0,L0005,2048,0,1787897790.349665,1787897818.6858184,28.336153507232666,1,ov50,agg_full@rho0.8,0,0.55,0.5,4,0.8,agg_full,1787897790.3496416,0,2048,,0,0,0,0,0,0,0,0,21,,0;0;0;0,0,0
21,upsert,1,L0005,2048,0,1787897790.3498182,1787897820.0400023,29.690184116363525,2,ov50,agg_full@rho0.8,0,0.55,0.5,4,0.8,agg_full,1787897790.349804,0,2048,,0,0,0,0,0,0,0,0,22,,0;0;0;0,0,0
36,upsert,0,L0009,2048,0,1787897801.0450761,1787897820.0401304,18.995054244995117,3,ov50,agg_full@rho0.8,0,0.55,0.5,4,0.8,agg_full,1787897801.045052,0,2048,,0,0,0,0,0,0,0,0,37,,0;0;0;0,0,0
37,upsert,1,L0009,2048,0,1787897801.0452828,1787897823.435874,22.390591144561768,4,ov50,agg_full@rho0.8,0,0.55,0.5,4,0.8,agg_full,1787897801.0452635,0,2048,,0,0,0,0,0,0,0,0,38,,0;0;0;0,0,0
40,upsert,0,L0010,2048,0,1787897803.6075802,1787897823.435978,19.828397750854492,5,ov50,agg_full@rho0.8,0,0.55,0.5,4,0.8,agg_full,1787897803.6075559,0,2048,,0,0,0,0,0,0,0,0,41,,0;0;0;0,0,0
41,upsert,1,L0010,2048,0,1787897803.607736,1787897823.4360464,19.828310251235962,6,ov50,agg_full@rho0.8,0,0.55,0.5,4,0.8,agg_full,1787897803.6077206,0,2048,,0,0,0,0,0,0,0,0,42,,0;0;0;0,0,0
56,upsert,0,L0014,2048,0,1787897814.0767329,1787897823.4360993,9.359366416931152,7,ov50,agg_full@rho0.8,0,0.55,0.5,4,0.8,agg_full,1787897814.0767102,0,2048,,0,0,0,0,0,0,0,0,57,,0;0;0;0,0,0
57,upsert,1,L0014,2048,0,1787897814.0768843,1787897823.4361444,9.359260082244873,8,ov50,agg_full@rho0.8,0,0.55,0.5,4,0.8,agg_full,1787897814.0768712,0,2048,,0,0,0,0,0,0,0,0,58,,0;0;0;0,0,0
60,upsert,0,L0015,2048,0,1787897816.7668595,1787897823.4362311,6.669371604919434,9,ov50,agg_full@rho0.8,0,0.55,0.5,4,0.8,agg_full,1787897816.7668362,0,2048,,0,0,0,0,0,0,0,0,61,,0;0;0;0,0,0
61,upsert,1,L0015,2048,0,1787897816.7670126,1787897823.4362822,6.669269561767578,10,ov50,agg_full@rho0.8,0,0.55,0.5,4,0.8,agg_full,1787897816.7669992,0,2048,,0,0,0,0,0,0,0,0,62,,0;0;0;0,0,0
64,upsert,0,L0016,2048,0,1787897819.3222458,1787897830.1649973,10.842751502990723,11,ov50,agg_full@rho0.8,0,0.55,0.5,4,0.8,agg_full,1787897819.3222165,0,2048,,0,0,0,0,0,0,0,0,64,28.336153507232666,0;0;0;0,0,0
65,upsert,1,L0016,2048,0,1787897819.3225076,1787897830.1651332,10.842625617980957,12,ov50,agg_full@rho0.8,0,0.55,0.5,4,0.8,agg_full,1787897819.3224928,0,2048,,0,0,0,0,0,0,0,0,65,28.336153507232666,0;0;0;0,0,0
68,upsert,0,L0017,2048,0,1787897821.7809095,1787897834.373343,12.592433452606201,13,ov50,agg_full@rho0.8,0,0.55,0.5,4,0.8,agg_full,1787897821.7808871,0,2048,,0,0,0,0,0,0,0,0,66,25.673797289530437,0;0;0;0,0,0
69,upsert,1,L0017,2048,0,1787897821.7811522,1787897834.3734753,12.592323064804077,14,ov50,agg_full@rho0.8,0,0.55,0.5,4,0.8,agg_full,1787897821.7811377,0,2048,,0,0,0,0,0,0,0,0,67,25.673797289530437,0;0;0;0,0,0
