seq,update_kind,instance,digest,coverage_after,pre_delivery_visible_cov,t_send_unix,delivered_at_unix,signaling_delay_s,writer_seq,point_id,cell_id,rep,zipf_alpha,overlap,concurrency,rho,policy,send_ts_unix,coverage_before_source,source_coverage_delta,update_age_s,advertised_before,dispatcher_visible_before,best_visible_cov,second_visible_cov,visible_cov_gap,replica_visible_count,source_best_cov,digest_req_count_recent,in_flight_frames,ewma_delivery_delay_s,dispatcher_loads,dispatcher_rr,supersedes_in_flight
0,upsert,0,L0042,2048,0,1787895611.0029922,1787895619.5426502,8.539658069610596,1,alphahigh,agg_static@rho0.8,1,1.0,0.0,4,0.8,agg_static,1787895611.0029695,0,2048,,0,0,0,0,0,0,0,1,1,,0;1;1;1,4,0
1,upsert,2,L0001,2048,0,1787895611.003137,1787895620.9256258,9.922488689422607,2,alphahigh,agg_static@rho0.8,1,1.0,0.0,4,0.8,agg_static,1787895611.0031235,0,2048,,0,0,0,0,0,0,0,1,2,,0;1;0;1,4,0
2,upsert,1,L0000,2048,0,1787895611.0032601,1787895620.9257693,9.92250919342041,3,alphahigh,agg_static@rho0.8,1,1.0,0.0,4,0.8,agg_static,1787895611.003248,0,2048,,0,0,0,0,0,0,0,1,3,,0;0;0;1,4,0
3,upsert,3,L0010,2048,0,1787895611.0033646,1787895623.6916351,12.688270568847656,4,alphahigh,agg_static@rho0.8,1,1.0,0.0,4,0.8,agg_static,1787895611.0033548,0,2048,,0,0,0,0,0,0,0,1,4,,0;0;0;0,4,0
4,upsert,0,L0010,2560,0,1787895613.795468,1787895623.691748,9.89627981185913,5,alphahigh,agg_static@rho0.8,1,1.0,0.0,4,0.8,agg_static,1787895613.795446,0,2560,,0,0,0,0,0,0,0,2,5,,0;1;1;1,8,0
5,upsert,3,L0006,2048,0,1787895613.7956274,1787895623.6918147,9.89618730545044,6,alphahigh,agg_static@rho0.8,1,1.0,0.0,4,0.8,agg_static,1787895613.7956138,0,2048,,0,0,0,0,0,0,0,1,6,,0;1;1;0,8,0
6,upsert,1,L0001,2560,0,1787895613.795722,1787895623.691868,9.896146059036255,7,alphahigh,agg_static@rho0.8,1,1.0,0.0,4,0.8,agg_static,1787895613.795712,0,2560,,0,0,0,0,0,0,0,2,7,,0;0;1;0,8,0
7,upsert,2,L0013,2048,0,1787895613.7958016,1787895623.691917,9.89611530303955,8,alphahigh,agg_static@rho0.8,1,1.0,0.0,4,0.8,agg_static,1787895613.795793,0,2048,,0,0,0,0,0,0,0,1,8,,0;0;0;0,8,0
8,upsert,0,L0000,2560,0,1787895616.7521966,1787895623.691963,6.9397664070129395,9,alphahigh,agg_static@rho0.8,1,1.0,0.0,4,0.8,agg_static,1787895616.7521555,0,2560,,0,0,0,0,0,0,0,2,9,,0;1;1;1,12,0
9,upsert,1,L0011,2048,0,1787895616.7523515,1787895623.6920114,6.939659833908081,10,alphahigh,agg_static@rho0.8,1,1.0,0.0,4,0.8,agg_static,1787895616.7523384,0,2048,,0,0,0,0,0,0,0,1,10,,0;0;1;1,12,0
10,upsert,2,L0004,2048,0,1787895616.7524452,1787895630.2873862,13.534940958023071,11,alphahigh,agg_static@rho0.8,1,1.0,0.0,4,0.8,agg_static,1787895616.752434,0,2048,,0,0,0,0,0,0,0,1,11,,0;0;0;1,12,0
11,upsert,3,L0005,2048,0,1787895616.752525,1787895630.2874663,13.53494119644165,12,alphahigh,agg_static@rho0.8,1,1.0,0.0,4,0.8,agg_static,1787895616.752516,0,2048,,0,0,0,0,0,0,0,1,12,,0;0;0;0,12,0
12,upsert,0,L0000,3072,2560,1787895618.8177428,1787895630.287506,11.469763278961182,13,alphahigh,agg_static@rho0.8,1,1.0,0.0,4,0.8,agg_static,1787895618.8177161,2560,512,2.0655605792999268,0,0,0,0,0,0,0,4,13,,0;1;1;1,16,1
13,upsert,2,L0019,2048,0,1787895618.817912,1787895630.2875412,11.469629049301147,14,alphahigh,agg_static@rho0.8,1,1.0,0.0,4,0.8,agg_static,1787895618.8178968,0,2048,,0,0,0,0,0,0,0,1,14,,0;1;0;1,16,0
14,upsert,1,L0000,2048,2048,1787895618.8180132,1787895630.28757,11.46955680847168,15,alphahigh,agg_static@rho0.8,1,1.0,0.0,4,0.8,agg_static,1787895618.817999,2048,0,7.814750909805298,0,0,0,0,0,0,0,4,15,,0;0;0;1,16,1
15,upsert,3,L0055,2048,0,1787895618.8180995,1787895630.2875996,11.469500064849854,16,alphahigh,agg_static@rho0.8,1,1.0,0.0,4,0.8,agg_static,1787895618.818089,0,2048,,0,0,0,0,0,0,0,1,16,,0;0;0;0,16,0
17,upsert,3,L0018,2048,0,1787895622.080914,1787895636.7554212,14.674507141113281,17,alphahigh,agg_static@rho0.8,1,1.0,0.0,4,0.8,agg_static,1787895622.080898,0,2048,,0,0,0,0,0,0,0,1,15,9.461551984151205,0;1;1;0,20,0
18,upsert,1,L0002,2048,0,1787895622.081081,1787895636.7555664,14.674485445022583,18,alphahigh,agg_static@rho0.8,1,1.0,0.0,4,0.8,agg_static,1787895622.0810678,0,2048,,0,0,0,0,0,0,0,1,16,9.461551984151205,0;0;1;0,20,0
19,upsert,2,L0004,2560,2048,1787895622.0812585,1787895636.7556403,14.674381732940674,19,alphahigh,agg_static@rho0.8,1,1.0,0.0,4,0.8,agg_static,1787895622.081241,2048,512,5.3288068771362305,0,0,0,0,0,0,0,2,17,9.461551984151205,0;0;0;0,20,1
20,upsert,0,L0006,2560,0,1787895625.1755502,1787895645.2448356,20.06928539276123,20,alphahigh,agg_static@rho0.8,1,1.0,0.0,4,0.8,agg_static,1787895625.1755219,0,2560,,0,0,2048,0,2048,1,0,2,11,9.453708124160766,0;2;0;1,26,0
21,upsert,1,L0000,2560,2048,1787895625.175849,1787895645.2449508,20.069101810455322,21,alphahigh,agg_static@rho0.8,1,1.0,0.0,4,0.8,agg_static,1787895625.175829,2048,512,6.357830047607422,0,2048,2560,2048,512,2,0,6,12,9.453708124160766,0;1;0;1,26,1
22,upsert,1,L0000,3072,2560,1787895625.176045,1787895645.2450135,20.068968534469604,22,alphahigh,agg_static@rho0.8,1,1.0,0.0,4,0.8,agg_static,1787895625.17603,2560,512,0.0002009868621826172,0,2048,2560,2048,512,2,0,6,13,9.453708124160766,0;0;0;1,26,1
23,upsert,3,L0002,2560,0,1787895625.1762414,1787895645.2450707,20.06882929801941,23,alphahigh,agg_static@rho0.8,1,1.0,0.0,4,0.8,agg_static,1787895625.1762278,0,2560,,0,0,0,0,0,0,0,2,14,9.453708124160766,0;0;0;0,26,0
24,upsert,2,L0003,2048,0,1787895629.1447945,1787895645.2451246,16.100330114364624,24,alphahigh,agg_static@rho0.8,1,1.0,0.0,4,0.8,agg_static,1787895629.144766,0,2048,,0,0,0,0,0,0,0,1,15,9.453708124160766,1;2;0;0,31,0
25,upsert,0,L0004,3072,0,1787895629.145095,1787895645.2451978,16.10010266304016,25,alphahigh,agg_static@rho0.8,1,1.0,0.0,4,0.8,agg_static,1787895629.1450784,0,3072,,0,0,0,0,0,0,0,3,16,9.453708124160766,0;2;0;0,31,0
26,upsert,1,L0059,2048,0,1787895629.145301,1787895645.2452495,16.099948406219482,26,alphahigh,agg_static@rho0.8,1,1.0,0.0,4,0.8,agg_static,1787895629.1452875,0,2048,,0,0,0,0,0,0,0,1,17,9.453708124160766,0;1;0;0,31,0
27,upsert,1,L0001,2048,2560,1787895629.1454728,1787895652.5426784,23.397205591201782,27,alphahigh,agg_static@rho0.8,1,1.0,0.0,4,0.8,agg_static,1787895629.1454566,2560,-512,15.34974455833435,0,2560,2560,2048,512,2,0,4,18,9.453708124160766,0;0;0;0,31,0
28,upsert,3,L0033,2048,0,1787895631.388892,1787895652.5427897,21.153897762298584,28,alphahigh,agg_static@rho0.8,1,1.0,0.0,4,0.8,agg_static,1787895631.3888643,0,2048,,0,0,0,0,0,0,0,1,13,10.467838287353516,1;1;1;0,36,0
29,upsert,0,L0000,2048,3072,1787895631.3892157,1787895652.5428486,21.153632879257202,29,alphahigh,agg_static@rho0.8,1,1.0,0.0,4,0.8,agg_static,1787895631.3891964,3072,-1024,12.57148027420044,0,3072,3072,2048,1024,2,0,7,14,10.467838287353516,0;1;1;0,36,0
30,upsert,1,L0036,2048,0,1787895631.389425,1787895652.5428977,21.153472661972046,30,alphahigh,agg_static@rho0.8,1,1.0,0.0,4,0.8,agg_static,1787895631.38941,0,2048,,0,0,0,0,0,0,0,1,15,10.467838287353516,0;0;1;0,36,0
31,upsert,2,L0060,2048,0,1787895631.389607,1787895652.5429466,21.153339624404907,31,alphahigh,agg_static@rho0.8,1,1.0,0.0,4,0.8,agg_static,1787895631.3895943,0,2048,,0,0,0,0,0,0,0,1,16,10.467838287353516,0;0;0;0,36,0
