seq,update_kind,instance,digest,coverage_after,pre_delivery_visible_cov,t_send_unix,delivered_at_unix,signaling_delay_s,writer_seq,point_id,cell_id,rep,zipf_alpha,overlap,concurrency,rho,policy,send_ts_unix,coverage_before_source,source_coverage_delta,update_age_s,advertised_before,dispatcher_visible_before,best_visible_cov,second_visible_cov,visible_cov_gap,replica_visible_count,source_best_cov,digest_req_count_recent,in_flight_frames,ewma_delivery_delay_s,dispatcher_loads,dispatcher_rr,supersedes_in_flight
7,upsert,2,L0001,2048,0,1787895002.4993262,1787895025.4670856,22.967759370803833,1,alphamed,agg_full@rho0.8,1,0.55,0.0,4,0.8,agg_full,1787895002.4993172,0,2048,,0,0,0,0,0,0,0,1,8,,0;0;0;0,8,0
14,upsert,1,L0004,2560,0,1787895007.4489155,1787895025.7817767,18.332861185073853,2,alphamed,agg_full@rho0.8,1,0.55,0.0,4,0.8,agg_full,1787895007.4489,2048,512,4.949667930603027,0,0,0,0,0,0,0,2,15,,0;0;0;1,16,1
15,upsert,3,L0001,2560,0,1787895007.4490025,1787895025.781906,18.332903385162354,3,alphamed,agg_full@rho0.8,1,0.55,0.0,4,0.8,agg_full,1787895007.448992,0,2560,,0,0,0,0,0,0,0,2,16,,0;0;0;0,16,0
16,upsert,0,L0029,2560,0,1787895010.7229962,1787895029.5830767,18.86008048057556,4,alphamed,agg_full@rho0.8,1,0.55,0.0,4,0.8,agg_full,1787895010.72297,2048,512,8.224024295806885,0,0,0,0,0,0,0,2,17,,0;1;1;1,20,1
17,upsert,3,L0007,2560,0,1787895010.7231808,1787895029.5831969,18.860016107559204,5,alphamed,agg_full@rho0.8,1,0.55,0.0,4,0.8,agg_full,1787895010.7231452,0,2560,,0,0,0,0,0,0,0,2,18,,0;1;1;0,20,0
26,upsert,1,L0005,2048,0,1787895015.0803568,1787895029.5832686,14.502911806106567,6,alphamed,agg_full@rho0.8,1,0.55,0.0,4,0.8,agg_full,1787895015.0803456,0,2048,,0,0,0,0,0,0,0,1,27,,0;0;0;1,28,0
27,upsert,3,L0000,2048,0,1787895015.0804434,1787895029.5833247,14.502881288528442,7,alphamed,agg_full@rho0.8,1,0.55,0.0,4,0.8,agg_full,1787895015.0804336,0,2048,,0,0,0,0,0,0,0,1,28,,0;0;0;0,28,0
28,upsert,0,L0034,2560,0,1787895017.7749777,1787895029.5833733,11.808395624160767,8,alphamed,agg_full@rho0.8,1,0.55,0.0,4,0.8,agg_full,1787895017.7749543,0,2560,,0,0,0,0,0,0,0,2,29,,0;1;1;1,32,0
29,upsert,3,L0002,2048,0,1787895017.7751467,1787895029.583418,11.808271169662476,9,alphamed,agg_full@rho0.8,1,0.55,0.0,4,0.8,agg_full,1787895017.7751327,0,2048,,0,0,0,0,0,0,0,1,30,,0;1;1;0,32,0
30,upsert,1,L0011,2048,0,1787895017.775262,1787895029.5834715,11.808209419250488,10,alphamed,agg_full@rho0.8,1,0.55,0.0,4,0.8,agg_full,1787895017.7752512,0,2048,,0,0,0,0,0,0,0,1,31,,0;0;1;0,32,0
31,upsert,2,L0018,2048,0,1787895017.775347,1787895029.58761,11.812263011932373,11,alphamed,agg_full@rho0.8,1,0.55,0.0,4,0.8,agg_full,1787895017.7753377,0,2048,,0,0,0,0,0,0,0,1,32,,0;0;0;0,32,0
32,upsert,0,L0005,2560,0,1787895020.4853175,1787895029.5876474,9.102329969406128,12,alphamed,agg_full@rho0.8,1,0.55,0.0,4,0.8,agg_full,1787895020.4852915,0,2560,,0,0,0,0,0,0,0,2,33,,0;1;1;1,36,0
33,upsert,1,L0042,2560,0,1787895020.485711,1787895029.587673,9.101961851119995,13,alphamed,agg_full@rho0.8,1,0.55,0.0,4,0.8,agg_full,1787895020.4856944,0,2560,,0,0,0,0,0,0,0,2,34,,0;0;1;1,36,0
34,upsert,2,L0006,2048,0,1787895020.4860175,1787895029.5876968,9.10167932510376,14,alphamed,agg_full@rho0.8,1,0.55,0.0,4,0.8,agg_full,1787895020.4860036,0,2048,,0,0,0,0,0,0,0,1,35,,0;0;0;1,36,0
35,upsert,3,L0055,2048,0,1787895020.4862845,1787895029.5877237,9.101439237594604,15,alphamed,agg_full@rho0.8,1,0.55,0.0,4,0.8,agg_full,1787895020.4862728,0,2048,,0,0,0,0,0,0,0,1,36,,0;0;0;0,36,0
36,upsert,0,L0000,2560,0,1787895023.7559183,1787895029.5877473,5.831829071044922,16,alphamed,agg_full@rho0.8,1,0.55,0.0,4,0.8,agg_full,1787895023.7558944,0,2560,,0,0,0,0,0,0,0,2,37,,0;1;1;1,40,0
37,upsert,2,L0009,2048,0,1787895023.7563305,1787895029.5877702,5.831439733505249,17,alphamed,agg_full@rho0.8,1,0.55,0.0,4,0.8,agg_full,1787895023.756314,0,2048,,0,0,0,0,0,0,0,1,38,,0;1;0;1,40,0
38,upsert,1,L0047,2048,0,1787895023.7566104,1787895029.587794,5.831183671951294,18,alphamed,agg_full@rho0.8,1,0.55,0.0,4,0.8,agg_full,1787895023.7565975,0,2048,,0,0,0,0,0,0,0,1,39,,0;0;0;1,40,0
39,upsert,3,L0033,2560,0,1787895023.7568626,1787895037.5293849,13.772522211074829,19,alphamed,agg_full@rho0.8,1,0.55,0.0,4,0.8,agg_full,1787895023.7568517,0,2560,,0,0,0,0,0,0,0,2,40,,0;0;0;0,40,0
41,upsert,3,L0001,2048,2560,1787895027.3233693,1787895037.5295312,10.206161975860596,20,alphamed,agg_full@rho0.8,1,0.55,0.0,4,0.8,agg_full,1787895027.3233485,2560,-512,19.874356508255005,0,2560,2560,2048,512,2,0,4,39,19.877841313680012,0;1;1;0,44,0
42,upsert,1,L0050,2048,0,1787895027.323714,1787895037.5296035,10.205889463424683,21,alphamed,agg_full@rho0.8,1,0.55,0.0,4,0.8,agg_full,1787895027.3237007,0,2048,,0,0,0,0,0,0,0,1,40,19.877841313680012,0;0;1;0,44,0
43,upsert,2,L0033,3072,0,1787895027.3240345,1787895037.5296624,10.205627918243408,22,alphamed,agg_full@rho0.8,1,0.55,0.0,4,0.8,agg_full,1787895027.3240175,2048,1024,14.39414119720459,0,0,0,0,0,0,0,3,41,19.877841313680012,0;0;0;0,44,1
44,upsert,0,L0027,2048,0,1787895029.7741306,1787895044.9856794,15.211548805236816,23,alphamed,agg_full@rho0.8,1,0.55,0.0,4,0.8,agg_full,1787895029.774105,0,2048,,0,0,0,0,0,0,0,1,27,12.63880087269677,0;1;1;1,48,0
45,upsert,1,L0035,2048,0,1787895029.7746222,1787895044.9858027,15.211180448532104,24,alphamed,agg_full@rho0.8,1,0.55,0.0,4,0.8,agg_full,1787895029.7746055,0,2048,,0,0,0,0,0,0,0,1,28,12.63880087269677,0;0;1;1,48,0
46,upsert,2,L0025,2048,0,1787895029.7749822,1787895044.9858668,15.21088457107544,25,alphamed,agg_full@rho0.8,1,0.55,0.0,4,0.8,agg_full,1787895029.774968,0,2048,,0,0,0,0,0,0,0,1,29,12.63880087269677,0;0;0;1,48,0
47,upsert,3,L0034,3072,0,1787895029.7753336,1787895044.9859197,15.210586071014404,26,alphamed,agg_full@rho0.8,1,0.55,0.0,4,0.8,agg_full,1787895029.775317,2048,1024,16.845356941223145,0,0,2560,0,2560,1,0,3,30,12.63880087269677,0;0;0;0,48,1
48,upsert,0,L0039,2048,0,1787895033.3523705,1787895044.9859655,11.633594989776611,27,alphamed,agg_full@rho0.8,1,0.55,0.0,4,0.8,agg_full,1787895033.352348,0,2048,,0,0,0,0,0,0,0,1,31,12.63880087269677,2;0;1;0,54,0
49,upsert,2,L0013,2560,0,1787895033.3528585,1787895050.655567,17.302708387374878,28,alphamed,agg_full@rho0.8,1,0.55,0.0,4,0.8,agg_full,1787895033.352842,0,2560,,0,0,0,0,0,0,0,2,32,12.63880087269677,2;0;0;0,54,0
