seq,update_kind,instance,digest,coverage_after,pre_delivery_visible_cov,t_send_unix,delivered_at_unix,signaling_delay_s,writer_seq,point_id,cell_id,rep,zipf_alpha,overlap,concurrency,rho,policy,send_ts_unix,coverage_before_source,source_coverage_delta,update_age_s,advertised_before,dispatcher_visible_before,best_visible_cov,second_visible_cov,visible_cov_gap,replica_visible_count,source_best_cov,digest_req_count_recent,in_flight_frames,ewma_delivery_delay_s,dispatcher_loads,dispatcher_rr,supersedes_in_flight
0,upsert,0,L0012,2048,0,1787891792.174558,1787891792.177768,0.0032100677490234375,1,base,agg_static@rho1.2,1,0.55,0.0,4,1.2,agg_static,1787891792.1745303,0,2048,,0,0,0,0,0,0,0,1,1,,0;1;1;1,4,0
1,upsert,2,L0007,2048,0,1787891792.1747105,1787891792.1778812,0.0031707286834716797,2,base,agg_static@rho1.2,1,0.55,0.0,4,1.2,agg_static,1787891792.1746974,0,2048,,0,0,0,0,0,0,0,1,2,,0;1;0;1,4,0
2,upsert,1,L0059,2048,0,1787891792.1748104,1787891792.177947,0.0031366348266601562,3,base,agg_static@rho1.2,1,0.55,0.0,4,1.2,agg_static,1787891792.1748,0,2048,,0,0,0,0,0,0,0,1,3,,0;0;0;1,4,0
3,upsert,3,L0016,2048,0,1787891792.174893,1787891792.1779978,0.0031049251556396484,4,base,agg_static@rho1.2,1,0.55,0.0,4,1.2,agg_static,1787891792.1748838,0,2048,,0,0,0,0,0,0,0,1,4,,0;0;0;0,4,0
4,upsert,0,L0029,2048,0,1787891793.735452,1787891797.5865474,3.85109543800354,5,base,agg_static@rho1.2,1,0.55,0.0,4,1.2,agg_static,1787891793.7354255,0,2048,,0,0,0,0,0,0,0,1,1,0.0031555891036987305,0;1;1;1,8,0
5,upsert,3,L0021,2048,0,1787891793.7357206,1787891799.0472226,5.311501979827881,6,base,agg_static@rho1.2,1,0.55,0.0,4,1.2,agg_static,1787891793.7357051,0,2048,,0,0,0,0,0,0,0,1,2,0.0031555891036987305,0;1;1;0,8,0
6,upsert,1,L0004,2048,0,1787891793.7358944,1787891799.0473368,5.3114423751831055,7,base,agg_static@rho1.2,1,0.55,0.0,4,1.2,agg_static,1787891793.7358816,0,2048,,0,0,0,0,0,0,0,1,3,0.0031555891036987305,0;0;1;0,8,0
7,upsert,2,L0001,2048,0,1787891793.736043,1787891801.2269936,7.490950584411621,8,base,agg_static@rho1.2,1,0.55,0.0,4,1.2,agg_static,1787891793.736031,0,2048,,0,0,0,0,0,0,0,1,4,0.0031555891036987305,0;0;0;0,8,0
8,upsert,0,L0063,2048,0,1787891795.4266887,1787891807.9460995,12.519410848617554,9,base,agg_static@rho1.2,1,0.55,0.0,4,1.2,agg_static,1787891795.4266639,0,2048,,0,0,0,0,0,0,0,1,5,0.0031555891036987305,0;1;1;1,12,0
9,upsert,1,L0041,2048,0,1787891795.4269557,1787891807.9462209,12.519265174865723,10,base,agg_static@rho1.2,1,0.55,0.0,4,1.2,agg_static,1787891795.4269407,0,2048,,0,0,0,0,0,0,0,1,6,0.0031555891036987305,0;0;1;1,12,0
10,upsert,2,L0023,2048,0,1787891795.4271271,1787891807.946283,12.519155979156494,11,base,agg_static@rho1.2,1,0.55,0.0,4,1.2,agg_static,1787891795.4271145,0,2048,,0,0,0,0,0,0,0,1,7,0.0031555891036987305,0;0;0;1,12,0
11,upsert,3,L0046,2048,0,1787891795.4273021,1787891815.2493749,19.822072744369507,12,base,agg_static@rho1.2,1,0.55,0.0,4,1.2,agg_static,1787891795.4272902,0,2048,,0,0,0,0,0,0,0,1,8,0.0031555891036987305,0;0;0;0,12,0
