seq,update_kind,instance,digest,coverage_after,pre_delivery_visible_cov,t_send_unix,delivered_at_unix,signaling_delay_s,writer_seq,point_id,cell_id,rep,zipf_alpha,overlap,concurrency,rho,policy,send_ts_unix,coverage_before_source,source_coverage_delta,update_age_s,advertised_before,dispatcher_visible_before,best_visible_cov,second_visible_cov,visible_cov_gap,replica_visible_count,source_best_cov,digest_req_count_recent,in_flight_frames,ewma_delivery_delay_s,dispatcher_loads,dispatcher_rr,supersedes_in_flight
0,upsert,0,L0012,2048,0,1787896427.8422751,1787896427.8436608,0.0013856887817382812,1,ov0,agg_static@rho0.8,1,0.55,0.0,4,0.8,agg_static,1787896427.8422582,0,2048,,0,0,0,0,0,0,0,1,1,,0;1;1;1,4,0
2,upsert,1,L0059,2048,0,1787896427.8423927,1787896427.84372,0.0013272762298583984,2,ov0,agg_static@rho0.8,1,0.55,0.0,4,0.8,agg_static,1787896427.8423874,0,2048,,0,0,0,0,0,0,0,1,3,,0;0;0;1,4,0
1,upsert,2,L0007,2048,0,1787896427.8423529,1787896427.8437467,0.0013937950134277344,3,ov0,agg_static@rho0.8,1,0.55,0.0,4,0.8,agg_static,1787896427.8423471,0,2048,,0,0,0,0,0,0,0,1,2,,0;1;0;1,4,0
3,upsert,3,L0016,2048,0,1787896427.8424225,1787896427.8437707,0.001348257064819336,4,ov0,agg_static@rho0.8,1,0.55,0.0,4,0.8,agg_static,1787896427.8424187,0,2048,,0,0,0,0,0,0,0,1,4,,0;0;0;0,4,0
4,upsert,0,L0029,2048,0,1787896430.176227,1787896430.1777058,0.0014786720275878906,5,ov0,agg_static@rho0.8,1,0.55,0.0,4,0.8,agg_static,1787896430.1762109,0,2048,,0,0,0,0,0,0,0,1,1,0.0013637542724609375,0;1;1;1,8,0
5,upsert,3,L0021,2048,0,1787896430.1763706,1787896430.1777534,0.0013828277587890625,6,ov0,agg_static@rho0.8,1,0.55,0.0,4,0.8,agg_static,1787896430.1763637,0,2048,,0,0,0,0,0,0,0,1,2,0.0013637542724609375,0;1;1;0,8,0
6,upsert,1,L0004,2048,0,1787896430.176435,1787896430.1777792,0.0013442039489746094,7,ov0,agg_static@rho0.8,1,0.55,0.0,4,0.8,agg_static,1787896430.1764295,0,2048,,0,0,0,0,0,0,0,1,3,0.0013637542724609375,0;0;1;0,8,0
7,upsert,2,L0001,2048,0,1787896430.1764894,1787896430.1777956,0.001306295394897461,8,ov0,agg_static@rho0.8,1,0.55,0.0,4,0.8,agg_static,1787896430.176485,0,2048,,0,0,0,0,0,0,0,1,4,0.0013637542724609375,0;0;0;0,8,0
8,upsert,0,L0063,2048,0,1787896432.6597733,1787896432.6613588,0.0015854835510253906,9,ov0,agg_static@rho0.8,1,0.55,0.0,4,0.8,agg_static,1787896432.6597614,0,2048,,0,0,0,0,0,0,0,1,1,0.0013708770275115967,0;1;1;1,12,0
9,upsert,1,L0041,2048,0,1787896432.6598964,1787896432.661399,0.0015025138854980469,10,ov0,agg_static@rho0.8,1,0.55,0.0,4,0.8,agg_static,1787896432.65989,0,2048,,0,0,0,0,0,0,0,1,2,0.0013708770275115967,0;0;1;1,12,0
10,upsert,2,L0023,2048,0,1787896432.659961,1787896432.6614208,0.0014598369598388672,11,ov0,agg_static@rho0.8,1,0.55,0.0,4,0.8,agg_static,1787896432.6599562,0,2048,,0,0,0,0,0,0,0,1,3,0.0013708770275115967,0;0;0;1,12,0
11,upsert,3,L0046,2048,0,1787896432.6600187,1787896432.6614392,0.0014204978942871094,12,ov0,agg_static@rho0.8,1,0.55,0.0,4,0.8,agg_static,1787896432.6600142,0,2048,,0,0,0,0,0,0,0,1,4,0.0013708770275115967,0;0;0;0,12,0
12,upsert,0,L0022,2048,0,1787896436.3784623,1787896441.0599616,4.681499242782593,13,ov0,agg_static@rho0.8,1,0.55,0.0,4,0.8,agg_static,1787896436.378446,0,2048,,0,0,0,0,0,0,0,1,1,0.0014112790425618489,0;1;2;0,18,0
13,upsert,2,L0019,2048,0,1787896436.3786137,1787896442.6262615,6.247647762298584,14,ov0,agg_static@rho0.8,1,0.55,0.0,4,0.8,agg_static,1787896436.3786073,0,2048,,0,0,0,0,0,0,0,1,2,0.0014112790425618489,0;1;1;0,18,0
15,upsert,2,L0001,2560,2048,1787896436.378743,1787896442.6263385,6.247595548629761,15,ov0,agg_static@rho0.8,1,0.55,0.0,4,0.8,agg_static,1787896436.3787382,2048,512,6.202253103256226,0,2048,2048,0,2048,1,0,2,4,0.0014112790425618489,0;0;0;0,18,0
14,upsert,1,L0004,2560,2048,1787896436.3786824,1787896444.9636054,8.584923028945923,16,ov0,agg_static@rho0.8,1,0.55,0.0,4,0.8,agg_static,1787896436.3786755,2048,512,6.2022459506988525,0,2048,2048,0,2048,1,0,2,3,0.0014112790425618489,0;0;1;0,18,0
16,upsert,0,L0029,2560,2048,1787896438.7149594,1787896451.2286909,12.513731479644775,17,ov0,agg_static@rho0.8,1,0.55,0.0,4,0.8,agg_static,1787896438.7149272,2048,512,8.538716316223145,0,2048,2048,0,2048,1,0,2,5,0.0014112790425618489,0;1;1;1,24,0
17,upsert,2,L0007,2560,2048,1787896438.7152925,1787896451.2288213,12.513528823852539,18,ov0,agg_static@rho0.8,1,0.55,0.0,4,0.8,agg_static,1787896438.715272,2048,512,10.8729248046875,0,2048,2048,0,2048,1,0,2,6,0.0014112790425618489,0;1;0;1,24,0
18,upsert,1,L0013,2048,0,1787896438.7154863,1787896451.2289133,12.513427019119263,19,ov0,agg_static@rho0.8,1,0.55,0.0,4,0.8,agg_static,1787896438.7154715,0,2048,,0,0,0,0,0,0,0,1,7,0.0014112790425618489,0;0;0;1,24,0
19,upsert,3,L0017,2048,0,1787896438.715654,1787896458.2648873,19.549233436584473,20,ov0,agg_static@rho0.8,1,0.55,0.0,4,0.8,agg_static,1787896438.7156405,0,2048,,0,0,0,0,0,0,0,1,8,0.0014112790425618489,0;0;0;0,24,0
20,upsert,0,L0024,2048,0,1787896441.088494,1787896458.2650185,17.17652440071106,21,ov0,agg_static@rho0.8,1,0.55,0.0,4,0.8,agg_static,1787896441.0884774,0,2048,,0,0,0,0,0,0,0,1,8,0.36141804548410267,0;1;1;1,28,0
21,upsert,2,L0053,2048,0,1787896441.0886323,1787896458.2651093,17.17647695541382,22,ov0,agg_static@rho0.8,1,0.55,0.0,4,0.8,agg_static,1787896441.0886257,0,2048,,0,0,0,0,0,0,0,1,9,0.36141804548410267,0;1;0;1,28,0
22,upsert,1,L0033,2048,0,1787896441.0886996,1787896458.2652314,17.17653179168701,23,ov0,agg_static@rho0.8,1,0.55,0.0,4,0.8,agg_static,1787896441.0886943,0,2048,,0,0,0,0,0,0,0,1,10,0.36141804548410267,0;0;0;1,28,0
23,upsert,3,L0034,2048,0,1787896441.088761,1787896466.1202507,25.031489610671997,24,ov0,agg_static@rho0.8,1,0.55,0.0,4,0.8,agg_static,1787896441.0887566,0,2048,,0,0,0,0,0,0,0,1,11,0.36141804548410267,0;0;0;0,28,0
24,upsert,0,L0042,2048,0,1787896443.4362133,1787896466.1203196,22.68410634994507,25,ov0,agg_static@rho0.8,1,0.55,0.0,4,0.8,agg_static,1787896443.4361954,0,2048,,0,0,0,0,0,0,0,1,10,1.1462451934814453,0;1;1;1,32,0
25,upsert,3,L0026,2048,0,1787896443.4363685,1787896466.1203532,22.683984756469727,26,ov0,agg_static@rho0.8,1,0.55,0.0,4,0.8,agg_static,1787896443.4363594,0,2048,,0,0,0,0,0,0,0,1,11,1.1462451934814453,0;1;1;0,32,0
26,upsert,1,L0005,2048,0,1787896443.436442,1787896466.1203814,22.683939456939697,27,ov0,agg_static@rho0.8,1,0.55,0.0,4,0.8,agg_static,1787896443.4364364,0,2048,,0,0,0,0,0,0,0,1,12,1.1462451934814453,0;0;1;0,32,0
27,upsert,2,L0000,2048,0,1787896443.4365041,1787896466.120413,22.683908939361572,28,ov0,agg_static@rho0.8,1,0.55,0.0,4,0.8,agg_static,1787896443.436499,0,2048,,0,0,0,0,0,0,0,1,13,1.1462451934814453,0;0;0;0,32,0
28,upsert,0,L0034,2560,0,1787896446.012396,1787896466.1204853,20.108089208602905,29,ov0,agg_static@rho0.8,1,0.55,0.0,4,0.8,agg_static,1787896446.0123801,0,2560,,0,0,0,0,0,0,0,2,13,1.6111625581979752,0;1;1;1,36,0
29,upsert,1,L0002,2048,0,1787896446.01255,1787896466.120553,20.10800290107727,30,ov0,agg_static@rho0.8,1,0.55,0.0,4,0.8,agg_static,1787896446.0125437,0,2048,,0,0,0,0,0,0,0,1,14,1.6111625581979752,0;0;1;1,36,0
30,upsert,2,L0011,2048,0,1787896446.012619,1787896466.1206243,20.10800528526306,31,ov0,agg_static@rho0.8,1,0.55,0.0,4,0.8,agg_static,1787896446.0126143,0,2048,,0,0,0,0,0,0,0,1,15,1.6111625581979752,0;0;0;1,36,0
31,upsert,3,L0018,2048,0,1787896446.0126808,1787896473.590105,27.57742428779602,32,ov0,agg_static@rho0.8,1,0.55,0.0,4,0.8,agg_static,1787896446.012676,0,2048,,0,0,0,0,0,0,0,1,16,1.6111625581979752,0;0;0;0,36,0
32,upsert,0,L0005,2560,0,1787896449.1929529,1787896473.5902479,24.397294998168945,33,ov0,agg_static@rho0.8,1,0.55,0.0,4,0.8,agg_static,1787896449.192936,0,2560,,0,0,0,0,0,0,0,2,17,1.6111625581979752,0;1;1;1,40,0
33,upsert,2,L0042,2560,0,1787896449.193229,1787896473.590295,24.397066116333008,34,ov0,agg_static@rho0.8,1,0.55,0.0,4,0.8,agg_static,1787896449.193221,0,2560,,0,0,0,0,0,0,0,2,18,1.6111625581979752,0;1;0;1,40,0
34,upsert,1,L0006,2048,0,1787896449.193383,1787896473.5903304,24.396947383880615,35,ov0,agg_static@rho0.8,1,0.55,0.0,4,0.8,agg_static,1787896449.1933775,0,2048,,0,0,0,0,0,0,0,1,19,1.6111625581979752,0;0;0;1,40,0
35,upsert,3,L0055,2048,0,1787896449.193508,1787896473.5903625,24.396854639053345,36,ov0,agg_static@rho0.8,1,0.55,0.0,4,0.8,agg_static,1787896449.1935017,0,2048,,0,0,0,0,0,0,0,1,20,1.6111625581979752,0;0;0;0,40,0
36,upsert,0,L0000,2560,0,1787896452.1821847,1787896473.5903904,21.40820574760437,37,ov0,agg_static@rho0.8,1,0.55,0.0,4,0.8,agg_static,1787896452.1821558,0,2560,,0,0,0,0,0,0,0,2,18,3.33259411862022,0;1;1;1,44,0
37,upsert,3,L0009,2048,0,1787896452.1824386,1787896473.5904171,21.407978534698486,38,ov0,agg_static@rho0.8,1,0.55,0.0,4,0.8,agg_static,1787896452.1824312,0,2048,,0,0,0,0,0,0,0,1,19,3.33259411862022,0;1;1;0,44,0
38,upsert,1,L0047,2048,0,1787896452.182573,1787896484.2407322,32.0581591129303,39,ov0,agg_static@rho0.8,1,0.55,0.0,4,0.8,agg_static,1787896452.1825674,0,2048,,0,0,0,0,0,0,0,1,20,3.33259411862022,0;0;1;0,44,0
39,upsert,2,L0033,2560,0,1787896452.1826947,1787896484.240855,32.05816030502319,40,ov0,agg_static@rho0.8,1,0.55,0.0,4,0.8,agg_static,1787896452.1826894,0,2560,,0,0,0,0,0,0,0,2,21,3.33259411862022,0;0;0;0,44,0
40,upsert,2,L0001,3072,2560,1787896457.111015,1787896484.2409196,27.1299045085907,41,ov0,agg_static@rho0.8,1,0.55,0.0,4,0.8,agg_static,1787896457.1109824,2560,512,20.73224425315857,0,2560,2560,0,2560,1,0,4,22,3.33259411862022,1;0;1;1,50,0
41,upsert,2,L0001,2048,3072,1787896457.1116357,1787896484.2409759,27.129340171813965,42,ov0,agg_static@rho0.8,1,0.55,0.0,4,0.8,agg_static,1787896457.1116166,3072,-1024,0.0006341934204101562,0,2560,2560,0,2560,1,0,4,23,3.33259411862022,1;0;0;1,50,1
42,upsert,0,L0050,2048,0,1787896457.112013,1787896484.2410204,27.12900733947754,43,ov0,agg_static@rho0.8,1,0.55,0.0,4,0.8,agg_static,1787896457.1119978,0,2048,,0,0,0,0,0,0,0,1,24,3.33259411862022,0;0;0;1,50,0
44,upsert,2,L0027,2048,0,1787896459.7711537,1787896484.2410634,24.46990966796875,44,ov0,agg_static@rho0.8,1,0.55,0.0,4,0.8,agg_static,1787896459.771136,0,2048,,0,0,0,0,0,0,0,1,22,5.843393688616545,1;1;0;1,54,0
45,upsert,0,L0035,2048,0,1787896459.7714105,1787896484.2411065,24.469696044921875,45,ov0,agg_static@rho0.8,1,0.55,0.0,4,0.8,agg_static,1787896459.7714014,0,2048,,0,0,0,0,0,0,0,1,23,5.843393688616545,0;1;0;1,54,0
46,upsert,1,L0025,2048,0,1787896459.771546,1787896484.2411356,24.469589710235596,46,ov0,agg_static@rho0.8,1,0.55,0.0,4,0.8,agg_static,1787896459.7715404,0,2048,,0,0,0,0,0,0,0,1,24,5.843393688616545,0;0;0;1,54,0
47,upsert,3,L0034,3072,2048,1787896459.7716694,1787896498.0720463,38.300376892089844,47,ov0,agg_static@rho0.8,1,0.55,0.0,4,0.8,agg_static,1787896459.771663,2048,1024,18.68290638923645,0,0,0,0,0,0,0,3,25,5.843393688616545,0;0;0;0,54,1
48,upsert,2,L0039,2048,0,1787896464.451755,1787896498.0721807,33.62042570114136,48,ov0,agg_static@rho0.8,1,0.55,0.0,4,0.8,agg_static,1787896464.4517252,0,2048,,0,0,0,0,0,0,0,1,26,5.843393688616545,1;1;0;1,59,0
49,upsert,1,L0013,2560,2048,1787896464.452312,1787896498.0722475,33.619935512542725,49,ov0,agg_static@rho0.8,1,0.55,0.0,4,0.8,agg_static,1787896464.452291,2048,512,25.73681950569153,0,2048,2048,0,2048,1,0,2,27,5.843393688616545,1;0;0;1,59,0
51,upsert,0,L0000,2048,2560,1787896464.4531922,1787896498.0723,33.619107723236084,50,ov0,agg_static@rho0.8,1,0.55,0.0,4,0.8,agg_static,1787896464.453176,2560,-512,12.27102017402649,0,0,0,0,0,0,0,4,29,5.843393688616545,0;0;0;0,59,1
52,upsert,3,L0014,2048,0,1787896470.0997748,1787896498.0723436,27.97256875038147,51,ov0,agg_static@rho0.8,1,0.55,0.0,4,0.8,agg_static,1787896470.0997484,0,2048,,0,0,0,0,0,0,0,1,22,10.015792946661673,3;0;0;0,65,0
53,upsert,0,L0006,2560,0,1787896470.10031,1787896498.0723834,27.972073316574097,52,ov0,agg_static@rho0.8,1,0.55,0.0,4,0.8,agg_static,1787896470.100293,0,2560,,0,0,0,0,0,0,0,2,23,10.015792946661673,2;0;0;0,65,0
