seq,update_kind,instance,digest,coverage_after,pre_delivery_visible_cov,t_send_unix,delivered_at_unix,signaling_delay_s,writer_seq,point_id,cell_id,rep,zipf_alpha,overlap,concurrency,rho,policy,send_ts_unix,coverage_before_source,source_coverage_delta,update_age_s,advertised_before,dispatcher_visible_before,best_visible_cov,second_visible_cov,visible_cov_gap,replica_visible_count,source_best_cov,digest_req_count_recent,in_flight_frames,ewma_delivery_delay_s,dispatcher_loads,dispatcher_rr,supersedes_in_flight
0,upsert,0,L0001,2048,0,1788147732.8722079,1788147732.8755162,0.0033082962036132812,1,base,agg_static@rho0.8,2,0.55,0.0,4,0.8,agg_static,1788147732.8721502,0,2048,,0,0,0,0,0,0,0,1,1,,0;1;1;1,4,0
1,upsert,2,L0013,2048,0,1788147732.8723633,1788147732.8756468,0.0032835006713867188,2,base,agg_static@rho0.8,2,0.55,0.0,4,0.8,agg_static,1788147732.8723495,0,2048,,0,0,0,0,0,0,0,1,2,,0;1;0;1,4,0
2,upsert,1,L0016,2048,0,1788147732.872468,1788147732.8757217,0.0032536983489990234,3,base,agg_static@rho0.8,2,0.55,0.0,4,0.8,agg_static,1788147732.8724577,0,2048,,0,0,0,0,0,0,0,1,3,,0;0;0;1,4,0
3,upsert,3,L0004,2048,0,1788147732.872553,1788147732.8757856,0.0032324790954589844,4,base,agg_static@rho0.8,2,0.55,0.0,4,0.8,agg_static,1788147732.872544,0,2048,,0,0,0,0,0,0,0,1,4,,0;0;0;0,4,0
4,upsert,0,L0043,2048,0,1788147735.0869153,1788147735.0906842,0.0037689208984375,5,base,agg_static@rho0.8,2,0.55,0.0,4,0.8,agg_static,1788147735.0868878,0,2048,,0,0,0,0,0,0,0,1,1,0.003269493579864502,0;1;1;1,8,0
5,upsert,3,L0004,2560,2048,1788147735.087222,1788147735.0907855,0.003563404083251953,6,base,agg_static@rho0.8,2,0.55,0.0,4,0.8,agg_static,1788147735.0872023,2048,512,2.214658260345459,0,2048,2048,0,2048,1,0,2,2,0.003269493579864502,0;1;1;0,8,0
6,upsert,1,L0000,2048,0,1788147735.0874093,1788147735.0908506,0.003441333770751953,7,base,agg_static@rho0.8,2,0.55,0.0,4,0.8,agg_static,1788147735.087396,0,2048,,0,0,0,0,0,0,0,1,3,0.003269493579864502,0;0;1;0,8,0
7,upsert,2,L0006,2048,0,1788147735.087564,1788147735.0909028,0.0033388137817382812,8,base,agg_static@rho0.8,2,0.55,0.0,4,0.8,agg_static,1788147735.0875523,0,2048,,0,0,0,0,0,0,0,1,4,0.003269493579864502,0;0;0;0,8,0
8,upsert,0,L0006,2560,0,1788147737.645565,1788147740.6469207,3.0013556480407715,9,base,agg_static@rho0.8,2,0.55,0.0,4,0.8,agg_static,1788147737.6455379,0,2560,,0,0,2048,0,2048,1,0,2,1,0.003398805856704712,0;1;1;1,13,0
9,upsert,1,L0002,2048,0,1788147737.6458695,1788147741.8733253,4.2274558544158936,10,base,agg_static@rho0.8,2,0.55,0.0,4,0.8,agg_static,1788147737.645854,0,2048,,0,0,0,0,0,0,0,1,2,0.003398805856704712,0;0;1;1,13,0
