seq,update_kind,instance,digest,coverage_after,pre_delivery_visible_cov,t_send_unix,delivered_at_unix,signaling_delay_s,writer_seq,point_id,cell_id,rep,zipf_alpha,overlap,concurrency,rho,policy,send_ts_unix,coverage_before_source,source_coverage_delta,update_age_s,advertised_before,dispatcher_visible_before,best_visible_cov,second_visible_cov,visible_cov_gap,replica_visible_count,source_best_cov,digest_req_count_recent,in_flight_frames,ewma_delivery_delay_s,dispatcher_loads,dispatcher_rr,supersedes_in_flight
0,upsert,0,L0003,2048,0,1788148879.4358392,1788148879.4390438,0.0032045841217041016,1,base,agg_full@rho0.5,3,0.55,0.0,4,0.5,agg_full,1788148879.435814,0,2048,,0,0,0,0,0,0,0,1,1,,0;1;1;1,4,0
1,upsert,2,L0045,2048,0,1788148879.4359918,1788148879.4391925,0.0032007694244384766,2,base,agg_full@rho0.5,3,0.55,0.0,4,0.5,agg_full,1788148879.4359784,0,2048,,0,0,0,0,0,0,0,1,2,,0;1;0;1,4,0
2,upsert,1,L0000,2048,0,1788148879.436095,1788148879.4392729,0.0031778812408447266,3,base,agg_full@rho0.5,3,0.55,0.0,4,0.5,agg_full,1788148879.436085,0,2048,,0,0,0,0,0,0,0,1,3,,0;0;0;1,4,0
3,upsert,3,L0006,2048,0,1788148879.4361913,1788148879.4393384,0.003147125244140625,4,base,agg_full@rho0.5,3,0.55,0.0,4,0.5,agg_full,1788148879.4361818,0,2048,,0,0,0,0,0,0,0,1,4,,0;0;0;0,4,0
4,upsert,0,L0002,2048,0,1788148882.0359387,1788148882.039617,0.0036783218383789062,5,base,agg_full@rho0.5,3,0.55,0.0,4,0.5,agg_full,1788148882.0359106,0,2048,,0,0,0,0,0,0,0,1,1,0.0031825900077819824,0;1;1;1,8,0
5,upsert,3,L0005,2048,0,1788148882.0362506,1788148882.0397365,0.0034859180450439453,6,base,agg_full@rho0.5,3,0.55,0.0,4,0.5,agg_full,1788148882.0362344,0,2048,,0,0,0,0,0,0,0,1,2,0.0031825900077819824,0;1;1;0,8,0
6,upsert,1,L0040,2048,0,1788148882.0364273,1788148882.039814,0.0033867359161376953,7,base,agg_full@rho0.5,3,0.55,0.0,4,0.5,agg_full,1788148882.0364146,0,2048,,0,0,0,0,0,0,0,1,3,0.0031825900077819824,0;0;1;0,8,0
7,upsert,2,L0012,2048,0,1788148882.0365756,1788148882.0398786,0.003303050994873047,8,base,agg_full@rho0.5,3,0.55,0.0,4,0.5,agg_full,1788148882.0365639,0,2048,,0,0,0,0,0,0,0,1,4,0.0031825900077819824,0;0;0;0,8,0
8,upsert,0,L0038,2048,0,1788148884.3399963,1788148884.3437834,0.0037870407104492188,9,base,agg_full@rho0.5,3,0.55,0.0,4,0.5,agg_full,1788148884.3399694,0,2048,,0,0,0,0,0,0,0,1,1,0.0033230483531951904,0;1;1;1,12,0
9,upsert,1,L0056,2048,0,1788148884.3403225,1788148884.3439004,0.0035779476165771484,10,base,agg_full@rho0.5,3,0.55,0.0,4,0.5,agg_full,1788148884.3403068,0,2048,,0,0,0,0,0,0,0,1,2,0.0033230483531951904,0;0;1;1,12,0
