seq,update_kind,instance,digest,coverage_after,pre_delivery_visible_cov,t_send_unix,delivered_at_unix,signaling_delay_s,writer_seq,point_id,cell_id,rep,zipf_alpha,overlap,concurrency,rho,policy,send_ts_unix,coverage_before_source,source_coverage_delta,update_age_s,advertised_before,dispatcher_visible_before,best_visible_cov,second_visible_cov,visible_cov_gap,replica_visible_count,source_best_cov,digest_req_count_recent,in_flight_frames,ewma_delivery_delay_s,dispatcher_loads,dispatcher_rr,supersedes_in_flight
0,upsert,0,L0003,2048,0,1788148730.3106685,1788148784.0585785,53.747910022735596,1,base,exact_fifo@rho0.5,3,0.55,0.0,4,0.5,exact_fifo,1788148730.3106418,0,2048,,0,0,0,0,0,0,0,1,1,,0;1;1;1,4,0
1,upsert,2,L0045,2048,0,1788148730.310837,1788148784.8232808,54.51244378089905,2,base,exact_fifo@rho0.5,3,0.55,0.0,4,0.5,exact_fifo,1788148730.310823,0,2048,,0,0,0,0,0,0,0,1,2,,0;1;0;1,4,0
2,upsert,1,L0000,2048,0,1788148730.310946,1788148784.8234003,54.51245427131653,3,base,exact_fifo@rho0.5,3,0.55,0.0,4,0.5,exact_fifo,1788148730.3109355,0,2048,,0,0,0,0,0,0,0,1,3,,0;0;0;1,4,0
3,upsert,3,L0006,2048,0,1788148730.3110332,1788148785.9645011,55.653467893600464,4,base,exact_fifo@rho0.5,3,0.55,0.0,4,0.5,exact_fifo,1788148730.3110242,0,2048,,0,0,0,0,0,0,0,1,4,,0;0;0;0,4,0
4,upsert,0,L0002,2048,0,1788148732.712411,1788148785.964599,53.252187967300415,5,base,exact_fifo@rho0.5,3,0.55,0.0,4,0.5,exact_fifo,1788148732.7123814,0,2048,,0,0,0,0,0,0,0,1,5,,0;1;1;1,8,0
5,upsert,3,L0005,2048,0,1788148732.7125864,1788148785.9646616,53.2520751953125,6,base,exact_fifo@rho0.5,3,0.55,0.0,4,0.5,exact_fifo,1788148732.712572,0,2048,,0,0,0,0,0,0,0,1,6,,0;1;1;0,8,0
6,upsert,1,L0040,2048,0,1788148732.712686,1788148785.9647148,53.252028703689575,7,base,exact_fifo@rho0.5,3,0.55,0.0,4,0.5,exact_fifo,1788148732.7126753,0,2048,,0,0,0,0,0,0,0,1,7,,0;0;1;0,8,0
7,upsert,2,L0012,2048,0,1788148732.7127697,1788148785.9647622,53.25199246406555,8,base,exact_fifo@rho0.5,3,0.55,0.0,4,0.5,exact_fifo,1788148732.7127607,0,2048,,0,0,0,0,0,0,0,1,8,,0;0;0;0,8,0
8,upsert,0,L0038,2048,0,1788148734.824666,1788148785.9648058,51.14013981819153,9,base,exact_fifo@rho0.5,3,0.55,0.0,4,0.5,exact_fifo,1788148734.8246386,0,2048,,0,0,0,0,0,0,0,1,9,,0;1;1;1,12,0
9,upsert,1,L0056,2048,0,1788148734.8248339,1788148785.964854,51.14002013206482,10,base,exact_fifo@rho0.5,3,0.55,0.0,4,0.5,exact_fifo,1788148734.82482,0,2048,,0,0,0,0,0,0,0,1,10,,0;0;1;1,12,0
10,upsert,2,L0036,2048,0,1788148734.82493,1788148792.11741,57.29247999191284,11,base,exact_fifo@rho0.5,3,0.55,0.0,4,0.5,exact_fifo,1788148734.8249192,0,2048,,0,0,0,0,0,0,0,1,11,,0;0;0;1,12,0
11,upsert,3,L0030,2048,0,1788148734.8250163,1788148792.1174884,57.29247212409973,12,base,exact_fifo@rho0.5,3,0.55,0.0,4,0.5,exact_fifo,1788148734.825007,0,2048,,0,0,0,0,0,0,0,1,12,,0;0;0;0,12,0
12,upsert,0,L0032,2048,0,1788148737.6708393,1788148792.1175308,54.44669151306152,13,base,exact_fifo@rho0.5,3,0.55,0.0,4,0.5,exact_fifo,1788148737.6708126,0,2048,,0,0,0,0,0,0,0,1,13,,0;1;1;1,16,0
13,upsert,2,L0008,2048,0,1788148737.6710107,1788148792.1175652,54.44655442237854,14,base,exact_fifo@rho0.5,3,0.55,0.0,4,0.5,exact_fifo,1788148737.670997,0,2048,,0,0,0,0,0,0,0,1,14,,0;1;0;1,16,0
14,upsert,1,L0006,2560,0,1788148737.671108,1788148792.1175935,54.44648551940918,15,base,exact_fifo@rho0.5,3,0.55,0.0,4,0.5,exact_fifo,1788148737.6710978,0,2560,,0,0,0,0,0,0,0,2,15,,0;0;0;1,16,0
15,upsert,3,L0044,2048,0,1788148737.6712136,1788148792.117622,54.44640827178955,16,base,exact_fifo@rho0.5,3,0.55,0.0,4,0.5,exact_fifo,1788148737.6712048,0,2048,,0,0,0,0,0,0,0,1,16,,0;0;0;0,16,0
16,upsert,0,L0002,2560,2048,1788148740.1198697,1788148792.1176476,51.99777793884277,17,base,exact_fifo@rho0.5,3,0.55,0.0,4,0.5,exact_fifo,1788148740.1198387,2048,512,7.40745735168457,0,0,0,0,0,0,0,2,17,,0;1;1;1,20,1
17,upsert,3,L0052,2048,0,1788148740.12004,1788148792.117677,51.997637033462524,18,base,exact_fifo@rho0.5,3,0.55,0.0,4,0.5,exact_fifo,1788148740.1200247,0,2048,,0,0,0,0,0,0,0,1,18,,0;1;1;0,20,0
18,upsert,1,L0021,2048,0,1788148740.120142,1788148795.764391,55.644248962402344,19,base,exact_fifo@rho0.5,3,0.55,0.0,4,0.5,exact_fifo,1788148740.12013,0,2048,,0,0,0,0,0,0,0,1,19,,0;0;1;0,20,0
19,upsert,2,L0025,2048,0,1788148740.120254,1788148795.764453,55.64419889450073,20,base,exact_fifo@rho0.5,3,0.55,0.0,4,0.5,exact_fifo,1788148740.1202428,0,2048,,0,0,0,0,0,0,0,1,20,,0;0;0;0,20,0
20,upsert,0,L0062,2048,0,1788148742.5225997,1788148795.7644792,53.2418794631958,21,base,exact_fifo@rho0.5,3,0.55,0.0,4,0.5,exact_fifo,1788148742.5225697,0,2048,,0,0,0,0,0,0,0,1,21,,0;1;1;1,24,0
