request_id,phase,lineage_id,step,tenant,digest,coverage_tokens,discard
0,0,42,0,tenant-2,L0042,2048,True
1,0,1,0,tenant-1,L0001,2048,True
2,0,0,0,tenant-0,L0000,2048,True
3,0,10,0,tenant-2,L0010,2048,True
4,0,10,1,tenant-2,L0010,2560,True
5,0,6,0,tenant-6,L0006,2048,True
6,0,1,1,tenant-1,L0001,2560,True
7,0,13,0,tenant-5,L0013,2048,True
8,0,0,1,tenant-0,L0000,2560,True
9,0,11,0,tenant-3,L0011,2048,True
10,0,4,0,tenant-4,L0004,2048,True
11,0,5,0,tenant-5,L0005,2048,True
12,0,0,2,tenant-0,L0000,3072,True
13,0,19,0,tenant-3,L0019,2048,True
14,0,0,0,tenant-0,L0000,2048,True
15,0,55,0,tenant-7,L0055,2048,True
16,0,1,2,tenant-1,L0001,3072,True
17,0,18,0,tenant-2,L0018,2048,True
18,0,2,0,tenant-2,L0002,2048,True
19,0,4,1,tenant-4,L0004,2560,True
20,0,6,1,tenant-6,L0006,2560,True
21,0,0,1,tenant-0,L0000,2560,True
22,0,0,2,tenant-0,L0000,3072,True
23,0,2,1,tenant-2,L0002,2560,True
24,0,3,0,tenant-3,L0003,2048,True
25,0,4,2,tenant-4,L0004,3072,True
26,0,59,0,tenant-3,L0059,2048,True
27,0,1,0,tenant-1,L0001,2048,True
28,0,33,0,tenant-1,L0033,2048,True
29,0,0,0,tenant-0,L0000,2048,True
30,0,36,0,tenant-4,L0036,2048,True
31,0,60,0,tenant-4,L0060,2048,True
32,0,60,1,tenant-4,L0060,2560,False
33,0,6,2,tenant-6,L0006,3072,False
34,0,5,1,tenant-5,L0005,2560,False
35,0,38,0,tenant-6,L0038,2048,False
36,0,19,1,tenant-3,L0019,2560,False
37,0,2,2,tenant-2,L0002,3072,False
38,0,13,1,tenant-5,L0013,2560,False
39,0,7,0,tenant-7,L0007,2048,False
40,0,17,0,tenant-1,L0017,2048,False
41,0,3,1,tenant-3,L0003,2560,False
42,0,1,1,tenant-1,L0001,2560,False
43,0,0,1,tenant-0,L0000,2560,False
44,0,5,2,tenant-5,L0005,3072,False
45,0,32,0,tenant-0,L0032,2048,False
46,0,10,2,tenant-2,L0010,3072,False
