request_id,phase,lineage_id,step,tenant,digest,coverage_tokens,discard
0,0,15,0,tenant-7,L0015,2048,True
1,0,13,0,tenant-5,L0013,2048,True
2,0,10,0,tenant-2,L0010,2048,True
3,0,18,0,tenant-2,L0018,2048,True
4,0,2,0,tenant-2,L0002,2048,True
5,0,36,0,tenant-4,L0036,2048,True
6,0,41,0,tenant-1,L0041,2048,True
7,0,3,0,tenant-3,L0003,2048,True
8,0,45,0,tenant-5,L0045,2048,True
9,0,31,0,tenant-7,L0031,2048,True
10,0,48,0,tenant-0,L0048,2048,True
11,0,1,0,tenant-1,L0001,2048,True
12,0,49,0,tenant-1,L0049,2048,True
13,0,23,0,tenant-7,L0023,2048,True
14,0,22,0,tenant-6,L0022,2048,True
15,0,22,1,tenant-6,L0022,2560,True
16,0,29,0,tenant-5,L0029,2048,True
17,0,6,0,tenant-6,L0006,2048,True
18,0,3,1,tenant-3,L0003,2560,True
19,0,18,1,tenant-2,L0018,2560,True
20,0,45,1,tenant-5,L0045,2560,True
21,0,15,1,tenant-7,L0015,2560,True
22,0,23,1,tenant-7,L0023,2560,True
23,0,35,0,tenant-3,L0035,2048,True
24,0,38,0,tenant-6,L0038,2048,True
25,0,5,0,tenant-5,L0005,2048,True
26,0,1,1,tenant-1,L0001,2560,True
27,0,0,0,tenant-0,L0000,2048,True
28,0,31,1,tenant-7,L0031,2560,True
29,0,28,0,tenant-4,L0028,2048,True
30,0,44,0,tenant-4,L0044,2048,True
31,0,34,0,tenant-2,L0034,2048,True
32,0,14,0,tenant-6,L0014,2048,False
33,0,41,1,tenant-1,L0041,2560,False
34,0,23,2,tenant-7,L0023,3072,False
35,0,11,0,tenant-3,L0011,2048,False
36,0,52,0,tenant-4,L0052,2048,False
37,0,32,0,tenant-0,L0032,2048,False
38,0,0,1,tenant-0,L0000,2560,False
39,0,28,1,tenant-4,L0028,2560,False
40,0,16,0,tenant-0,L0016,2048,False
41,0,19,0,tenant-3,L0019,2048,False
42,0,21,0,tenant-5,L0021,2048,False
43,0,32,1,tenant-0,L0032,2560,False
44,0,56,0,tenant-0,L0056,2048,False
45,0,22,2,tenant-6,L0022,3072,False
46,0,37,0,tenant-5,L0037,2048,False
