request_id,phase,lineage_id,step,tenant,digest,coverage_tokens,discard
0,0,60,0,tenant-4,L0060,2048,True
1,0,32,0,tenant-0,L0032,2048,True
2,0,27,0,tenant-3,L0027,2048,True
3,0,48,0,tenant-0,L0048,2048,True
4,0,10,0,tenant-2,L0010,2048,True
5,0,19,0,tenant-3,L0019,2048,True
6,0,55,0,tenant-7,L0055,2048,True
7,0,39,0,tenant-7,L0039,2048,True
8,0,13,0,tenant-5,L0013,2048,True
9,0,0,0,tenant-0,L0000,2048,True
10,0,17,0,tenant-1,L0017,2048,True
11,0,2,0,tenant-2,L0002,2048,True
12,0,0,1,tenant-0,L0000,2560,True
13,0,0,2,tenant-0,L0000,3072,True
14,0,2,1,tenant-2,L0002,2560,True
15,0,51,0,tenant-3,L0051,2048,True
16,0,55,1,tenant-7,L0055,2560,True
17,0,55,2,tenant-7,L0055,3072,True
18,0,4,0,tenant-4,L0004,2048,True
19,0,25,0,tenant-1,L0025,2048,True
20,0,0,0,tenant-0,L0000,2048,True
21,0,6,0,tenant-6,L0006,2048,True
22,0,39,1,tenant-7,L0039,2560,True
23,0,0,1,tenant-0,L0000,2560,True
24,0,47,0,tenant-7,L0047,2048,True
25,0,2,2,tenant-2,L0002,3072,True
26,0,3,0,tenant-3,L0003,2048,True
27,0,22,0,tenant-6,L0022,2048,True
28,0,42,0,tenant-2,L0042,2048,True
29,0,8,0,tenant-0,L0008,2048,True
30,0,62,0,tenant-6,L0062,2048,True
31,0,21,0,tenant-5,L0021,2048,True
32,0,6,1,tenant-6,L0006,2560,False
33,0,11,0,tenant-3,L0011,2048,False
34,0,2,0,tenant-2,L0002,2048,False
35,0,11,1,tenant-3,L0011,2560,False
36,0,2,1,tenant-2,L0002,2560,False
37,0,15,0,tenant-7,L0015,2048,False
38,0,46,0,tenant-6,L0046,2048,False
39,0,43,0,tenant-3,L0043,2048,False
40,0,53,0,tenant-5,L0053,2048,False
41,0,27,1,tenant-3,L0027,2560,False
42,0,41,0,tenant-1,L0041,2048,False
43,0,5,0,tenant-5,L0005,2048,False
44,0,1,0,tenant-1,L0001,2048,False
45,0,56,0,tenant-0,L0056,2048,False
46,0,0,2,tenant-0,L0000,3072,False
47,0,9,0,tenant-1,L0009,2048,False
48,0,48,1,tenant-0,L0048,2560,False
49,0,17,1,tenant-1,L0017,2560,False
50,0,8,1,tenant-0,L0008,2560,False
51,0,3,1,tenant-3,L0003,2560,False
52,0,7,0,tenant-7,L0007,2048,False
53,0,48,2,tenant-0,L0048,3072,False
54,0,6,2,tenant-6,L0006,3072,False
55,0,38,0,tenant-6,L0038,2048,False
56,0,3,2,tenant-3,L0003,3072,False
57,0,0,0,tenant-0,L0000,2048,False
58,0,59,0,tenant-3,L0059,2048,False
59,0,30,0,tenant-6,L0030,2048,False
60,0,62,1,tenant-6,L0062,2560,False
61,0,2,2,tenant-2,L0002,3072,False
62,0,2,0,tenant-2,L0002,2048,False
63,0,36,0,tenant-4,L0036,2048,False
64,0,1,1,tenant-1,L0001,2560,False
65,0,0,1,tenant-0,L0000,2560,False
66,0,3,0,tenant-3,L0003,2048,False
67,0,23,0,tenant-7,L0023,2048,False
68,0,0,2,tenant-0,L0000,3072,False
69,0,21,1,tenant-5,L0021,2560,False
70,0,32,1,tenant-0,L0032,2560,False
71,0,55,0,tenant-7,L0055,2048,False
72,0,15,1,tenant-7,L0015,2560,False
73,0,8,2,tenant-0,L0008,3072,False
74,0,30,1,tenant-6,L0030,2560,False
75,0,4,1,tenant-4,L0004,2560,False
