request_id,phase,lineage_id,step,tenant,digest,coverage_tokens,discard
0,0,7,0,tenant-7,L0007,2048,True
1,0,51,0,tenant-3,L0051,2048,True
2,0,53,0,tenant-5,L0053,2048,True
3,0,10,0,tenant-2,L0010,2048,True
4,0,18,0,tenant-2,L0018,2048,True
5,0,17,0,tenant-1,L0017,2048,True
6,0,35,0,tenant-3,L0035,2048,True
7,0,10,1,tenant-2,L0010,2560,True
8,0,21,0,tenant-5,L0021,2048,True
9,0,12,0,tenant-4,L0012,2048,True
10,0,28,0,tenant-4,L0028,2048,True
11,0,53,1,tenant-5,L0053,2560,True
12,0,2,0,tenant-2,L0002,2048,True
13,0,6,0,tenant-6,L0006,2048,True
14,0,0,0,tenant-0,L0000,2048,True
15,0,36,0,tenant-4,L0036,2048,True
16,0,22,0,tenant-6,L0022,2048,False
17,0,61,0,tenant-5,L0061,2048,False
18,0,0,1,tenant-0,L0000,2560,False
19,0,2,1,tenant-2,L0002,2560,False
20,0,28,1,tenant-4,L0028,2560,False
21,0,2,2,tenant-2,L0002,3072,False
22,0,3,0,tenant-3,L0003,2048,False
23,0,61,1,tenant-5,L0061,2560,False
24,1,122,0,tenant-2,L0122,2048,False
25,1,106,0,tenant-2,L0106,2048,False
26,1,69,0,tenant-5,L0069,2048,False
27,1,67,0,tenant-3,L0067,2048,False
28,1,97,0,tenant-1,L0097,2048,False
29,1,66,0,tenant-2,L0066,2048,False
30,1,91,0,tenant-3,L0091,2048,False
31,1,90,0,tenant-2,L0090,2048,False
32,1,108,0,tenant-4,L0108,2048,False
33,1,105,0,tenant-1,L0105,2048,False
34,1,64,0,tenant-0,L0064,2048,False
35,1,97,1,tenant-1,L0097,2560,False
36,1,120,0,tenant-0,L0120,2048,False
37,1,69,1,tenant-5,L0069,2560,False
38,1,83,0,tenant-3,L0083,2048,False
39,1,76,0,tenant-4,L0076,2048,False
40,1,79,0,tenant-7,L0079,2048,False
41,1,64,1,tenant-0,L0064,2560,False
42,1,64,2,tenant-0,L0064,3072,False
43,1,65,0,tenant-1,L0065,2048,False
44,1,112,0,tenant-0,L0112,2048,False
45,1,123,0,tenant-3,L0123,2048,False
46,1,70,0,tenant-6,L0070,2048,False
47,1,64,0,tenant-0,L0064,2048,False
