request_id,phase,lineage_id,step,tenant,digest,coverage_tokens,discard
0,0,12,0,tenant-4,L0012,2048,True
1,0,7,0,tenant-7,L0007,2048,True
2,0,59,0,tenant-3,L0059,2048,True
3,0,16,0,tenant-0,L0016,2048,True
4,0,29,0,tenant-5,L0029,2048,True
5,0,21,0,tenant-5,L0021,2048,True
6,0,4,0,tenant-4,L0004,2048,True
7,0,1,0,tenant-1,L0001,2048,True
8,0,63,0,tenant-7,L0063,2048,True
9,0,41,0,tenant-1,L0041,2048,True
10,0,23,0,tenant-7,L0023,2048,True
11,0,46,0,tenant-6,L0046,2048,True
12,0,22,0,tenant-6,L0022,2048,True
13,0,19,0,tenant-3,L0019,2048,True
14,0,4,1,tenant-4,L0004,2560,True
15,0,1,1,tenant-1,L0001,2560,True
16,0,29,1,tenant-5,L0029,2560,True
17,0,7,1,tenant-7,L0007,2560,True
18,0,13,0,tenant-5,L0013,2048,True
19,0,17,0,tenant-1,L0017,2048,True
20,0,24,0,tenant-0,L0024,2048,True
21,0,53,0,tenant-5,L0053,2048,True
22,0,33,0,tenant-1,L0033,2048,True
23,0,34,0,tenant-2,L0034,2048,True
24,0,42,0,tenant-2,L0042,2048,True
25,0,26,0,tenant-2,L0026,2048,True
26,0,5,0,tenant-5,L0005,2048,True
27,0,0,0,tenant-0,L0000,2048,True
28,0,34,1,tenant-2,L0034,2560,True
29,0,2,0,tenant-2,L0002,2048,True
30,0,11,0,tenant-3,L0011,2048,True
31,0,18,0,tenant-2,L0018,2048,True
32,0,5,1,tenant-5,L0005,2560,False
33,0,42,1,tenant-2,L0042,2560,False
34,0,6,0,tenant-6,L0006,2048,False
35,0,55,0,tenant-7,L0055,2048,False
36,0,0,1,tenant-0,L0000,2560,False
37,0,9,0,tenant-1,L0009,2048,False
38,0,47,0,tenant-7,L0047,2048,False
39,0,33,1,tenant-1,L0033,2560,False
40,0,1,2,tenant-1,L0001,3072,False
41,0,1,0,tenant-1,L0001,2048,False
42,0,50,0,tenant-2,L0050,2048,False
43,0,33,2,tenant-1,L0033,3072,False
44,0,27,0,tenant-3,L0027,2048,False
45,0,35,0,tenant-3,L0035,2048,False
46,0,25,0,tenant-1,L0025,2048,False
47,0,34,2,tenant-2,L0034,3072,False
48,0,39,0,tenant-7,L0039,2048,False
49,0,13,1,tenant-5,L0013,2560,False
50,0,0,2,tenant-0,L0000,3072,False
51,0,0,0,tenant-0,L0000,2048,False
52,0,14,0,tenant-6,L0014,2048,False
53,0,6,1,tenant-6,L0006,2560,False
54,0,24,1,tenant-0,L0024,2560,False
55,0,22,1,tenant-6,L0022,2560,False
56,0,1,1,tenant-1,L0001,2560,False
57,0,22,2,tenant-6,L0022,3072,False
58,0,21,1,tenant-5,L0021,2560,False
59,0,13,2,tenant-5,L0013,3072,False
60,0,52,0,tenant-4,L0052,2048,False
61,0,21,2,tenant-5,L0021,3072,False
62,0,40,0,tenant-0,L0040,2048,False
63,0,7,2,tenant-7,L0007,3072,False
64,1,70,0,tenant-6,L0070,2048,False
65,1,77,0,tenant-5,L0077,2048,False
66,1,86,0,tenant-6,L0086,2048,False
67,1,95,0,tenant-7,L0095,2048,False
68,1,125,0,tenant-5,L0125,2048,False
69,1,69,0,tenant-5,L0069,2048,False
70,1,68,0,tenant-4,L0068,2048,False
71,1,109,0,tenant-5,L0109,2048,False
72,1,106,0,tenant-2,L0106,2048,False
73,1,77,1,tenant-5,L0077,2560,False
74,1,70,1,tenant-6,L0070,2560,False
75,1,64,0,tenant-0,L0064,2048,False
76,1,99,0,tenant-3,L0099,2048,False
77,1,122,0,tenant-2,L0122,2048,False
78,1,90,0,tenant-2,L0090,2048,False
79,1,93,0,tenant-5,L0093,2048,False
80,1,76,0,tenant-4,L0076,2048,False
81,1,72,0,tenant-0,L0072,2048,False
82,1,96,0,tenant-0,L0096,2048,False
83,1,69,1,tenant-5,L0069,2560,False
84,1,85,0,tenant-5,L0085,2048,False
85,1,78,0,tenant-6,L0078,2048,False
86,1,85,1,tenant-5,L0085,2560,False
87,1,116,0,tenant-4,L0116,2048,False
88,1,118,0,tenant-6,L0118,2048,False
89,1,71,0,tenant-7,L0071,2048,False
90,1,70,2,tenant-6,L0070,3072,False
91,1,64,1,tenant-0,L0064,2560,False
92,1,116,1,tenant-4,L0116,2560,False
93,1,72,1,tenant-0,L0072,2560,False
94,1,66,0,tenant-2,L0066,2048,False
95,1,120,0,tenant-0,L0120,2048,False
96,1,120,1,tenant-0,L0120,2560,False
97,1,99,1,tenant-3,L0099,2560,False
98,1,76,1,tenant-4,L0076,2560,False
99,1,64,2,tenant-0,L0064,3072,False
100,1,72,2,tenant-0,L0072,3072,False
101,1,96,1,tenant-0,L0096,2560,False
102,1,92,0,tenant-4,L0092,2048,False
103,1,102,0,tenant-6,L0102,2048,False
104,1,68,1,tenant-4,L0068,2560,False
105,1,102,1,tenant-6,L0102,2560,False
106,1,87,0,tenant-7,L0087,2048,False
107,1,83,0,tenant-3,L0083,2048,False
108,1,79,0,tenant-7,L0079,2048,False
109,1,121,0,tenant-1,L0121,2048,False
110,1,120,2,tenant-0,L0120,3072,False
111,1,68,2,tenant-4,L0068,3072,False
112,1,80,0,tenant-0,L0080,2048,False
113,1,64,0,tenant-0,L0064,2048,False
114,1,66,1,tenant-2,L0066,2560,False
115,1,64,1,tenant-0,L0064,2560,False
116,1,67,0,tenant-3,L0067,2048,False
117,1,74,0,tenant-2,L0074,2048,False
118,1,66,2,tenant-2,L0066,3072,False
119,1,109,1,tenant-5,L0109,2560,False
120,1,70,0,tenant-6,L0070,2048,False
121,1,68,0,tenant-4,L0068,2048,False
122,1,66,0,tenant-2,L0066,2048,False
123,1,100,0,tenant-4,L0100,2048,False
124,1,89,0,tenant-1,L0089,2048,False
125,1,64,2,tenant-0,L0064,3072,False
126,1,66,1,tenant-2,L0066,2560,False
127,1,113,0,tenant-1,L0113,2048,False
